[00:00] OpenCode的Zen方案裡面最好的是這個。
[28:59] 可以嗎?
[29:00] 好!
[29:01] 這裡我也不給大家看
[29:03] 給你們看沒關係啦
[29:04] 只是說我變成是我直播結束之後還要去改麻煩
[29:09] 了好!
[29:09] 一樣再來go方案我也直接
[29:14] 直接處理go方案
[29:15] go方案看一下應該是go方案需要輸入API Key
[29:18] 嗎直接試給大家看作為供應商,
[29:22] 使用夠模型。
[29:24] 是同一個API key嗎?
[29:25] 應該是一樣的吧?
[29:27] 應該是同一個API key吧,
[29:28] 我試試看。OK好,來,全部連線了,
[29:32] 各位,來這邊,然後你可以開模型,
[29:36] Gemma 4的效能的話,現在沒有用。
[29:39] 所以OpenCode是可以接你本地端的Gemma 4,
[29:42] 除非你的電腦顯卡非常的好,
[29:44] 然後能夠去接比較大的模型,
[29:46] Gemma 4,那你就可以用你本地端的Gemma 4,
[29:50] 接到OpenCode裡面來,
[29:51] 是可以的。
[29:52] 那這個是在我第三集之後我會盡量嘗試用本地端來接
[29:56] OpenCode試給大家看。
[29:58] 今天我們就先嘗試一下我們OpenCode的訂閱方案用起來
[30:02] 怎麼樣。
[30:03] OK嗎?
[30:04] 好,來,在這裡的話一樣設定。
[30:06] 我們剛剛是不是接了OpenCode方案跟go方案?
[30:11] 你可以去模型。
[30:12] 開模型是說,比如說像我這邊,
[30:14] 我可以把我要顯示的模型開出來。
[30:17] 所以這邊是有支援的模型在這裡。
[30:19] OpenCodeZen。
[30:21] 但你可以開說要不要開出來使用。
[30:24] 像這個hiku 4.5的話,在處理文件的時候它是很快的。
[30:28] 所以這個4.7,比如說4.6我要開,
[30:32] 免費要開。
[30:33] Flash開一下好了。
[30:35] 3.5Flash開。
[30:37] 等一下給大家看一下說有多噴錢啊。
[30:41] GPT5.4、
[30:44] 5.3這個就不要了。
[30:46] 5.4mini開、5.4nano開、
[30:49] 5.5開、5.5Pro開、Waq、
[30:51] Whisper先不要開。
[30:52] Pimi2.6開、Nimax2.7開、
[30:55] 免費的開。
[30:57] 千問的話開3.6就好了。
[30:59] 千問也蠻好用的啦。
[31:02] 來OpenGo的話在這裡。
[31:04] OpenGo的話你可以用到這個Deepseek V4 Pro。
[31:07] 它就是一個多模態的模型。
[31:09] 這個算是搶的。
[31:10] 這個蠻厲害的。Deepseek V4 Pro是算蠻厲害的。
[31:13] 它就是多模態的。
[31:14] 好這個開。
[31:15] 這是陸版的GPT5.1。
[31:18] 好一樣KIMI的都是可以用的。
[31:20] KIMI 2.6。
[31:21] 這個Memo我不是很懂。
[31:24] 千問好這樣這樣。
[31:26] 好,go方案在這邊。
[31:27] 大家看到嗎?
[31:28] go方案就全部都是陸版的模型。
[31:30] 那我個人是會以這個為主力啦。
[31:34] 它是多模態蠻聰明的這樣。
[31:36] OK嗎?好,來,現在全部開好了。
[31:38] 接下來,你就可以去使
[31:40] 用用各式各樣的模型來去處理你的工作。
[31:45] 所以你只要在這邊開就好了。
[31:47] 好,這個是儲值20美元的。
[31:51] 那如果你要使用一般工作不想要花錢的話就用這個,
[31:55] Deepseek V4。
[31:57] 如果你要做認真一點的工作,
[31:59] 想要便宜又大碗的話就使用GPT-5.4 mini。
[32:03] 再來,下面是OpenGo方案。
[32:06] OpenGo方案就是。
[32:09] 所以來,我們來看一下。
[32:11] 這個Flash的話因為它有提供免費試用。
[32:14] 那你付費的Flash跟免付費Flash的差別在於說,
[32:19] 你有付費的Flash,你的對話資料不會被它當作訓練資
[32:23] 料。
[32:24] 好,再來,最重要是這個啦。
[32:27] 這個沒有多模態嗎?
[32:29] V4 Pro沒有多模態嗎?
[32:32] GPT-Image 2、。
[32:34] 這沒有多模態嗎?
[32:36] 蠻意外的沒有多模態。
[32:38] 再來這個,這也是沒有多模態。
[32:42] Kimi2.6就有多模態。
[32:46] 26萬上下文。
[32:47] 再來MiniMax。
[32:49] 動作他比較慢,速度比較慢。
[32:51] 但是蠻聰明的。
[32:53] 所以如果你想要處理多模態的話,
[32:57] 就是要選文字、圖片、
[32:59] 影片。這個就具備多模態功
[33:01] 能。好,我現在試幾個模
[33:06] 型給大家看。
[33:08] 比如說免費模型在上一集已經用過了,
[33:12] 所以如果你想要省錢的話,
[33:13] 一般狀況下就開這個,就不會花到任何的錢。
[33:17] 那我現在開3.5Flash給大家看,
[33:20] 到底有多少錢?
[33:24] 可以給大家看。
[33:25] 我現在開3.5Flash。
[33:27] 3.5Flash的話,一般來說,
[33:29] 我們都是會選Midium。
[33:31] 你就算是選這個minimal一樣,
[33:33] 很燒錢。
[33:34] 好,來,我們現在使用3.5Flash,
[33:37] 然後選Midium。
[33:38] OK,然後再來,我現在在這邊,
[33:40] 對不對?我們就簡單的做幾個工作好了。
[33:42] 請幫我確認一下我的NotebookLM、
[33:47] MCP有沒有連得到。
[33:49] 幫我確認一下我的GitHub能不能連
[33:51] 得到。幫我找出我GitHub裡面所有的懶人包。
[33:55] 幫我確認一下我的Firebase資料庫能不能連得到。
[33:59] 幫我確認一下我的畫圖技能能不能連得到。
[34:03] 確認完之後專案初始化。
[34:05] 好,那我們通常在做事情的時候大概就會先做這些事情。
[34:10] 那我做這些事情的時候我現在故意開Flash
[34:13] 3.5給你看。
[34:14] 好,點它。
[34:15] 那Flash 3.5的話它的上下文是100萬。
[34:18] 它其實本質上是很優秀的啦。
[34:20] 但它本質是很優秀的意思是說它是多模態的模型上下
[34:25] 文是100萬。
[34:26] 它是很優秀的,就是太貴了!
[34:30] 就是太貴了!它的缺點就太貴了!
[34:33] 那你要看它花了多少錢在上面這個地方會有一個使用
[34:38] 量,你就點它,點它這邊就會出現。
[34:41] 來,各位你有沒有看到,
[34:42] 它現在它的上下文是100萬。
[34:44] 我們現在用掉的Token是45000輸
[34:47] 入總token、推理在這邊使用量4%來
[34:51] 有沒有看到?
[34:52] 有看到?
[34:54] 噴錢這邊就在噴錢你有看到嗎?
[34:56] 它是很貴的喔?
[34:57] 你看到嗎?
[34:59] 它很貴這你看好所以我這邊要建立一個專案建
[35:05] 立一個GitHub專案提交
[35:07] 好所以你剛剛有看到嗎?
[35:09] 它身為一個Google最新的AI它拿來當
[35:13] AGENTS是可以的它速度非常快。
[35:15] 你看左邊它做這些事情都非常快。
[35:18] 如果這件事情叫Codex做的話,
[35:20] Codex至少會跑五、六分鐘。
[35:21] 可是它一下就跑完了。
[35:22] 你看我按完之後馬上就跑完了。
[35:24] 所以NotebookM的授權都可能過期了。
[35:27] 需要重新登錄。
[35:28] 其他都OK。
[35:29] 幫我重新登錄我的NotebookM的授權。
[35:33] 好來,各位,你們現在看它總成本,
[35:35] 你有看到嗎?
[35:36] 這是美金喔。
[35:39] 所以為什麼大家會有點抱怨說這個
[35:43] Flash 3.5?
[35:44] 沒有很好用的是第一個它並不是最聰明的
[35:46] AI。
[35:47] 但它的成本有點高。
[35:49] 我覺得目前成本有點高。
[35:50] 優點是它真的爆快。
[35:52] 你自己看它做事情都很快。
[35:54] 我激賞它,它真的很快。
[35:57] 速度非常的快。
[36:01] 好,來,你看我現在把所有東西都建構好了。
[36:05] 我的Obsidian也裝了。
[36:08] OK,好,全部都裝好了,你看。
[36:10] 身為A-GEN,他做A-GEN是OK的。
[36:13] 我的這個全部都沒有問題的。
[36:15] 我們也可以去生成圖片。
[36:18] 來,來,你看,用了多少錢?
[36:21] 0.53台幣。
[36:23] 0.53美金就噴掉了。
[36:25] 是這樣。我只是做個初始化,
[36:27] 確認一下連接狀態。
[36:28] 你更不要講說,等一下你做事情的時候,
[36:30] 這邊會有什麼後面會狂噴錢。
[36:32] 萬一有什麼東西連不上的時候,
[36:35] 真的是錢吐噴噴噴噴噴噴噴噴噴。
[36:38] 同樣的,你看,我做完專案初始化,
[36:42] 0.53元。
[36:43] 就這樣。
[36:44] 差不多是16塊台幣。
[36:49] 就這樣,16塊台幣就沒了。
[36:51] 接下來我在這個地方,我一樣在專案的地方,
[36:56] 新增工作階段,在這邊我換個模型,
[36:59] 各位我換個模型。
[37:00] 我換成這個我剛剛講過的便宜又大碗的
[37:05] GPT5.4 mini
[37:06] 做這些工作你不需要用到那麼聰明的模型
[37:09] 各位5.4 mini上下文40萬
[37:13] 它也是多模態的是
[37:15] 沒有問題的我們
[37:15] 換這個一樣
[37:17] 選median那
[37:17] 相同的提示詞
[37:19] 我們來試一下
[37:21] 好來相同的提示詞一樣的工作我們換成GPT5.4
[37:26] mini我們來看一下
[37:28] 5.4 mini一樣選median這些
[37:30] 事情他們做起來是沒有任何差別的,
[37:32] 因為這事情都沒有那麼難。
[37:33] 我們只是要處理簡單的事情都沒有那麼難。
[37:36] 所以如果今天我開的是5.4mini來做日常的工作的話,
[37:40] 那會怎麼樣呢?
[37:42] 所以它就沒有那麼快。
[37:45] 所以它比較慢一點。
[37:46] GPT3.5,GPT3.5真的很快。
[37:50] 需要權限允許。
[37:53] 所以你看一般我們Agents都是這樣啦,
[37:56] 他幫你做一個代辦事項。
[37:58] 那目前AntiGravity就是沒有做到這樣子,
[38:02] 我覺得就是欠缺一點。
[38:05] 允許。好,相較之下,速度就稍慢一點。
[38:12] 所以你看換不同的AI,用起來真的都不太一樣。
[38:16] 所以大家在使用這個Agent的時候,
[38:18] 你也可能,如果你想要無腦用的話,
[38:20] 去訂閱Codex。
[38:22] 但是Codex真的有點慢,
[38:24] 就比較慢。
[38:25] 所以你看動作就開始慢慢的。
[38:28] 但是在這裡已經比Codex還快了。
[38:30] Codex真的太慢了。
[38:32] 好,來,也全部完成了。
[38:34] 我們來看一下花多少錢。
[38:35] 來,各位。
[38:37] 全部都做好了。
[38:39] 來,幫我到我的NotebookLM裡面去列出我最近使用的
[38:44] 10本筆記本。
[38:45] 去網路上抓最近5年的國中教育會考數學的
[38:50] 歷屆試題。
[38:51] 下載到這個專案資料夾裡面來。
[38:53] 各位,你看喔,他剛剛幫我列出了10本筆記本,
[38:57] 你有看到嗎?工作上他都是沒有問題的,
[39:00] 各位都是沒有問題的。
[39:01] 接下來我叫他再去抓這個歷屆試題,
[39:05] 這也是沒有問題的,因為他現在他有那個Computer
[39:08] Use,所以他可以上網去抓是沒有問題的。
[39:11] 所以他這邊就會開這個網路去抓。
[39:17] 目前的工作目錄,我給他資料講明稱,
[39:21] 等我一下,將檔案放在這個路徑,
[39:24] 好他就去做了。
[39:25] 來各位你們有看到他花了多少錢嗎?
[39:27] 各位,還在這裡 有看到嗎?
[39:32] 是不是差很多?
[39:37] 你覺得差很多的?
[39:38] 麻煩在通話中訊息在聊天室幫我打一個6好不好?
[39:42] 好 接下來他下載試題就是抓 所以他可以上網去抓答案
[39:46] 所以他也是有網路搜尋資料夾的功
[39:51] 能所以原理上你應該說Agents有的能力他都有啦
[39:54] 你認為Agents應該有的能力他都是有的
[39:57] 所以我覺得使用上跟Codex還有Claude Code
[40:00] 沒有太大的差別。
[40:02] 原則上用起來沒有什麼差別啦。
[40:05] 但它的優點是你可以接任何。
[40:08] 來你看,你看我的畫面,
[40:10] 有沒有看到?正在抓我們這個歷屆試題,
[40:13] 有看到嗎?有沒有看到?
[40:15] 直接它就上網去找,抓下來,
[40:17] 就這麼簡單。
[40:18] 各位,AI Agents就是這樣,
[40:21] 動作也蠻快的。
[40:22] 如果是Codex,Codex就很慢。
[40:24] Codex就三分鐘,五分鐘才給
[40:27] 你做所以我就不懂為什麼Codex會動作這麼慢。
[40:30] 那這OpenCode蠻快的喔,
[40:32] OpenCode裡面蠻快的。
[40:34] 所以你看喔,他就上網去抓這些,
[40:36] 你看題本,這個11、12、
[40:39] 13、14的。
[40:40] 今年應該是到115啦,但是我猜官方可能沒有放
[40:43] 115,所以他沒有抓到115的,
[40:45] 他應該是抓110,來,各位,
[40:47] 各位看到?抓到了在資料夾裡面,
[40:50] 就這樣。好,我們來看一下花了多少錢呢?
[40:52] 花了多少錢呢?
[40:53] 你看,GPT5.4min
[40:57] 才是王道0.18
[41:01] 美金啊各位0.
[41:03] 18美金換算台幣是多少錢呢
[41:06] 差不多是0.19美金差不多是
[41:10] 0.2乘以30
[41:13] 0.2乘以306塊嗎是
[41:17] 6塊嗎6塊
[41:19] 台幣所以你看我是叫他做了這麼多事情那
[41:25] 剛剛那個Gemini3.5光是初始化就噴掉0.5
[41:29] 了。
[41:30] 你看有沒有看到?
[41:31] 看到嗎?那做這些事情的話,
[41:35] 這些AI都夠聰明都可以做得很好。
[41:37] 所以如果說你想要用多少算多少,
[41:40] 比如說你也許是一個用量不多的人,
[41:43] 那你可能只是要處理的事情,
[41:44] 比如說填表格、整理一下檔案,
[41:46] 你也許可以考慮儲值20美元,
[41:49] 用完了再儲,就這樣子。
[41:50] 所以用多少算多少?
[41:56] 沒有,因為這個小數點我怕乘錯,
[42:02] 我是怕乘錯,對,六塊六塊六塊。
[42:06] 所以如果你是一個用多少算多少的人,
[42:11] 那我覺得使用GP5.4 mini原則上可以處理你大部分事情。
[42:16] 接下來我們來使用一下訂閱製。
[42:21] 就是陸版的。
[42:22] OpenCode的Go模型。
[42:25] Kimi2.6很強喔。
[42:32] Kimi2.6是很聰明的。
[42:35] 多模態。
[42:35] 上下文是26萬也夠用的。
[42:38] Deepseek V4 Pro是很聰明的。
[42:41] 但是他沒有多模態我覺得有點疑惑。
[42:44] 他這個應該是多模態才對。
[42:46] 好,所以我們來試一下什麼呢?
[42:50] 我們來試一下KIMI 2.6好了好,
[42:54] 現在切KIMI 2.6幫
[42:55] 我讀取剛剛下載的五份會考的檔案幫我整理出
[43:01] 會考的出題趨勢整
[43:05] 理出來的內容,幫我做成一份簡報大綱利用這份簡報大
[43:10] 綱呼叫生圖技
[43:12] 能來去利用生圖技能做簡報。
[43:17] 做成的簡報也存放到OpenCode0523這個資料夾。
[43:22] 好,我現在使用的是訂閱制的。
[43:24] 訂閱制的話,我使用Kimi2.6。
[43:26] 這個Kimi2.6的能力跟OPUS4.7沒有差很多哦,
[43:32] 各位。
[43:33] 這是很聰明的樣子。
[43:34] 所以我現在使用這個Kimi2.6。
[43:36] 好,是go方案的。
[43:37] 好,go方案就不會再花到錢,
[43:40] 因為它就是訂閱制。
[43:41] 所以它這邊成
[43:42] 本就有很多你使用KIMI2.6的話,
[43:45] 成本就不會再增加。
[43:46] 好,所以這邊的使用是訂閱制方案。
[43:49] 那訂閱制方案的話,額度怎麼去看呢?
[43:51] 你必須要到我們這個OpenGo的方案裡面去看你的
[43:57] 額度。
[43:58] 好,所以你看他現在成本應該是沒有算在我們的這個裡面
[44:02] 啦。看一下,沒有算在這裡面。
[44:06] 我現在是使用訂閱方案沒有錯吧?
[44:08] 好,成本應該沒有算在這邊。
[44:10] 好,來,我們往這個,
[44:12] 這個地方看。
[44:16] 等一下給大家看。
[44:18] go方案。
[44:20] go方案就是在這裡。
[44:21] 在你的go方案的網頁裡面。
[44:24] 接下來我用的額度就是用這邊。
[44:29] 滾動使用量100%。
[44:31] 所以5小時的滾動使用量在這邊。
[44:34] 所以你現在使用的那個模型就是算在這個
[44:37] Code裡面。
[44:37] 這樣大家OK嗎?
[44:38] 每週使用量。
[44:40] 我還有一天9小時重置。
[44:42] 每月使用量。
[44:45] 我跟大家講,
[44:48] 額度原則上你是用不完的,
[44:50] 是因為每一個模型的使用量是不一樣的。
[44:56] 這些陸版模型的使用的花費的Token都沒有很多。
[45:01] 所以原則上你使用go方案,
[45:03] 一般來說應該都是夠用
[45:06] 的。那今天呢我幫大家做了這個示範之後啊,
[45:10] 接下來我會試用一段時間的go方案,
[45:13] 來去處理我的日常事務。
[45:15] 那接下來我又試用一段時間之後,
[45:18] 再跟大家心得分享說,
[45:20] 使用OpenCode一個月,第一個月5美金,
[45:24] 第二個月10美金的go方案,
[45:27] 可以處理一般你數位教學老師的日常事務嗎?
[45:33] 是可以的嗎?
[45:34] 我試用完一段時間之後,
[45:37] 因為今天是我第一次用啦,
[45:38] 我為了給大家看,所以我花了160塊去試給大家看。
[45:42] 那使用go方案就不用擔心說像剛剛這樣子,
[45:45] 我處理比較大型的任務,
[45:47] 燒錢的狀況大家就不用擔心。
[45:49] 好,所以使用的go方案就是從這個額度去扣。
[45:53] 所以達到使用限制之後,
[45:55] 使用你的可用餘額。
[45:56] 這我沒有開啦,那我會幫大家試用看看如何。
[46:01] 所以它的成本就不會算在這邊的成本。
[46:04] 我來看一下。
[46:07] 接下來,draw MCP無法呼叫。
[46:11] 這說話應該不是用MCP。
[46:13] Kimi2.6速度還行。
[46:16] 為什麼我會說速度還行,
[46:17] 是因為Codex真的很慢。
[46:19] Gemini 3.5真的很快。
[46:21] 速度很快,燒錢也很快。
[46:23] 真的是錢用噴的。
[46:24] 各位,真的不要輕易嘗試啊3.5真的不要不要,
[46:28] 真的不要。
[46:30] 它是速度超快,但是燒錢的速度也很快。
[46:34] 好我們讓它去看。
[46:36] 那上下文的話,這個在我第10集有講過了,
[46:39] 大家可能要去看一下上下文,
[46:41] 就是用量多少。
[46:43] 這邊都是可以切換的狀態。
[46:45] 我下次再跟大家介紹這個Harness裡面的LSP
[46:49] 是甚麼。下次再說。
[46:51] 所以我現在裝了好多的MCP在這裡。
[46:55] 好來,大家對於OpenCode還有甚麼問題?
[46:57] 最佳方案應該是說,如果你是go訂閱之後,
[47:01] 你就是使用這些陸版的模型。
[47:03] 陸版模型的
[47:04] 伺服器全部在美國。
[47:05] 所以資料是到美國那邊處理。
[47:08] 你的對話資料因為你有付費的關係所以也不會被拿去
[47:12] 做訓練。
[47:12] 這個是呼叫做技能。
[47:15] 好這所有技能常用哪家?
[47:17] 我剛剛講的那幾家都蠻好的啊,
[47:20] 看看狀況。
[47:21] 那如果你是使用訂閱制的話,
[47:23] 你就盡量把最好的開出來用啦。
[47:26] 像KIMI 2.6就是很好的模型,
[47:28] 所以我就拿出來用。
[47:29] 也是多模態。
[47:30] 簡報大家剛剛已經做
[47:32] 了。再來的話,OpenCode我會研究方向,
[47:35] 我會研究本地端。
[47:37] 因為最近的話,本地端的AI有一些技術的突破。
[47:41] 所以我會用我的設備,
[47:45] 我的顯示卡是4080,有12G的VRAM。
[47:49] 因為我的VRAM沒有很多,
[47:52] 所以我能夠裝的模型也不多。
[47:54] 所以我會以8MB,顯示卡8MB以內的模型去裝給大家看。
[47:59] 說我能不能利用本地端的模型結合OpenCode
[48:03] 來去處理我的日常事物。
[48:05] 就可以做到完全免費來使用Agents。
[48:10] 那在這個OpenCode裡面我覺得比較好的方式是你處理
[48:13] 一般事物的時候才免費的這個出來用。
[48:16] 這個已經正義化用了。
[48:19] 所以應該是OK的。
[48:20] 好來所以簡報大綱PDF原始是好所以
[48:26] 他並沒有使用我的Draw技能我的Draw技能可能他沒有
[48:30] 呼叫到你要洗吧來我們來看一下簡報大綱他做了
[48:34] HTML簡報啊OK好你知道
[48:41] 那Draw技能需要測試一下因為這個我有接
[48:46] OpenAI的API Key所以可能需要測試一下可能沒有接好
[48:52] 就這樣吧!
[48:53] OpenCode!
[48:55] 所以大家覺得如何呢?
[48:57] 你現在看完之後,你對OpenCode有了解嗎?
[49:01] 所以如果說你想要試試看,
[49:03] 有的沒有的AI,各式各樣的AI,
[49:07] 你都可以在OpenCode裡面使
[49:08] 用那你也可以去接你自己的,
[49:13] 你也可以去接你OpenAI的啦OpenAI你有訂閱的話你可以
[49:17] 接來這邊用。
[49:18] 你可以把你的ChatGPT的Codex接來這邊用是可以的。
[49:22] Google的話我有接,但是因為真的太貴了。
[49:24] 所以我個人不建議。
[49:26] 真的太貴了。
[49:28] 如果你有GitHub Co-Pilot了,
[49:30] 接過來可以免費用。
[49:31] 但是GitHub Co-Pilot本來就要訂閱啦,
[49:34] 所以實際上你已經有花錢
[49:35] 了。OK,好,來自訂供應商的話,
[49:39] 這應該是本地端的啦,本地端。
[49:40] 那我之後會幫大家實驗本地端能不能用。
[49:43] 能用的那一天我一定拍影片跟大家講。
[49:46] 怎麼樣免費使用AI-Agents。
[49:49] OK嗎?好!
[49:51] 以上就是今天OpenCode的基本功第二集。
[49:54] 幫大家實驗低成本免費的AI-Agents。
[49:58] 能不能用呢?
[49:59] 我目前測試到這邊可以用。
[50:02] 是可以用的。
[50:03] OK!
[50:05] 今天直播就到這邊囉!
[50:07] 那明天晚上還有直播是9點。
[50:09] 那大家想要聽什麼主題呢?
[50:11] 什麼主題都能講。
[50:13] 我們明天見。
[50:16] 晚安。
[50:16] 還是要講一下。
[50:17] 如果你想要關注AI在教學上應用的話,
[50:22] 要訂閱、按讚還有分享喔。
[50:24] 我們下期再見。
[50:25] 拜拜。感謝GATATA。
[50:28] 感謝DNN。
[50:29] 拜拜。好。
[50:31] 感謝你支援75塊今天的成本。
[50:33] 謝謝。今天的成本沒有錯。
[50:35] 今天的成本是用掉75塊。
[50:38] 拜拜。
