[00:02] 好 那接下來
[00:04] 我們要講這個作業五
[28:19] 我發現這邊有一個bug
[28:20] 這個bug是什麼
[28:21] 這個bug就是這邊不需要 '
[28:23] 不好意思 記得把這個 '拿掉
[28:26] 這邊不需要 ' 我們把input vector
[28:29] input 這個vector裡面每一個
[28:31] dimension減掉m 減掉mean
[28:33] 再除以standard deviation以後得到x'
[28:36] 就是layer normalization的輸出
[28:40] 得到layer normalization的輸出以後
[28:43] 它的這個輸出 才是FC network的輸入
[28:48] 而FC network這邊
[28:50] 也有residual的架構
[28:52] 所以 我們會把FC network的input
[28:55] 跟它的output加起來 做一下residual
[28:58] 得到新的輸出 這個才是
[29:01] transformer encoder裡面
[29:03] 一個block的輸出
[29:05] 這邊還有一件事情是漏講了
[29:07] 這個FC network做完residual以後
[29:10] 還不是結束 你要把residual的結果
[29:13] 再做一次layer normalization
[29:16] 這邊已經做過一次了
[29:17] 這邊還要再做一次 得到的輸出
[29:19] 才是residual network裡面
[29:23] 所以這個是挺複雜的
[29:27] 所以我們這邊講的 這一個圖
[29:29] 其實就是我們剛才講的那件事情
[29:31] 首先 你有self-attention
[29:34] 其實在input的地方
[29:36] 還有加上positional encoding
[29:39] 我們之前已經有講過
[29:40] 如果你只光用self-attention
[29:42] 你沒有未知的資訊
[29:44] 所以你需要加上positional的information
[29:47] 然後在這個圖上
[29:48] 有特別畫出positional的information
[29:51] 這一塊它這邊寫一個
[29:53] Multi-Head Attention
[29:54] 這個就是self-attention的block
[29:56] 這邊有特別強調說
[29:58] 它是Multi-Head的self-attention
[30:01] 這邊有一個Add&amp;norm是什麼意思
[30:05] 就是residual加layer normalization
[30:09] 我們剛才有說self-attention
[30:11] 有加上residual的connection
[30:13] 加下來還要過layer normalization
[30:16] 這邊這個圖上的Add&amp;norm
[30:18] 就是residual加layer norm的意思
[30:22] 接下來 這邊要過
[30:24] feed forward network
[30:25] fc的feed forward network
[30:26] 以後再做一次Add&amp;norm
[30:29] 再做一次residual加layer norm
[30:32] 才是一個block的輸出
[30:34] 然後這個block會重複n次
[30:38] 這個複雜的block
[30:40] 其實在之後會講到的
[30:41] 一個非常重要的模型BERT裡面
[30:44] 會再用到 BERT
[30:46] 它其實就是transformer的encoder
[30:50] 講到這邊 你心裡一定充滿了問號
[30:54] 就是為什麼 transformer的encoder
[30:57] 要這樣設計 不這樣設計行不行
[30:59] 行 不一定要這樣設計
[31:02] 這個encoder的network架構
[31:04] 現在設計的方式
[31:05] 我是按照原始的論文講給你聽的
[31:08] 但原始論文的設計 不代表它是最好的
[31:12] 最optimal的設計 舉例來說
[31:14] 有一篇文章叫
[31:16] on layer normalization in the transformer architecture
[31:19] 它問的問題就是 為什麼
[31:22] layer normalization是放在那個地方呢
[31:24] 為什麼我們是先做
[31:26] residual再做layer normalization
[31:29] 能不能夠把layer normalization
[31:37] 放到每一個block的input
[31:39] 也就是說 你做residual以後
[31:43] 再做layer normalization
[31:44] 再加進去 你可以看到說左邊這個圖
[31:47] 是原始的transformer
[31:49] 右邊這個圖是稍微把block
[31:52] 更換一下順序以後的transformer
[31:54] 更換一下順序以後 結果是會比較好的
[31:57] 這就代表說
[31:58] 原始的transformer 的架構
[32:00] 並不是一個最optimal的設計
[32:02] 你永遠可以思考看看
[32:04] 有沒有更好的設計方式
[32:06] 再來還有一個問題就是
[32:08] 為什麼是layer norm 為什麼是別的
[32:10] 不是別的
[32:11] 為什麼不做batch normalization
[32:13] 也許這篇paper可以回答你的問題
[32:16] 這篇paper是Power Norm：
[32:17] Rethinking Batch Normalization In Transformers
[32:20] 它首先告訴你說 為什麼
[32:22] batch normalization不如
[32:24] layer normalization
[32:25] 在Transformers裡面為什麼
[32:29] 接下來在說
[32:30] 它提出來一個power normalization
[32:32] 一聽就是很power的意思
[32:34] 都可以比layer normalization
[32:36] 還要performance差不多或甚至好一點
