[00:02] 哈囉 大家好安因為剛剛電腦非常delay
[00:06] 所以再找一下原因好 那如果等一下播到一半當機的話
[00:11] 大家就知道是怎麼回事了
[32:22] 好,再來第三個。
[32:27] 根據前面那兩件事情,
[32:31] 你就可以把你能夠做事的場景擴展。
[32:36] 等於是你就跳了一個維度出去,
[32:39] 以前你可能只能在平面上工作,
[32:41] 你現在就是可以在空間裡面工作。
[32:43] 所以大原則是各位你們一定要學會使用
[32:47] Aging去工作。
[32:48] 跟深層次AI是完全不同維度的東西,
[32:53] 完全不同檔次的東西,真的。
[32:54] 所以大家趕快真的是Codex給他裝下來,
[32:59] 開始跑了。
[33:01] 好,所以看Aging動手,等一下我們就Demo一下好不好?
[33:06] 好,所以今天要帶走兩件事情,
[33:10] 你是聊天還是要動手的?
[33:12] 如果聊天的話,我不是說聊天甚至是AI沒有用,
[33:15] 很多時候我需要問問題,
[33:17] 就是我需要純對話的,我還是會開聊天的視窗出來,
[33:21] 就是問他問題,就是對話,
[33:23] 是沒有OK的。
[33:24] 可是如果你需要動手的話,
[33:26] 就要開專案,就這麼簡單,
[33:28] 好不好?
[33:29] 所以Token的話,Token的話我覺得,
[33:32] 我不知道欸,我覺得Token費用會下降,
[33:34] 可是因為我們做的事情變複雜
[33:35] 了。所以大家會沒有這種感覺,
[33:37] 他有這樣講。
[33:39] 就是我們能做的事情變複雜了。
[33:41] 所以變成是你會覺得說怎麼還是這麼貴?
[33:45] 是因為我們能做的事情變複雜了。
[33:48] 所以當你做複雜事情的時候,
[33:51] 你就會花掉比較多的Token。
[33:53] 所以你不會覺得Token變便宜了。
[33:56] 當然Token越來越便宜是正常的。
[34:00] 以後就是電了。
[34:01] 電力的上限在哪邊?
[34:03] 算力就在哪邊?
[34:04] 好不好?以後我覺得我們AI
[34:06] 電力能力的上限會是我們地球上電力的上限,
[34:09] 就是AI能力的上限。
[34:11] 最終一定會走到這一步。
[34:13] 電力來決定算力。
[34:17] 所以這個是小克。
[34:20] 你們現在看到這個全部都是小克做的。
[34:27] 我現在來示範一下,簡單幾
[34:29] 個。第一,
[34:31] 就是我的筆記本。
[34:35] 各位,你們一定要有一個第二大腦筆記本。
[34:38] 你們在使用代理人的時候,
[34:39] 一定要有一個第二大腦筆記本。
[34:41] 那我第二大腦筆記本的話,
[34:42] 你們看一下我這筆記本。
[34:44] 我這筆記本的東西,就全部都是我現在做的專案的內容,
[34:48] 還有我的創作庫。
[34:50] 創作酷的話,裡面你會看到我所有影片的
[34:58] 紀錄。
[34:59] 所以像我的筆記本裡面,
[35:01] 我所有影片都會有一個筆記本。
[35:03] 這些都是我創作的內容,
[35:05] 全部都是我的內容。
[35:06] 所以這個是沒有問題。
[35:08] 那裡面像我有一些工作的資料,
[35:11] 像我的Mass Game,
[35:13] 像我這個工作,
[35:17] 比如說我做了什麼遊戲,
[35:18] 在這裡面都會有非常詳細的紀錄。
[35:21] 那這個就是我走過的歷程。
[35:23] 所以我的意思是說,你們一定要使用代理人的
[35:27] AI之後,一定要有自己的第二大腦是因為你在做所有事情
[35:30] 的時候,你都可以用筆記把它記錄下來。
[35:33] 這個就是你的教學歷程,
[35:36] 你的學習歷程。
[35:37] 這些資料就是代表你走過的歷程、
[35:40] 做過的事。
[35:41] 所以裡面會有所謂的採坑記錄。
[35:43] 採坑記錄就是我犯過的錯。
[35:46] 我在做的過程裡面就是我犯過的錯。
[35:49] 那原來這裡面都會記錄下來我曾經犯過什麼錯。
[35:52] 所以你們一定要有這樣的一本筆記本。
[35:55] 那Codex裡面也可以去點接這個第二大腦。
[35:58] 我之後的影片第二集、
[35:59] 第三集會講。
[36:00] 就是怎麼樣去用Codex去點接你這個第二大腦。
[36:04] 都非常簡單。
[36:05] 你有了之後,接下來所有
[36:07] 的資所有事情你就是都用你的第二大腦去把它記錄下來。
[36:10] 那所有東西都在這個裡面。
[36:12] 所以超多。
[36:14] 我跟你講我的筆記量非常的多。
[36:16] 我現在是非常多。
[36:16] 我現在在做的是Codex。
[36:19] Codex懶人包。
[36:22] 所以已經開始在做懶人包了。
[36:24] 所以大家盡情期待一下,
[36:27] 之後會有一系列影片教大家怎麼去裝Codex。
[36:30] 我已經在做了。
[36:32] 好,所以像這個的話就是,
[36:34] 不管是做你的
[36:40] 教學或是做你的創作,像我的創作就是編影片,
[36:44] 那裡面有的人創作可能是寫文章,
[36:48] 有可能是寫程式、寫作品,
[36:52] 不管怎麼樣。你在跟他協作的過程裡面,
[36:54] 我通常都會跟我的第二大腦,
[36:58] 我的第二大腦都會記錄下來我做的所有的事情。
[37:02] 這個筆記本是用Obsidian,
[37:04] 我的頻道裡面有Obsidian詳細的教學,
[37:08] 如果大家有興趣可以去我頻道裡面看。
[37:12] 這個東西真的非常好用,
[37:14] 所以我推薦大家,你使用AI-Agent,
[37:18] 你一定要有自己的第二大腦。
[37:20] 這第二大腦不管你換什麼工具都能用,
[37:23] 它會一直留著,除非這個資料不見
[37:26] 了。那語言上它這個資料就是純文字檔而已,
[37:30] 它就是一個markdown的格式而已,
[37:31] 但是會把你所有在數位世界裡面,
[37:34] 你所有在用AI做的事情的歷程全部記錄下來。
[37:37] 你在使用下一個AI或是你接下來在做開發的時候,
[37:41] 這個筆記本真的是你第二檔,
[37:43] 真的會大大的協助你做接下來的事情。
[37:46] 像我在跟小克對話的時候,
[37:48] 我跟他說,小克你去讀什麼筆記本?
[37:50] 小克你去讀什麼筆記本?
[37:52] 他就會去讀那個筆記本,
[37:53] 然後他就知道說我要做什麼。
[37:55] 我都不用跟他講。
[37:57] 所以這個筆記本真的是超級方便。
[37:59] 大家一定要去裝你的第二大腦。
[38:02] 這個是AIH時代必備的筆記本。
[38:05] 絕對是必備的,沒有質疑。
[38:07] 現在沒有質疑。
[38:08] 所以很多的內容我都是記錄在
[38:14] 我的筆記本裡面。
[38:15] 真的很方便。
[38:18] 再來就是我來示範一下Codex
[38:23] 的Computer Use。
[38:24] 我們在做專案的時候,我們都是這樣子做。
[38:27] 比如說,我現在先找到我小克的專案。
[38:32] 所以我在這邊找到我的……
[38:34] 如果是這種不需要本地端程式的,
[38:37] 就是你只是要生成檔案的話,
[38:39] 我會習慣用我的Google雲端硬碟。
[38:41] 可是如果說你是要做程式,
[38:43] 是要打包程式起來用的話,
[38:44] 就是利用本地端的磁碟機來做會比較好。
[38:48] 好,所以我在代理人小克這邊,
[38:51] 然後我去做一個資料夾,
[38:54] 叫做新增數學。
[39:04] 好,所以我新增好這個資料夾之後,
[39:06] 來各位,我們在使用agent的時候,
[39:09] 我們在使用agent的時候,
[39:10] 我們就是一定要有一個工作的資料夾。
[39:13] 這個是起手勢啦。
[39:14] 你在這邊就新增一個新的專案。
[39:18] 新的專案的話,你用Claude Code跟Codex
[39:22] 都是一樣的。
[39:23] 邏輯都是一樣的。
[39:24] 使用現有資料夾。
[39:25] 我新增一個資料夾也可以。
[39:26] 然後你就去選剛剛我們建好那個資料夾。
[39:29] 等一下你要做的事情都是在那個資料夾裡面完成。
[39:33] 你不一定是專案,但是我等一下要做的事情,
[39:36] 我需要把東西下載下來,
[39:38] 所以我一定要選資料夾。
[39:40] 所以我選小克數學利益試題,
[39:42] 然後選擇資料夾。
[39:43] 然後接下來它就會出現這樣的畫面說,
[39:47] 你這是一個新的資料夾,
[39:49] 像這樣。
[39:50] 要揮錄嗎?
[39:52] 好,
[39:57] 現在我就在這個數學利益試題裡面去做了。
[40:00] 好,那我就這樣跟它講。
[40:01] 請你上網去找國
[40:08] 中數學。
[40:10] 教育會考歷屆試題。
[40:11] 最近五年的歷屆試題。
[40:14] 幫我下載下來到這個資料夾,
[40:16] 使用你的computer use。
[40:21] 實際上應該是不需要跟他講用computer use。
[40:24] 你知道現在可以做到這樣的功能就是,
[40:28] 你就請他上網去找。
[40:29] 我們現在在的資料夾是國中數學歷屆試題的資料夾。
[40:35] 那我等一下要做的事情是它會下載下來,
[40:37] 就是有檔案嘛。
[40:39] 所以它就會存在這個資料夾。
[40:40] 大家懂這個邏輯嗎?
[40:42] 那你寫成也是一樣,或者你工作也是一樣,
[40:45] 這叫動手。
[40:46] 動手就是說它真的就是會處理到檔案的部分。
[40:50] 那就是aging。
[40:52] 好,所以呢我就按提交。
[40:57] 那它就自動去使用它內建的功能去幫我做這件事情。
[41:01] 然後我現在把這個資料夾開出來給大家看。
[41:03] 我電腦開始又在Delay了。
[41:10] 好所以呢,還沒付費使用Claude可以直接放棄?
[41:13] 對,沒錯,如果你還沒付費使用Claude Code的話,
[41:17] 直接放棄,直接用Codex就可以了。
[41:19] 對,沒錯。
[41:22] 沒錯。好像這樣。
[41:25] 好,各位,那我現在就是給大家看喔。
[41:41] 給大家看他現在對話然後跟檔案講。
[41:47] 你看喔,他現在開始,
[41:50] 他就會自己想辦法去完成這件事情。
[41:52] 你看到嗎?搜尋網頁,然後歷屆試題是下拉選單,
[41:57] 然後背後的檔案連結下載筆,
[41:59] 使用每年更準。
[42:00] 現在資料講是空了。
[42:04] 大家仔細看見證奇蹟的時候到了。
[42:08] 你就看它的對
[42:15] 話。它背後會開瀏覽器,
[42:19] 這瀏覽器是在你的背景旁。
[42:21] 你還是可以操控你的電腦。
[42:24] 只是說它會有一個虛擬瀏覽器在背景旁。
[42:27] 那瀏覽器就像我們人類一樣,
[42:29] 是會上去點它。
[42:30] 所以實際上所有可以開瀏覽器的事情,
[42:33] 你都可以叫它做。
[42:35] Codex一定要訂閱OpenAI嗎?
[42:37] 對,沒有錯,20美金。
[42:40] 那你像這種aging功能,
[42:42] 目前你免費沒辦法做啦。
[42:44] 各位老師,如果說你要免費做到這事情,
[42:47] 我覺得有點強人所難啦。
[42:49] 因為這些東西就是要花算力的,
[42:51] 算力都是要
[42:52] 錢啦。所以20美金以OpenAI來說,
[42:55] 因為它目前要跟Claude Code做競爭。
[42:58] 所以用量來講,我覺得用量來說,
[43:01] 應該體感上應該是Claude Code的2-3倍。
[43:07] 比如說5個小時的限制,
[43:09] 我自己工作大概2個多小時,
[43:11] 將近3個小時,就會把5個小時額度用完。
[43:14] 那你會說5個小時額度用完,
[43:17] 怎麼那麼?
[43:17] 對沒有錯,所以當你超過這個範圍代表你需要去選下一個
[43:22] 額度的用量。
[43:24] 那如果你不想要再多花錢,
[43:26] 你就等5個小時。
[43:27] 5小時之後他就可以再使用。
[43:29] 這樣大家理解這個意思嗎?
[43:32] 那Codex一定要有20美金訂閱的查辦方案。
[43:34] 各位你看我畫面,大家有看到嗎?
[43:37] 大家看這邊?
[43:38] 大家看我這邊?
[43:39] 好,如果需要登錄帳號密碼,
[43:43] 他會停下來會要你登錄帳號密碼,
[43:45] 是可以的。
[43:46] 但是有些比較敏感,比如說可能是你的銀行網銀,
[43:50] 或是你可能有一些機密資料的帳號,
[43:53] 帳號密的網站,我個人建議就是不要,
[43:56] 就不要。
[43:58] 那像這個我叫他去抓利益事體,
[44:00] 就不是那麼敏感的。
[44:03] 所以你看他在抓囉,你有看到嗎?
[44:06] 各位,我的雲端雲蝶憑空生出113
[44:09] 年、114年的試體來,大家有看到嗎?
[44:15] 所以他就是像這樣,你根本只是只要跟他下命令就
[44:21] 好了,他自動幫你抓好了
[44:23] 甚至你可以再過分一點,
[44:24] 你剛說去抓完之後,你可以一次交代好全部要做的事情,
[44:28] 他一次幫你做完各位,這個就是Agent。
[44:32] 跟我們生成師AI對話完全是不同的東西,
[44:38] 完全是不一樣的東西。
[44:40] 所以我覺得接下來的幾個月就是Agent大爆發的時代,
[44:45] 因為我覺得像Claude Code跟Codex已經是非常成熟的
[44:49] Agent了。可是大家為什麼不用呢?
[44:51] 為什麼大家不用呢?
[44:52] 你知道每一個人,你知道他能夠做到的事情,
[44:56] 你請一個人來做,你月薪要給他四萬五萬。
[44:58] 他才能不能做到這些事情。
[45:00] 你一個月花600塊去叫他做這些事情,
[45:02] 我覺得真的太划算,真的太划算。
[45:04] 因為他能夠做到事情,這是超乎你的想像。
[45:08] 你只要叫他做事情,院上大部分的狀況下,
[45:12] 他都是使命必打。
[45:13] 真的。所以你也不太需要去管提示詞的部分,
[45:17] 你就是叫他做事就好。
[45:22] 好,所以大家看一下。
[45:26] 反正他會自己想辦法解決。
[45:28] 我們剛剛講過Agent是這樣。
[45:30] 他會想辦法解決中間的問題。
[45:32] 然後來去達成你的任務。
[45:34] 這個就是Agent。
[45:36] 好,Gemini CLI本質上也是一種Agent。
[45:39] 我知道現在有Gemini CLI本質上也是一種Agent。
[45:42] 所以Google已經有在做了。
[45:44] Google已經有在做了。
[45:46] 但是我會說Google得要趕快跟上。
[45:49] Groq是一種Agent。
[45:51] Claude是Command Line Interface,
[45:54] 就是命令輸入列的視窗。
[45:57] 命令輸入列的視窗比較不友善。
[45:59] 就像我們以前學那種DOS一樣。
[46:02] 你需要用命令輸入,可是比較不友善。
[46:05] 所以我介紹的像Claude Code跟我的OpenAI
[46:11] 它就是屬於GUI,
[46:16] 就是圖形化介面。
[46:17] 跟我們在使用Windows是很類似的。
[46:20] 所以如果說你是不排斥Claude的話,
[46:24] 本質上Gemini的Claude就是一種aging。
[46:27] 它是可以操控本地端檔案的,
[46:29] 這個都是aging。
[46:31] 我覺得Google可能需要整合一下它目前的功能,
[46:35] 因為它最近放很多功能出來,
[46:37] 可是它這些功能都是很離散的,
[46:39] 很分散的。
[46:42] 所以它現在有了Gemini CIOI,
[46:45] 我覺得是好事。
[46:46] 接下來就是希望它能夠把它整合起來,
[46:49] 因為像現在三大家,像Claude、
[46:52] GPT、Google、Gemini。
[46:55] 那現在這兩家的agent已經很成熟了。
[46:58] 那Google他們不是沒有能力啦。
[47:00] 我也不曉得為什麼。
[47:01] 就是他們應該要趕快把agent跟上。
[47:04] 那使用邏輯,我覺得,使用邏輯都是一樣的。
[47:08] 各位,我們在使用agent的使用邏輯都是一樣的。
[47:11] 我現在跟你講這個東西,
[47:13] 你別加出了agent,他的使用邏輯是一樣的。
[47:16] 大家你們就是要去學使用邏輯。
[47:19] 那我的Claude基本功就是已經講了基本的agent
[47:23] 的使用邏輯。
[47:25] Manus比較不一樣。
[47:27] Manus是做好之後全部做好之後到本地給你。
[47:32] 我覺得Manus比較不一樣。
[47:35] 我比較不好定義Manus是什麼。
[47:42] 好,所以你看喔,各位,你們有沒有看到?
[47:44] 這邊我已經做好了,你看到嗎?
[47:47] 本地端的檔案你知道嗎?
[47:48] 就是本地端。
[47:50] 所以我在Codex已經做好了。
[47:53] 生存的是血腥暴力。
[47:56] 你要看API的生圖那邊有沒有限制。
[48:01] 如果生存的系
[48:07] 統提示詞裡面有限制的話就不行。
[48:15] 所以我們常說AI其實是有一些系統提示詞在身上的,
[48:20] 所以有些人用AI解禁的意思就是它的系統提示詞被破
[48:24] 解,它是可以突破它的系統提示詞,
[48:27] 那它真的就是可以生成任何東西。
[48:29] 所以一般你像那種官方的AI放出來,
[48:32] 它都是有一些系統提示詞有講說它不能夠做什麼的,
[48:36] 那個東西就是不是我們能夠改的。
[48:39] 好,來,我現在看到這個畫面是Codex,
[48:42] 大家OK嗎?
[48:43] 那Codex先退場了,好吧?
[48:45] Codex先退場。
[48:47] 好,接下來,
[48:50] 我呼叫小克。
[48:53] 我電腦好Delay喔。
[48:55] 電腦超級Delay。
[48:59] 我的Claude Code,Delay當中。
[49:04] 好我來回答一下Alice Chen。
[49:07] Skill,Skill就是Skill。
[49:09] 它沒有分CodexSkill或是ClaudeSkill,
[49:12] Skill就是Skill。
[49:13] Skill它就是一個固定格式的一個說明書。
[49:18] 它就是一個固定格式的說明書。
[49:20] 你拿到任何地方都能用。
[49:22] 所以並不是Codex有Codex的Skill。
[49:25] 沒有,應該說Skill,Codex認得Skill,
[49:27] Claude Code認得Skill,任何的AI都認得Skill,
[49:30] 只要他懂。
[49:32] 你認得Skill,Schedule就能用。
[49:34] Skill上面是,Skill就是使用說明書,
[49:37] 就是他做一件事情的使用說明書。
[49:39] 可是在使用說明書裡面可能會用到一些工具。
[49:42] 如果你的AI裡面沒有這些工具的話,
[49:44] 他會跟你講說,你的Skill缺什麼工具?
[49:47] 你要裝嗎?
[49:48] 或是能不能裝?
[49:49] 他院上中間就是想辦法幫你去完成。
[49:52] 那大原則就是他會自己判斷說,
[49:54] 你少了什麼?
[49:55] 我能不能做?
[49:56] 如果不能做的話,有什麼替代方案?
[49:58] 這個就是Aging。
[49:59] 所以我們要釐清一下,Skill
[50:02] 是用說明書。Skill就是Skill,
[50:04] 它沒有分Codex有Skill,
[50:05] Claude有Skill,沒有這個Skill在Codex沒有
[50:08] Skill跟在ClaudeSkill是一樣的Skill。
[50:11] 因為格式是相同的,那格式是全部人都是統一的。
[50:16] 好,都是使用Claude Code跟Claude Work。
[50:20] 好,這兩個東西,我來回答一下Edison
[50:24] Wang。
[50:26] 我的Claude今天掛點了,
[50:29] 所以我沒辦法示範,我今天就來回答問題就
[50:32] 我把Claude關掉,
[50:35] 等我一下。
[50:37] 那我回答一下Edison。
[50:40] 等我一下,我怕我關錯,
[50:43] 我關到直播。
[50:44] 好,先把Claude關掉。
[50:46] 我應該要重開機再開直播,
[50:49] 但我現在來不及。
[50:49] 平常用都沒事,
[50:54] 今天直播一直出問題。
[50:56] 直播今天就輕鬆一點。
[51:01] 我就來解答大家的問題。
[51:03] 沒關係,大家儘管問。
[51:04] 我解答大家的問題到10點。
[51:06] 現在就是我改成Anti-Gravity是IDE。
[51:10] 它是一個介面讓你串接AI工具的介面。
[51:14] 所以大家要分清楚。
[51:16] IDE就是IDE。
[51:18] 它是一個串接你常用工具的介面。
[51:22] 比如像Cursor,VSCode,
[51:25] Anti-Grav
[51:26] ity。這是屬於ID,它是一個竄接你AI工具的一個介面,
[51:31] 一個整合器。
[51:33] 我現在講的是你各家原生的Agent 的工具。
[51:39] 我現在開出來。
[51:40] 我一個一個回答大家的留言。
[51:44] 這邊的話,ClaudeSkill可以直接轉到Codex?
[51:47] 可以。
[51:48] 完全是沒有問題,因為他們就是一樣的東西。
[51:51] 差別在於說,你在ClaudeSkill裡面,
[51:54] 你寫的時候可能會說,我現在要
[51:56] 做我把這些事情寫成Skill,
[51:58] 所以它會打包成一份實用說明書。
[52:01] 這個實用說明書在Codex裡面也是讀得懂,
[52:03] 它完全讀得懂,它也會照做。
[52:05] 可是在做的過程裡面,可能有些東西是用到你
[52:08] Claude裡面的其他Skill或是其他的功能。
[52:11] 但是Codex裡面還沒裝,
[52:13] 或是它沒有這個名稱。
[52:14] 它就會告訴你說,你這個技能裡面什麼東西沒有。
[52:18] 然後它可能會中心會有一些過程,
[52:20] 會要你去重新生成或是重新裝。
[52:22] 那大原則是,你不管在Claude的
[52:26] Skill,還是Codex、MixSkill,
[52:27] 他們都是同樣的東西。
[52:28] 只是在這個使用說明書裡面,
[52:30] 他有用到什麼內容?
[52:32] 那可能在Codex裡面,他沒有這個內容,
[52:34] 他就想辦法問你或找你要。
[52:36] 那你只要給他之後,這個技能完完全全是可以,
[52:39] 就是同步過去是沒有問題的。
[52:42] 這樣成評夥伴將會回答到你的問題嗎?
[52:45] 好,再來我現在講的是,
[52:48] 那個Claude Code跟CodeWork的差別在哪裡?
[52:52] 好,我們在這裡,我們分三種。
[52:55] 這是ClaudeChat,這是Claude CodeWork,
[52:58] 這是Claude Code。
[52:59] 有人問到說這兩個差別在哪邊?
[53:04] 這兩個差別在說,你要做很複雜事情的時候就是用
[53:08] Claude Code。
[53:09] 那如果你要做的事情沒有很複雜的話,
[53:12] 就用CodeWork。
[53:14] 那CodeWork的話,它比較不會細向到說,
[53:18] 你需要對話去處
[53:21] 理。所以我會注意到很詳細的事情。
[53:22] 比如說我今天要做的事情,
[53:25] 我本來直播要做的事情是,
[53:26] 我把剛剛那些考卷下載下來之後,
[53:28] 我要請Claude Code去分析考卷,
[53:31] 做成四題分析的講義,
[53:36] 做成投影片,做成C到B策略的建議,
[53:41] 再生成四題。
[53:42] 我本來是要做四、五件事情。
[53:45] 比如說這種事情的話,你需要詳細的一些細節跟設定的話,
[53:50] 需要跑很多比較精密的設定的話,
[53:52] 就是用Claude Code。
[53:54] 所以簡單的說,做複雜的事情使用Claude Code,
[53:58] 然後做簡單的事情使用CodeWork。
[54:00] 這樣有回答到Edison老師的問題嗎?
[54:03] 那他們兩個做事情的方式都很像,
[54:06] 那CodeWork比較像是說你跟他講說做什麼做什麼,
[54:08] 他一樣也可以上網,他一樣會去讀本地端檔案,
[54:12] 你一樣也跟他資料講。
[54:14] 如果說他比較不是做精密操作的事情,
[54:17] 就是用Claude Work。
[54:19] 那如果你要做精密操作,
[54:20] 比如說你要接MCP、你要串接工具、
[54:23] 你要做一些程式開發,那就是比較麻煩的事情,
[54:27] 是你在做程式開發的時候,
[54:29] 你需要去測程式,好這個時候你就要使用Claude
[54:31] Code。可是Claude Work能做的是,
[54:34] Claude Code都能做。
[54:35] 所以應該是說,你使用Claude Code可以做所有的事情。
[54:41] 可以做到Claude Work的事情,
[54:43] 也可以做到Claude Chat的事情。
[54:46] 那你只用Claude Work可以做到Claude Code部分的事情。
[54:50] 然後可以做到Claude Chat全部的事情。
[54:54] 那如果你是用Claude Chat的話,
[54:55] 他沒辦法做到Claude Work的事情,
[54:56] 也沒辦法做到Claude Code的事情。
[54:58] 所以Claude Code大於Claude Work大於Claude
[55:00] Chat。這樣大家理解嗎?
[55:03] 所以我的建議是如果你要易勞永逸的話就直接學
[55:06] Claude Code,易勞永逸。
[55:07] 那你要做一些比較簡單的事情,
[55:09] 比如說去讀信件或是去找資料、
[55:13] 整理檔案,比較簡單事情的,
[55:15] 那你就叫Claude Work來做。
[55:18] OK嗎?
[55:18] 有理解嗎?
[55:22] 好,Gemini有等同AI Aging的工具嗎?
[55:26] 目前沒有。
[55:27] 那你用Antiquities可以做到部分程式開
[55:31] 發。就是寫程式的部分我覺得應該是ok啦。
[55:35] Antigravity我沒有研究啦。
[55:37] 那使用Antigravity應該是可以做到寫程式,
[55:42] 然後把它掛到GitHub上去。
[55:43] 我覺得應該是沒問題的。
[55:44] 但是因為Antigravity它的門檻稍高稍微高一點。
[55:49] 所以我個人建議就是如果你要去學的話,
[55:53] 你可以先從我覺得現階段以OpenAI
[55:59] 的Codex學起會比較好。
[56:01] 因為Claude Code大家覺得太貴嘛。
[56:03] 現階段就是平價的Agen現在就是
[56:07] OpenAI的Codex。
[56:08] 你沒得選,因為現在只有兩家。
[56:11] 然後使用上就是這樣,
[56:14] Codex就是這樣。
[56:17] 開出來就像這樣。
[56:19] 就跟你的聊天視窗是一樣的。
[56:22] 只不過它多了一個專案功能而已。
[56:26] 邏輯上你要重新學Agent的邏輯,
[56:31] 差別就在這邊而已。
[56:33] 這個介面是圖形化介面,
[56:34] 絕對是可以截圖給它。
[56:37] 但是它可以完全做到的事情就是使用
[56:41] Clai介面能做到的事情,
[56:42] 它也都能夠做到。
[56:43] 它也能夠去讀你的檔案、
[56:45] 跑你的程式,它都是可以做的。
[56:46] 院上沒有什麼做不到,但是圖形化介面。
[56:49] 所以我認為門檻最低的Agent
[56:53] 就是從OpenAI的Codex開始。
[56:56] 開始學。
[56:57] 那你這個東西學會之後,
[56:59] 在網上進階的話,像一些ID,
[57:01] 像AntiGravity、VS Code,
[57:03] 然後或者是像Cursor,你們進階再網上學,
[57:09] 因為很多人也是用VS Code去接Claude Code去工作,
[57:13] 我覺得也OK,是可以的。
[57:15] 那最簡單的就是現在你看到的Codex跟Claude
[57:17] Code桌面板,這兩個是最簡單的。
[57:20] 因為你只要邏輯通了,在這上面工作,
[57:22] 跟你在使用甚至是AI工作,
[57:24] 沒有太大的差別。
[57:26] 只不過他能做的事情多很多。
[57:29] 就這樣而已。
[57:31] UCK0.422的話,
[57:35] 你用Gemini抓取每日產品行情跟產品去抓入
[57:38] Google雲端,我可以跟Obsidian連結當Claude
[57:41] 第二大腦。
[57:42] 好是可以的,但是中間要有一個轉換的過程是,
[57:47] 你用Gemini,比如像Deep Research,
[57:49] 你去抓每日產品的行情跟產品去試,
[57:52] 你抓入Google雲端,他的Google雲端的文
[57:55] 件是,所以你Document文件必須要再做一個轉換,
[58:00] 轉成Obsidian的Markdown格式,
[58:03] 然後放到Obsidian的Vault資料夾裡面去,
[58:06] 才可以當作是他的第二大腦。
[58:08] 最終會需要一個轉換的過程。
[58:10] 在Agin的時代裡面,這個轉換過程是完全沒有問題的。
[58:14] 如果我用Agin來做這件事的話,
[58:16] 我就請Agin每天幫我抓產品的行情跟產品趨勢。
[58:20] 然後抓完之後自動把我轉成筆記本放進去。
[58:24] 在A群裡面做是非常簡單的事情。
[58:26] 可是如果你不用A群做的話,
[58:28] 就會有點麻煩。
[58:31] Difi M8N,M8N的話它是工作流。
[58:34] Skill上可以取代M8N,
[58:38] M8N的話應該是會被淘汰。
[58:40] 那我現在講一下M8N的話,
[58:41] 它是工作流是比如說你設好幾個工作流的節點,
[58:45] 遇到什麼做什麼做什麼對不對?
[58:47] 可是在A級時代裡面,他的Skill,
[58:49] 他的做事情不是這樣。
[58:51] 他比如說這邊跑不通,這一條路跑不通,
[58:54] 他會想辦法跑別條路也就是說我們的Skill
[58:57] 的跑法是動態的比如說你給他一些標準但是比如
[59:03] 說在這裡面的每個流程他跑過去的時候如果有不行有
[59:07] 遇到不行遇到問題他會想辦法解決想辦法跑到下一個
[59:12] 流程去可是N8N的話就不行。
[59:15] 所以應該是說N8N是比較適合那些固定工作流程的。
[59:19] 可是在Agent時代我們用大部分的Skill
[59:23] 可以做到N8N的效果。
[59:27] 但是N8N不太能做到我們現在Agent的Skill
[59:30] 的效果。
[59:31] 所以我覺得是應該說Agent時代的Skill
[59:35] 工作的部分可以完美的覆蓋N8N能做到的事情。
[59:39] 所以我認為N8N應該是會被淘汰。
[59:42] 對。
[59:45] 好。
[59:46] 來。所以今天因為我的Claude Code 當掉了,
[59:50] 所以我沒辦法演示我本來今天要演示的內容。
[59:52] 不過沒關係啦。
[59:53] 就當聊天嘛。
[59:54] 來,還有問題嗎?
[59:55] 趕快。
[59:56] 呵呵呵。
[01:00:00] 不能出錯流程就是N班。
[01:00:02] 沒錯。沒錯。
[01:00:03] 可是Skill的話就是他比較聰明,
[01:00:05] 他自動會去調整。
[01:00:07] 所以你只要給他標準,給他說明。
[01:00:10] 那我們Skill,Skill可以呼叫Skill。
[01:00:13] 我覺得Skill是很成熟的設計。
[01:00:18] 消耗很快,
[01:00:20] 消耗很快應該是正常吧?
[01:00:27] 指定一下消耗很快,看你做什麼事情。
[01:00:29] 如果你叫他做很難的事情或很複雜的事情,
[01:00:33] 他使用的Token的數量很多,
[01:00:35] 當然是消耗很快。
[01:00:36] 雖然五小時的限制是說,
[01:00:38] 你當然可以一下子很快就把五小時用完,
[01:00:40] 當然是這樣子。
[01:00:41] 但是五小時你很快就用完,
[01:00:44] 你要省錢就是等下一個五小時。
[01:00:47] 那如果你常常就是你沒辦法等,
[01:00:50] 那你的工作又是量大到說你用Codex的Pro
[01:00:53] 方案沒辦法完成,就代表你要定下一個方案,
[01:00:57] 就是3000,我看一下3000多少,
[01:01:01] 看一下。好,
[01:01:09] 來,我給大家看一下方案啦,
[01:01:10] 方案在這裡。
[01:01:16] 對,
[01:01:20] 我體感是Codex的Token燒起來比較慢,
[01:01:23] 沒有錯。體感的話應該是兩倍啦,
[01:01:26] 應該是割到兩倍到三倍啦。
[01:01:29] 然後Codex的那個,
[01:01:33] 對,Wasser Use是比較,
[01:01:35] 是比較好的。
[01:01:37] 目前最強。
[01:01:40] 來這邊。
[01:01:43] 所以如果你覺得你的工作複雜到說Pro
[01:01:47] 的部分,你要很快用完。
[01:01:50] 可是你知道很快用完是怎樣?
[01:01:51] 很快用完你知道嗎?
[01:01:52] 很快用完就是說,因為你知道像那些工程師等級,
[01:01:56] 像我不是工程師啦,像我不是工程師,
[01:01:59] 他們那工程師是同時好幾個
