[00:00] 來各位我們來看一下他整理好的好不好。
[30:04] 大家有看到嗎?
[30:05] 他幫你填好檔案就會幫你另存心腦。
[30:08] 另存心腦是我教他做的。
[30:10] 所以填完之後像這樣。
[30:14] 好 這樣 這樣 這樣填好了
[30:15] 裡面有一些資料啦 有一些是我個人資料 我就不給大家
[30:18] 看了好不好好 所以填資料幫你填任何的表格
[30:23] 幫你填任何的文件填
[30:25] WordDone喔
[30:26] 所以從現在開始學校有任何需要填的東西
[30:29] 你只要把資料給他 叫他填就
[30:31] 好了好 你覺得這個功能對你是有幫助的 幫我打一個
[30:35] 888好 再來整理檔
[30:37] 案先檔案給我文件 各位這是我的文件文件這麼亂。
[30:43] 我想要他幫我整理我的文件。
[30:49] 這個時候我只要怎麼樣。
[30:51] 文件是在我的OneDrive裡面。
[30:53] 試試看好了。
[30:55] 文件下載。
[30:57] 來整理一下下載好了。
[30:59] 各位你看這是我的下載資料夾。
[31:04] 你們一定有一個資料夾是這麼亂
[31:06] 的。OK 我們現在來整理這個下載資料夾。
[31:09] 那A群的話它就是可以在下載。
[31:15] 它就可以動你裡面的檔案。
[31:17] 所以你告訴它資料夾的目錄。
[31:20] 在我這個資料夾裡面,你先幫我看一遍裡面所有的檔案。
[31:25] 我想要整理這個資料夾。
[31:26] 你先幫我預測一下你要怎麼整理你的整理計畫是什麼。
[31:32] 那有些檔案可能是不必要的。
[31:35] 你先幫我列出
[31:36] 優先。優先需要刪除的名單,
[31:39] 然後將這些資料集中在一個資料夾上面寫上代刪除,
[31:45] 然後跟我報告一下,最後由我來確認。
[31:48] 好,所以像這樣。
[31:49] 你就告訴他說我在這個資料夾裡面,
[31:53] 我要你幫我整理檔案,像這樣。
[31:55] 那我讓他去看有哪些檔案,
[31:57] 有些檔案可能是需要刪除的,
[31:59] 我先請他幫我整理出來。
[32:01] 那刪除這件事情呢,你讓他去做是比較危險的。
[32:05] 所以一般來說,我們在做刪除的時候,
[32:08] 都會請他先幫我把需要刪除的檔案放在一個目錄裡面,
[32:14] 由我本人親自去做刪除。
[32:16] 一般來說我們都是這樣。
[32:18] 他就真的可以去讀整個資料夾的內容。
[32:23] 所以你看他全部讀到了,
[32:25] 你看到嗎?這邊。
[32:28] 來,所以幫我深度研究並整理出一份完整的下載資料夾
[32:33] 分類與自動化歸檔計畫。
[32:35] 我只要給它全線就可以了。
[32:38] 原上大家都很聰明啦,這個沒有什麼做不到啦,
[32:42] 只有想不到沒有做不到啦。
[32:44] 所以由它去判斷做分類。
[32:46] 當然你也可以指定,比如說你可以指定說按照檔案類型
[32:50] 來去做分類也可以,是可以的。
[32:52] 所以你可以指定這件事情讓它去做分
[32:55] 類。好 所以你如果沒指定的話那就是讓他去做分類。
[33:00] 有時候讓他去做分類也是不錯的,
[33:02] 是因為他也蠻聰明的。
[33:04] 他會自動根據你的檔案類型做分
[33:06] 類。
[33:07] OK好,所以我就不斷的放權限給他,
[33:11] 接下來他就會幫我處理啦。
[33:14] 我看喔,有名詞可以說好,
[33:17] 在設定頁面找到Agent或Terminal相關區。
[33:19] 尋找Terminal Command Auto Execution。
[33:23] 好 來我來試試看在這個目錄裡面。
[33:26] 設定頁面找到Agent。
[33:29] Agent setting。
[33:30] 這邊我已經改啦。
[33:32] Always proceed。
[33:33] 這我已經改啦。
[33:35] 在哪裡呢?
[33:37] Tour Permissions沒有啊。
[33:38] 我已經改了。我的意思是我已經改了。
[33:40] 他仍然要詢問了。
[33:41] 這一點讓人家覺得完成。
[34:03] 當然要確認喔,你千萬不要傻傻的沒確認喔所以你自己
[34:07] 要確認喔,他幫你排好說代刪除是這樣有
[34:11] 些什麼教學資源跟班級經營,
[34:13] 幫你分類
[34:14] 這樣如果這你不滿意的話,
[34:15] 你一樣可以再教他再分類一次那
[34:18] 我目前看起來勘用了,至少整理好了我之前用過
[34:23] Claude Code去整理,Claude Code也整理得非常好。
[34:26] 那Antigravity的話,我覺得可能要多給他一些分類。
[34:30] 他幫我分類,分的太大類了。
[34:32] 分五大類。
[34:35] 好,就這樣吧。
[34:37] 所以目前看起來Antigravity在處理檔案部分是沒有問題
[34:41] 的。
[34:42] 非常厲害。
[34:46] 好!那今天就是基本功第二集的部分就這樣
[34:51] 囉!
[34:52] 大家還有沒有什麼問題呢?
[34:53] 如果沒有問題的話,
[34:56] 那我們今天就到這邊囉!
[34:59] 那如果你想要關注AI在教學上應用的話,
[35:04] 要訂閱按讚還有分享喔!
[35:06] 那我們下期再見!掰掰!
