[00:00] 他的額度、他的用量幾乎是免費。
[28:39] 所以他幫我查好了。
[28:41] 就是五段敘事。
[28:45] 那一般你這個社群影片的話都需要Hook。
[28:48] Hook意思是說我一開始就是要丟出一個引起別人動機
[28:54] 的一個觀看的。
[28:55] 東西叫Hook。
[28:57] 後面的話就有一些比喻、
[28:58] 機制、應用、總結。
[29:00] 所以他就幫我把腳本寫好。
[29:03] 寫好之後他就問我說視覺方案是這樣的。
[29:09] 視覺方案是六種版面、
[29:10] 紫色標識Kimi,Emoji、
[29:13] 輔助識別。
[29:14] 所有的數據、著名來源是在這邊。
[29:19] 所以他會先上網去找完資料。
[29:21] 然後才會去做這個影片。
[29:23] 所以你看全部都是自動化。
[29:25] 所以接下來它就開始生成影片的。
[29:28] 重點是我覺得OpenCode Go也蠻快的。
[29:30] 所以其實我很喜歡用OpenCode Go你們知道嗎?
[29:34] 我很喜歡用OpenCode Go我覺得它真的是又便宜又好用。
[29:38] 好,所以我自己在使用的話,
[29:41] 我有頂尖的agent。
[29:42] 頂尖agent的話,就是拿來做那些你需要做規劃的。
[29:46] 所以像這個腳本啊,像這個腳本我就是使用
[29:49] Claude去製作的。
[29:51] 所以,這個腳本規範是用Claude做的。
[29:54] 那我用Claude做好這個腳本規範之後,
[29:56] 我再丟到OpenCode裡面,
[29:58] 讓OpenCode去按照Claude Code做出來的規範去執行。
[30:03] 所以大家有沒有發現我們在Agent時代的話,
[30:05] 你必須要分工。
[30:06] 分工的意思是說,最頂尖的、
[30:09] 最聰明的那些模型去做規劃,
[30:11] 然後把那些方案、把那些做法,
[30:14] 把我們整個專案是怎麼做的,
[30:16] 我們都把它規劃完也跑完了。
[30:18] 把該修的地方都修完之後,
[30:21] 做成一個工作流。
[30:22] 那這工作流很簡單,你只要叫那些便宜的方案,
[30:27] 然後使用我們既定的工作流去執行,
[30:31] 然後去做產出。
[30:32] 所以像這種狀況,我們就不需要最聰明的語言模型去做
[30:36] 這些事情。
[30:37] 所以我就會選擇使用OpenCode裡面的Go方案,
[30:41] 然後選擇DeepSeek V4 Flash。
[30:43] 那像他做這種影片是不需要讀圖片的,
[30:46] 所以就不需要拍到Kimi2.6來去使
[30:49] 用。好 所以它在做的過程裡面 我也讓大家看一下用量。
[30:54] 好 用量的話應該是在這個分頁嗎?
[30:57] 這分頁好 來大家看一下 目前夠的用量齁
[31:01] 我剛剛有使用 你看我剛剛我使用KIMIKIMI
[31:06] 還蠻傷的齁 但是有時候不得不用啦再來
[31:12] 用量 大家看嗎?
[31:14] 來 KIMI 2.6 你們看到嗎?
[31:16] KIMI 2.6然後我們往下看。
[31:19] 來大家看一下KIMI2.6有沒有看到KIMI2.6
[31:22] 我剛剛兩個對話0.0240
[31:26] 跟0.0314這個價錢。
[31:29] 好再來來Flash大家看你比較一下比較一下這是
[31:35] Flash這是KIMI2.6你有看到那個巨大的落差嗎它
[31:40] 就是這麼便宜Dip-seek V4Flash就是這麼便宜所以又便
[31:46] 宜又好用。
[31:46] 這差太多了。
[31:48] 好,所以這個價格差這麼多。
[31:52] 所以你在使用Deep-Sea V4的時候,
[31:55] V4 Flash的時候,這邊基本上是不太會動的。
[31:58] 你用不完啦,你用不完。
[31:59] 你用不完五小時的
[32:01] 量。原商你用不完。
[32:03] 好,回到,對,差了快30倍,
[32:06] 沒錯。
[32:06] 那接下來就開始生成這個影片了。
[32:09] 我們等一下影片完成之後就差不多了。
[32:13] 我使用go方案,你go方案可以當作是一個備
[32:19] 用的,我都拿它來做苦工,
[32:22] 最雜欺、雜霸、雜事我都是拿opencode
[32:27] 頂尖的要計畫、聰明模型去做,
[32:31] 我就不會開opencode。
[32:32] 為什麼?因為opencode的Zen方案,
[32:34] 你開那些頂尖模型去做還是蠻貴的。
[32:36] 所以我是用包月字的頂尖模型來去做這種事情。
[32:40] 然後再來,下方的話你可以把這個,
[32:42] 達到限制後,使用你的可用餘額。
[32:45] 意思是說,你這邊限制到之後啊,
[32:48] 你去做這個,打開之後,
[32:51] 它就會去使用你的這個Zen方案的餘額。
[32:54] 從裡面開始扣。
[32:56] 但是我覺得一般人要把它用完還蠻難的啦。
[33:01] 我已經很努力在用了。
[33:02] 我說實在話真的很努力在用。
[33:04] 還是很難用完。
[33:07] 超級划算喔。
[33:08] 第一個月5美金啦。
[33:09] 第二個月10美金。
[33:10] 所以我覺得真的非常划算。
[33:13] 好。OpenCode Go。
[33:14] 再來我教大家一些小技巧。
[33:17] 就是我問大家。
[33:18] 因為你OpenCode Go方案啊。
[33:20] 它是這樣子。
[33:22] 它是你只要有那個
[33:26] API Key就可以大家共用一個API Key。
[33:30] 所以你看喔,來這裡我不是有OpenCode Go方案,
[33:33] 我有一個API Key嗎?
[33:36] 你可以五、六個人甚至十個人共用一個OpenCode Go
[33:40] 的API Key。
[33:41] 大家都開DeepSeek V4 Flash。
[33:45] 我覺得五小時的額度,五個人、
[33:48] 十個人用同一個API Key。
[33:50] 然後都用Deepseek V4 Flash應該都用不完
[33:54] 5小時的耳度。
[33:55] 所以大家理解我的意思嗎?
[33:57] 對,我們API Key是可以讓很多人同時使用
[34:01] Agin,然後用最便宜的Deepseek V4 Flash。
[34:05] 你可以5個人、10個人用同一把API Key。
[34:09] 基本上應該是用不完,應該是用不完。
[34:12] 5小時耳度應該是用不完。
[34:13] 所以你作為入門上手來去使用
[34:17] Agin,我覺得使用OpenCode Go方案,
[34:21] 然後讓大家使用同一個API Key來去試用
[34:26] Deepseek V4 Flash是可行的。
[34:32] 所以我覺得5個人、10個人Deepseek V4 Flash
[34:35] 應該是用不完5個小時的耳朵。
[34:37] 真的非常的神,因為它會是Kimi30倍
[34:41] 30分之1的用量你知道嗎?
[34:44] 所以我覺得這是一個好的方式。
[34:49] 所以OpenCode它是可以用各家的,
[34:52] 你看哪一家都可以用,你只要APIKey就可以。
[34:56] 所以像深深有Token的話,
[34:58] OpenCode的Cinco非常的棒。
[35:00] 好,這個是我自己試用
[35:03] 的心得。
[35:04] 來,接下來好了嗎?
[35:05] 因為它正在生成影片,所以我的電腦會有點
[35:08] delay。來大家關於OpenCode基本功第三集有什麼問題
[35:12] 可以在聊天室留言我們在等待影片的過程可以幫忙回
[35:16] 答快點難得的QA時間快點那大家對於陸版模型很少使
[35:20] 用但是我個人沒有政治因素了
[35:23] 那這個資安問題是本來大家都要有具備資安的意思就是
[35:28] 今天你敏感資料你本來就應該要去識別化或者是敏感
[35:31] 資料你就不應該上雲端所以這些雲端AI或是陸版模型
[35:36] 處理AI的資料應該都是要去識別化的資料或者是你認為
[35:41] 安全的資料你才讓它去處理。
[35:43] 所以一般來說我在做我自己教學的資料應該都是沒有
[35:46] 什麼大問題的。
[35:47] 那如果我要處理學生資料的話,
[35:50] 我一定會做去識別化。
[35:52] 所以關於資安、AI的素養,
[35:56] 我覺得大家本人應該是具備的。
[35:58] 所以不管用什麼模型都一樣。
[36:00] 那陸版的模型大家不熟悉。
[36:03] 但是我說一次實在話,陸版模型真的也不差。
[36:07] 就是又便宜又好用。
[36:09] 好,所以我們已經做完了。
[36:11] 接下來我們來看一下影片。
[36:13] 科普影片,OpenC
[36:15] ode。所以路徑的話在這裡。
[36:17] 我們接下來來看影片喔。
[36:19] 把影片開出來。
[36:20] 它存放的是在我的本地的硬碟。
[36:24] OK 好 這個地方 Render 這個是使用
[36:29] OpenCode最便宜的模型做出來的影片。
[36:33] 好 我們接下來看影片吧。
[36:36] 你在OpenCode裡有哪個模型?
[36:38] 這個選擇可能讓你每個月差30倍的呼叫次數。
[36:42] 當你執行斜線Connect選擇OpenCodeGo,
[36:45] 你會看到一排模型。
[36:46] DipSeek V4 Flash、DipSeek V4 Pro、
[36:48] TimmyCare.6,它們不是同一種東西。
[36:49] 打個比方,Flash這項機車,
[36:51] 輕巧、靈活、省油。
[36:53] Pro 像房車、馬力足、攻堅大。
[36:54] Kimi上卡車,載的最多,
[36:56] 還能載貨、圖片和影片,
[36:57] 來看應規格。
[36:58] Flash和Pro都有100萬投票上下文,
[36:59] 但價格超了三倍。
[37:00] Kimi上下文256K,但支援圖片和影片,
[37:02] 只有它能做。同樣是購得10美元月費,
[37:04] 你能呼叫的次數差距超大。
[37:05] Flash每月158000次。
[37:07] Pro約17000次。
[37:08] Kimi約5700次,所以如果你每天大量使用,
[37:11] Flash是你的好朋友。
[37:12] 但如果你在做複雜的架構設計,
[37:13] Pro或Kimi的深度思考能力更有價值。
[37:15] Dipsic V4 Flash,OpenCode最划算的選擇。
[37:17] 每月158000次呼叫,每百萬輸出托預
[37:23] 設開啟思考模式,它會花更多時間推理,
[37:25] 輸出品質更高。
[37:26] 適合複雜的保修覆,架構決策、
[37:27] 程式碼審查。
[37:28] TimiCare.又是三個里最特別的。
[37:30] 它能看圖片和影片。
[37:31] 擅長程式碼任務,在Rest,
[37:33] O,拍翻表現都很穩定。
[37:34] 而且它最懂中文。
[37:35] 所以重點不是哪個模型最強,
[37:37] 而是哪個最適合你現在要做的事。
[37:38] 選對了,又快又省。
[37:40] 選錯了,浪費時間也浪費錢。
[37:42] 快速開發,寫新功能,跑測試,
[37:44] 用Flash。
[37:45] 深度除錯,架構設計,用Pro。
[37:47] 需要看圖,長程式碼,用Timi。
[37:49] 這就是OpenPro的價值。
[37:51] 10美元一個月,
[37:52] 三種模型自由介換。
[37:54] 簡單任務用發展前,複雜任務用Pro或金屬品質。
[37:56] 選對工具、選對手指碼。
[37:57] 下次在OpenCode離開模型的時候,
[37:59] 想想你需要的是機車、
[38:00] 房車還是卡車。
[38:01] 好,來,大家覺得這個影片OK的打888
[38:05] 好不好。
[38:06] 來,各位,這是用最便宜的模型做出來。
[38:09] 那你看喔,我們如果用頂尖模型的話,
[38:12] 比如說用Claude去做這個影片的話,
[38:14] 大概會花掉我三分之一的五小時而錄到一半。
[38:17] 那你用Claude Code去做這個影片的話,
[38:20] 大概兩部影片、三部影片,
[38:22] 你就會把你的額度用完。
[38:24] 可是你知道嗎?
[38:25] 你使用Deep Seek V4 Flash,
[38:28] 你可以一直做、一直做、
[38:30] 一直做、一直做、一直做。
[38:33] 基本上近乎無限的用量。
[38:36] 近乎免費額度。
[38:37] 你說是不是很可怕?
[38:40] 大家理解我的意思嗎?
[38:42] 當你有一個agent,
[39:18] 這個就是OpenCode購方案的最大價值。
[39:23] 好,以上就是今天OpenCode EP03
[39:28] 的全部內容。
[39:29] 我把這個標題稱作是近乎無限的最
[39:35] 划算的方案。
[39:39] 好!今天的影片就到這邊囉!
[39:43] 如果你想要關注有關於AI Aging在教學上的應用的話,
[39:47] 要按讚、訂閱還有分享喔!
[39:49] 我們下期再見!
[39:51] 掰掰!
[39:52] 回答一下談成的問題。
[39:55] 簡報裡面有圖片要生圖,
[39:57] 適合嗎?很適合啊!
[39:58] 你要生圖的話就像這樣,
[40:00] 我示範給大家看。
[40:02] 我的Deep Seek V4 Flash 要深圖是可以的,
[40:04] 是因為A群可以外接任何的功能。
[40:08] 來我現在示範給彈城看。
[40:09] 請你用我的Draw技能、
[40:12] 深圖技能去畫一張資訊圖表,
[40:16] 來去表示剛剛那個科普影片裡面的內容。
[40:19] 好,所以它是有深圖技能的。
[40:22] 那我現在用的是,大家要理解這件事情就是,
[40:26] 你雖然是文字的語言模型,
[40:29] 但它仍然能夠生成圖片,
[40:31] 是因為,文
[40:31] 字模型意思是說它不能讀圖片,
[40:34] 但它仍然可以處理圖片。
[40:36] 比如說它可以生成圖片。
[40:38] 允許。
[40:40] 因為我已經有幫它掛技能了嘛。
[40:42] 它也可以上網去抓圖片。
[40:44] 或是你準備好圖片給它。
[40:46] 它也可以幫你放進去。
[40:48] emoji的圖片它也可以處理。
[40:50] 那如果是寫python程式碼去生成那些html
[40:55] 的圖片。
[40:56] 或是程式碼的圖片。
[40:58] 幾何圖形的圖片。
[41:00] 它還都是能夠完成的。
[41:01] 他的缺點是他不能夠讀圖片。
[41:05] 這樣大家理解這個意思嗎?
[41:07] 所以不要覺得說文字型的AI好像就比較弱,
[41:10] 並沒有。
[41:10] 他是Agent啊!
[41:12] 各位!他是Agent!
[41:14] 他可以外掛任何的技能,
[41:17] 因為他是Agent,他不是深層式AI。
[41:21] 所以大家要轉換一下概念,
[41:23] Agent就是Agent。
[41:24] 他可以外掛任何的技能。
[41:26] 就算他是文字型的大型語言模型,
[41:29] 我們仍然可以在這個Harness系統裡面幫他架構好所有
[41:35] 他需要的東西。
[41:36] 他會自動去調用所有的工具來去完成你交代任務。
[41:42] 唯一的缺點是他不能夠讀懂圖片的內容。
[41:46] 這樣有回答到談成的問題嗎?
[41:49] 他是Agent。
[41:51] 他不是生成式AI,他是Agent。
[41:54] 好,所以我幫他外掛了一個生徒技能。
[41:57] 所以他會自動去調用我給
[41:59] 他一個人。它的OpenAI的API Key。
[42:02] 所以它會使用Image2的技能來去生成圖片。
[42:06] 所以像剛剛它不是處理了一個科普的影片去跟大家解
[42:10] 釋說OpenCode Go的三種模型的適用的地方嗎?
[42:15] 對不對?然後我現在直接請它畫圖。
[42:18] 所以畫圖就會呼叫。
[42:20] 好,完成了。
[42:20] 完成了。來給大家看一下。
[42:22] 完成了。
[42:23] 在這邊。進方圖。
[42:24] 這就是這樣。
[42:25] 看一下在OpenCodeVideoOutput
[42:29] 裡面的Generate。
[42:31] 圖片那有什麼問題?
[42:33] 各位,圖片那有什麼問題?
[42:35] 來,這是Deepstick V4 Flash生成的圖片,
[42:39] 大家有看到嗎?
[42:40] 這對他來講是太簡單的事情了,
[42:42] 我今天只有示範影片,可是他什麼事都能做?
[42:45] 各位,他什麼事都能做?
[42:47] 因為他是Agen,他只是沒有頂尖語言模型那麼聰明,
[42:52] 但他所有的雜事他都能做,
[42:54] 包含你給他圖片,圖片的事情他都能
[42:57] 做只要你幫他加掛了技能,
[43:00] 他就能夠做。
[43:02] 來,你覺得圖配OK的999,
[43:05] 你聊天室打個999。
[43:07] 各位,歡迎來到AI Aging的時代,
[43:12] 我們下期再見,掰掰。
