[00:00] 今天來講一下AntiGravity裡面我們把Gem升級。
[25:36] GPT 5.5。這個都是最聰明的。所以藍領的
[25:36] agents是這些。
[25:37] 那白領的agents是哪些呢?
[25:38] 白領的agents我覺得像Gemini 3.5 Flash他就做得很好。
[25:42] 然後像Deep Seek,Deep Seek,
[25:44] 路板的模型也是。
[25:46] Deep Seek,B4,我覺得他做這些寫程式也是做得非常好。
[25:51] 所以通常我都是這樣,我會請藍領規劃,
[25:54] 然後派工給白領,由白領去執行。
[25:56] 那至於怎麼樣去讓你的agents去分配工作呢?
[26:01] 我也會另外再拍一部影片跟大家講要怎麼樣去用你的
[26:06] A-GEN做福分工。
[26:08] 所以你會發現在今天的影片裡面我就說了三部影片是
[26:11] 之後要拍的對吧?
[26:13] 沒有錯,在AI-A-GEN的時代有太多東西可以做了。
[26:18] 真的,有太多東西可以做了。
[26:19] 就怕你想不到沒有做不到啊。
[26:21] 所以他是已經在執行了嗎?
[26:24] 對,沒有錯,模型都有總性制度。
[26:28] 沒有錯,有那種比較高貴的模
[26:31] 型。做比較高貴的工作。
[26:34] 比較便宜的模型就是做粗工、
[26:38] 做黑手。
[26:39] 這邊我懷疑他是不是當調了?
[26:41] 做這麼慢。
[26:41] 問他你還在工作嗎?
[26:43] 所以可能跑出來當調了,
[26:45] 因為我覺得Antiguity 2還是有點不太穩。
[26:48] 可能跑出來當調了。
[26:49] 沒關係,接下來我們再做別的。
[26:53] 好,比如說我再開一個對話。
[26:55] 那Skill的話,在Antiquity 2裡面Skill也是通用的。
[27:00] 就是說,你的這個別的Agent
[27:04] 的技能拿在這邊也是可以使用的。
[27:06] 那比如說我請他列出來好了。
[27:08] 請幫我列出我現在可以使用的Skills。
[27:12] 隨便跑幾個給你們看。
[27:14] 所以從現在開始,你要把你的Gems升級成Skill。
[27:17] 不要再用Gems了。
[27:18] Gems一次只能做一件事情真的是太不方便了。
[27:21] 所以我們AI Agent的
[27:23] Skill,我們要將Gem全面升級成Skill,
[27:27] 全面升級成工作流。
[27:28] 好,所以我來看一下喔,
[27:30] 他能夠讀到我的什麼Skill呢?
[27:32] 他該不會只讀到這邊的吧?
[27:34] 看一下,這邊還在工作嗎?
[27:36] 沒有動,你們有動嗎?
[27:38] OK,好,所以這邊有六個是這一個的,
[27:40] 是這一個的,那我就叫他寫這個啦,
[27:43] 定期評量啦,
[27:44] 好不好?定期評論。
[27:46] 你看啊,他把我四個Gem整合成一個Skill,
[27:51] 我來做這個好了,定期評論。
[27:53] 然後我就到我們的一樣新增一個專案,
[27:57] New Conversation,
[28:00] 然後選資料夾,
[28:02] 然後選到剛剛的技能裡面去,
[28:05] 他幫我升級的這個Math Exam Reviewer,
[28:09] 選他,已經升級好了,Create,
[28:13] 那一樣問他,這個,
[28:14] 這個資料夾可以做什麼?
[28:16] 好,所以他幫我升級了4個技能4個Gem把它升級成
[28:19] 1個技能在這裡。
[28:21] 所以以後你要做這件事的時候,
[28:23] 你就是到這個資料夾裡面來
[28:25] 好,到這個資料夾裡面來,
[28:27] 他就會幫我去做。
[28:29] 做什麼呢?
[28:29] 我們先看一下他的使用說明
[28:31] 那使用說明他都寫在裡面了,
[28:33] 所以他就把使用說明列
[28:35] 出來讓你看一下說這是幹嘛?
[28:37] 所以我這時候我就照他的使用說明,
[28:39] 有沒有他
[28:40] 可以去出題也可以去審題這樣。
[28:43] 好,那我就跟他講吧。
[28:45] 幫我出一份七年級下學期國中數學的段考試題卷。
[28:51] 內容是一元一次不等式,
[28:55] 二元一次方程式還有二元一次方程式的圖形。
[29:00] 簡單做個示範啦。
[29:02] 哇像這樣。
[29:02] 好,所以當我跟他講說要叫他幫我出考卷的時候,
[29:07] 然後我也給他單元內容。
[29:09] 當然你也可以直接在這個
[29:10] 資料上。專案資料講的裡面給他你的教材是可以的。
[29:13] 你可以直接把你的教材你不需要在對話裡面為給他。
[29:17] 你就將教材放在那個專案資料講裡面。
[29:19] 那跟他講說叫他去讀教材。
[29:21] 然後讀完教材之後去做出題也可以。
[29:24] 因為上在Agent裡面自由度非常的大。
[29:27] 好,所以他就幫我去出這個題目。
[29:30] 然後出的時候速度非常的快。
[29:33] 那裡面我們有一個功能叫做這個Document.python
[29:37] 就是,他就是可以產生Word。
[29:40] 所以在我們的Agent裡面,
[29:42] 你是可以產生Word文件的。
[29:44] 然後這Word文件你想要插什麼圖進去都是可以的。
[29:47] 你看做完了。
[29:48] 這個是有個快的。
[29:49] 快到怎麼會這麼快?
[29:51] 啊!
[29:52] 也審題也審完了。
[29:53] 好我們看一下怎麼可以這麼快?
[29:57] 工作流都寫好了。
[29:59] 所以選這個output。
[30:01] 你看已經出好了。
[30:03] 這個是審題我沒有給他考卷,
[30:05] 直接幫我審題。
[30:06] 雙向心目表。
[30:07] 啊我的題目呢?
[30:08] 題目是這個嗎?
[30:10] 我沒有給題
[30:11] 目。題目在這兒。
[30:12] 他出一份考卷來審。
[30:14] 這題目應該要把它轉成Word檔。
[30:18] 這時候你就要跟它修一下。
[30:20] 題目的部分也要存成Word檔,
[30:22] 放到Output去。
[30:23] 實際上在升級你的卷之後,
[30:26] 你還是要再修過。
[30:27] 在這邊對話跟它修,然後來去升級。
[30:30] 再來我剛剛提到權域的意思是,
[30:32] 權域跟專案是指說,你現在在這個專案資料夾裡面,
[30:37] 它有這個專案資料夾的說明。
[30:41] 這專案資料夾說明是這樣,
[30:43] 你看喔,專案資料夾裡面,
[30:45] 在這個專案資料夾裡面會有所謂的Agence,
[30:48] 這邊有一個Markdown檔
[30:49] 然後他進來這個專案資料夾,
[30:51] 他會讀這個Agence,你在這個地方的Agence
[30:54] 寫的東西就是在這個資料夾裡面,
[30:57] 他所要做的事情我們把這個東西叫做專案的這個工作
[31:03] 流或是專案的技能,所以在這邊的話,
[31:06] 他就會寫在這邊所以
[31:07] 你看這裡的話它就會寫說要做什麼,
[31:10] 看到嗎?就是有點像是我們GEMS裡面的那個行為指示,
[31:14] 有寫在這邊好,什麼叫權域?
[31:16] 權域是說在我們整個antegrity
[31:20] 的所有專案裡面,它會有一個權域的agents.md
[31:25] 這agents.md是對權域都適用,
[31:27] 像剛剛那個專案資料夾的agents.md寫的那些工作藍圖
[31:32] 啊行為指示啊
[31:33] 只有在這個專案裡面有用。
[31:35] 那如果是痊癒的,你跟他講說我這個技能要痊癒的,
[31:39] 痊癒的技能就會在所有的專案裡面都有用。
[31:42] 這樣大家了解嗎?
[31:43] 那至於你說要痊癒跟專案,
[31:45] 你直接用中文跟他講就好。
[31:46] 比如說,我要這個技能變成是痊癒的技能,
[31:49] 你跟他講。
[31:50] 他就會幫你在痊癒技能的agents.md 的地方,
[31:55] 會幫你寫,說要去執行這個東西。
[31:58] 所以你在任何的專案,你就可以去執行你要執行的東西。
[32:02] 所以我們的技能、我們的功能都有分權域跟專案。
[32:05] 權域就是全部都能做。
[32:07] 專案只有在專案裡面可以做。
[32:10] 那這個懶人包裡面做出來的Gem的升級版的工作流或是
[32:15] Skill,都是在這個專案資料夾裡面才能做。
[32:18] 如果你要讓它到全部的專案都能做的話,
[32:22] 你要在這邊跟它講說,請你幫我把這個技能把它做成是
[32:26] 一個權域技能。
[32:27] 它就會幫你套用到整個Antigravity2裡面都能夠使用。
[32:32] 好,你聽得懂我講的,我講解的請打一個
[32:37] 8。好,大概是這樣吧,看一下跑好了沒有,
[32:41] 還在跑,還在跑,這個已經跑完了,
[32:43] 我懷疑這個當掉了,我把它關掉重開,
[32:47] 我懷疑這個對話當掉了,
[32:48] 重開一塊。
[32:49] 好,沒關係,不懂,沒關係啦,
[32:51] 因為agents有太多東西要學了,
[32:54] 真的agents太多東西要學,
[32:55] 跟真實在是很不一樣。
[32:57] 然後之後我可能會開一系列的AI Agents就是類似基本
[33:03] 功就是講全部Agent的知識
[33:05] 就是如果你想要從頭學起的話可以從那個系列開始追
[33:10] 好 所以我們看一下這個應該是
[33:12] 這個還在跑?
[33:13] 這什麼?他計畫?
[33:14] 對啊 喔他計畫還在跑?
[33:16] 對啊沒有錯啊
[33:18] 這還在跑?
[33:18] OK 該不會已經跑完了我不知道吧
[33:21] 對因為他卡很久代表是有問題
[33:22] 的因為按照他的速度他不應該卡那麼久
[33:25] 對沒有錯沒有錯小柚說的是對的
[33:27] 專案資料夾只有在那個專案資料夾裡面可以。
[33:30] 那如果你剛才說幫我改成全域,
[33:32] 就會所有的專案都能夠跑。
[33:34] 對,就是在任何對話都能跑。
[33:35] 沒錯。所以有些你可以放到全域,
[33:38] 有些可不需要放到全域。
[33:40] 可是你放到全域的話,會佔掉一點點上下尾。
[33:42] 所以你也不要說,為了方便把所有的技能或流程放到全
[33:47] 域去。真正重要的才放全域。
[33:49] 沒有必要就不要放全域。
[33:51] 全域就是全部區域叫全域。
[33:53] 全域技能。
[33:54] 全域的工作量。
[33:56] 因為痊癒的上下文是很寶貴的,
[33:58] 是你在每個專案,這個痊癒的技能都有讀取在你的上下
[34:03] 文裡面,所以當你痊癒的東西放太多的時候就會花比較
[34:07] 多的Token,那你花比較多的Token,
[34:10] 你的用量就會用掉比較多。
[34:12] 所以原則上我們只有很重要的事情才放痊癒,
[34:15] 好,他現在是在幫我做什麼?
[34:18] 他現在在做什麼?
[34:19] 我開Turbo模式他幫我做什麼?
[34:21] 我不知道他在幫我做什麼?
[34:22] 所以Turbo模式不要亂開啊,
[34:24] 所以他是在幹嘛呢?
[34:26] 唉唷 他在幫我畫什麼?
[34:27] 畫角色嗎?
[34:29] 我會害怕 我不知道他在做什麼好吧我們等這個東西做
[34:33] 完我們就收播了
[34:34] 他沒有按照我指示是繁體中文他
[34:37] 好像自己創了一個劇情
[34:38] 我都沒有給他劇情
[34:40] 有看到嗎?他在畫四格漫畫一次畫完喔我等一下叫他幫
[34:45] 我改繁體中文那
[34:46] 我覺得最大的優點在於說
[34:48] AntiGravity 2是支援Nano Banana生圖
[34:51] 的也就是說在50個繁體中文字以內你整張圖片是可以
[34:56] 蠻精準的生成中文圖片的。
[34:59] 所以大家可以把你的工作環境慢慢移到
[35:03] AntiGravity2裡面來。
[35:05] 因為它連生圖還有Gems寫程式掛到
[35:09] Netify還有GitHub。
[35:13] 原上應該都沒有什麼問題了吧?
[35:15] 對不對?是所有Gems來的工作他都能做的對吧?
[35:18] 對吧?而且做得更好對吧?
[35:20] 所以AntiGravity2原上就是生成是AI的加強版。
[35:24] 就是AI Agent好所以接下來我讓他把流程跑一遍那他
[35:30] 圖片的話他沒有生成繁體
[35:32] 中文啦所以這裡你要修啦我
[35:35] 來不及打提示史上是都幫我升好了所以
[35:37] Turbo Mode不要隨便開
[35:40] 應該開這個會比較好G
[35:41] entus應該開第二個這個F
[35:44] ull Machine開
[35:45] 這個比較好啦各位Turbo Mode就是他直接把你跑到底也是
[35:51] 有缺點啦好!
[35:53] 這樣大家OK嗎?
[35:56] 還有沒有什麼問題?
[35:57] 沒問題就跑完就收播了現在趕快有問題在聊天室趕快
[36:01] 問我有看到就回答看一下用掉多少額度謝謝
[36:06] GATTA老師Donate謝謝Models
[36:10] 用掉一格勒拼命跑還是有差啦然後
[36:14] 這邊有送1000點這邊要把它打開在Models
[36:17] 這邊把它打開這邊有送1000點每個Pro帳號有送
[36:20] 1000點你這邊用完之後會從這個點數開始扣。
[36:24] 1000點好像是100塊吧?
[36:27] 忘記多少錢?
[36:28] 200塊200塊200塊還是200塊。
[36:30] 好Output你好囉。
[36:32] 謝謝文育老師donate謝謝。
[36:35] 看來今天大家是有收穫的。
[36:37] 全面升級大家的Gem。
[36:39] 在任何agent都能跑。
[36:41] 今天這個repo任何agent都能跑。
[36:43] 好Index也做了。
[36:45] 然後好了之後你去看我上一集。
[36:47] 上一集就可以把這個網頁看你要掛到Netify。
[36:50] 還是要掛到GitHub都是可以的。
[36:52] 那如果你要簡單一點的話就掛到Netify就可以了。
[36:56] 所以每一次的工作流就是你跟他講就好了。
[37:00] 各位有看到嗎?
[37:02] 我們看一下成果。
[37:05] 成果在這個地方。
[37:07] 我沒有掛了我們上去啦。
[37:09] 我們直接看成果。
[37:10] Comet Generator在這裡。
[37:12] Output。
[37:12] 我們看一下成果如何。
[37:16] 哇塞!
[37:17] 可以耶!
[37:20] 直接畫完漫畫放上去耶。
[37:24] 哇!有角色耶!
[37:26] 各位!有沒有看到?
[37:28] 品質好高喔!
[37:29] 漫畫應該是在繁體中
[37:31] 文。啊!
[37:32] 已經半夜兩點了!
[37:33] 這個包怎麼還解不開?
[37:35] 眼皮好重!
[37:36] 欸!等等!
[37:37] 我的鍵盤怎麼自己動起來了?
[37:39] 靈異是鍵
[37:40] 嗎?才不是鬼故事呢?
[37:42] 我是由你寫的萬形爛扣中誕生的高級代碼精靈,
[37:46] 艾達。我真的加班加到產生幻覺了。
[37:49] 不過,那個困擾我三天的Bo居然被秒
[37:51] 殺了。好,我們看一下角色一致有沒有OK。
[37:54] 所以這邊是可以翻頁的,
[37:56] 下一頁。欸,角色一致OK!
[37:58] 可以欸!
[38:00] 哇,我們再下一頁。
[38:02] 哇,沒有問題,沒有問題,
[38:03] 完全沒有問題,沒有問題。
[38:05] 來,你覺得很厲害,可以的999刷起來。
[38:09] 這個已經不是卷能做到的事情了吧?
[38:13] 他一次生成三頁的一致性角色的漫畫。
[38:17] 然後做成網頁,然後配上語音。
[38:20] 上面還有角色設定卡。
[38:22] 然後所有的語音都有對白互動播放器可以去播放。
[38:26] 這個Gem做不到吧?
[38:27] 對吧?你看一次就做好。
[38:29] 所以我只要在這個資料夾裡面再跟他講說我要做一個
[38:33] 什麼場景的四格漫畫。
[38:34] 他直接整套幫我跑完。
[38:37] 各位老師,全面升級你的Gem。
[38:40] 現在趕快到我的影片下方。
[38:43] 去拿到這個repo網址,
[38:45] 然後餵給你的agents。
[38:47] 你的agents會自動幫你的Gem升級,
[38:50] 好不好?如果你想要關注更多agents在教學上應用的話,
[38:55] 要訂閱、按讚和分享哦!
[38:56] 那我們下期再見,大家晚安,掰掰
