[00:00] OpenCode基本功第四集。
[23:44] 各位是跑得出來的,但是就是,
[23:46] 你就是要打,還有在運作
[23:48] 嗎?送一下訊師還在跑。
[23:50] 他在思考中,我交代的任務你跑了嗎?
[23:53] 哎呦怎麼會?
[23:54] 失憶了,我讓他再問。
[23:55] 該不會我誤會他了吧?
[23:56] 他能跑?好,再一次。
[23:57] 現在這個對話是NVIDIA免費的API Key。
[24:01] 使用的模型是Dipsk V4 Flash。
[24:03] 好,跑了跑了跑了,可以了,
[24:04] 可以跑了,可以跑了,誤會他了,
[24:05] 誤會他了,剛剛卡了一下,
[24:07] 所以是可以跑了。
[24:07] 好,這樣大家OK嗎?
[24:09] 接下來,那現在,我們現在有了免費的
[24:13] API Key嘛,對不對?
[24:14] 然後再來Dipsk V4的用量又近近乎
[24:18] 5%。所以在我有OpenGo方案,
[24:20] 然後又有這個免費的方案。
[24:23] 是不是我就有非常多的Token來去執行我A
[24:27] gent任務?可是這個Token我沒辦法換到哪裡去?
[24:29] 換到我比較聰明的模型。
[24:31] 比如說我比較聰明的模型。
[24:32] 就好比Claude Code。
[24:34] 給大家看一下這是我的Claude Code。
[24:35] 那Claude Code的話,當然最聰明的模型就是像這個。
[24:39] 最聰明的模型嘛。
[24:40] 像這個的話就是一個月20美金嘛。
[24:42] 然後他很聰明。
[24:43] 那我原則上我都是拿這個來做規劃。
[24:46] 做規劃。規劃一些大型。
[24:48] 不能說大型。
[24:48] 我也沒有做很大型。
[24:49] 就規劃一些需要計畫、
[24:51] 需要規劃的東西。
[24:52] 需要思考的東西。
[24:52] 需要分析的東西。所以原則上我們在使用
[24:55] AI的。
[24:55] 你使用這個OP4.8來去讓他寫程式。
[24:59] 或是生成影片。
[25:00] 或是做這個教案。
[25:02] 做PPT。
[25:03] 其實是很浪費的。
[25:04] 你知道嗎?我們在做AI的工作的時候我們有分兩種。
[25:07] 一種是計畫、規劃。
[25:09] 然後分析、思考、計算。
[25:12] 像這種就是需要腦力比較強、
[25:14] 比較聰明的AI。
[25:15] 那我們通常都是會請最聰明的人。
[25:17] 那我們做好規劃之後,有時候我們要去做一些事情。
[25:20] 比如說我們需要我們規劃好之後,
[25:22] 接下來我們要去寫程式。
[25:23] 我們可能要去生成影片、
[25:25] 生成內容、生成網頁。
[25:28] 做一些比較需要工作的事情。
[25:32] 那這些事情的話,你只要規格計畫寫好了之後,
[25:36] 原則上你就不太需要叫這麼聰明的
[25:39] AI。那一般來說大家的用法是都會用這個
[25:42] Obs4.8去規劃。
[25:44] 然後執行的話會用這個Sonic-4.6去做。
[25:46] 因為Sonic-4.6是一個蠻聰明的,
[25:48] 但是它消耗的Turn比較少。
[25:50] 所以做出火的時候我們就會叫那些比較沒那麼聰明的
[25:54] AI去做出火。
[25:55] 那規劃的時候我們就叫最聰明的AI去做規劃。
[25:57] 相同的道理GPT也是GPT5.5也是屬於比較聰明的。
[26:00] 所以當我們在做規劃的時候我們是不是可以這樣子做
[26:04] 呢?怎麼做?
[26:05] 我們利用最聰明的模型然後把這個規劃做好之後
[26:09] 然後派給那些比較不聰明的模型來做事情。
[26:13] 所以我能不能做到一件事情就是我在我的
[26:15] Claude Code裡面規劃好事情之後叫OpenCode
[26:19] 去做事呢?
[26:21] 能不能呢?
[26:22] 好是可以!
[26:23] 所以我讓示範我們用Claude Code叫OpenCode
[26:26] 做事。而OpenCode花的就是免費的API
[26:30] Key的耳朵花的就是近乎無限的OpenCode的耳朵。
[26:34] 所以我們就可以怎麼樣?
[26:35] 我們就可以省下來大量的Token然後做大量的事。
[26:38] 所以我現在要幫大家規劃一下我們就是使用
[26:41] Claude Code來當作是我的第三大腦第三大腦。
[26:45] 它專門指揮
[26:46] AI、Agent、大軍。
[26:48] 大軍的話上戰場做事情那些就是士兵。
[26:52] 這些士兵的話你不需要叫聰明的人去,
[26:55] 你只要叫會做事。
[26:56] 但是數量很多。
[26:57] 所以我們這個大軍就是我們OpenCode裡面的
[27:00] Deep Deep V4 Flash。
[27:01] 因為他非常能做事,而他的額度又信乎無限。
[27:05] 而且他可以多開。
[27:07] 多開。所以我們可以怎麼做呢?
[27:09] 可以這樣子做。
[27:10] 好,我教大家怎麼做。
[27:11] 來首先,你不一定要用Claude Code。
[27:13] 你不一定要用Claude Code。
[27:15] 我這邊一樣,心
[27:16] 結一個看。然後我們現在做的事情就是我用這個第三
[27:20] 大腦。
[27:21] 我的第三大腦我一樣我的專案資料夾是同一個資料夾。
[27:24] 所以我把第三大腦有就是我的Claude Code裡面去設定到
[27:28] 今天的2026OpenCode060這個專案資料夾。
[27:31] 好,選擇資料夾。
[27:32] 好,接下來我們信任這個資料夾。
[27:34] 所以現在看到的是我的Claude Code最聰明的
[27:38] OP4.8在這邊當作是大腦。
[27:40] 這樣大家OK嗎?
[27:41] 好,再來我要怎麼樣去控制呢?
[27:44] 現在我的這個專案資料夾,
[27:46] 跟我的OpenCode的專案資料角同一個資料角。
[27:49] 我們現在兩個agent在同一個資料角工作。
[27:52] 好,我們的分工是這樣的。
[27:53] 那些需要規劃的事情需要監督的是由聰明的
[27:56] Claude Code最聰明的模型來做。
[27:58] 那些需要做出火的事情我們由OpenCode裡面免費的模
[28:03] 型或是OpenGo近乎無限的模型來去做。
[28:06] 所以用這樣的方式我們將agent的分工顯示清楚。
[28:11] 所以Claude Code就有點像是我們軍師、
[28:13] 指揮、軍團長。
[28:14] 而我們OpenCode的
[28:16] 裡面的這些便宜免費的模型就是我們的士兵因為他們
[28:21] 的量非常的多所以我們可以這樣子去使用。
[28:23] 好,怎麼去使用呢?
[28:24] 我們可以這樣子做。
[28:25] 那因為上這個資料我已經做好所以我請他去讀一下。
[28:30] 去讀我的Obsidian基本裡面有關於影片idea。
[28:34] 影片idea裡面有一部分的idea是使用Claude
[28:38] Code然後利用OpenCode及其他agent的CLI
[28:42] 來去做控制。
[28:43] 請你幫我將這個筆記讀出來。
[28:46] 接下來這份筆記我確認好之後,
[28:48] 幫我畫一個簡單的資訊圖表來去用資訊圖表解釋這個
[28:54] 原理好那它的方式是這樣的,
[28:57] 就是你知道我們所有的AI都有兩種版本,
[28:59] 第一種就是桌面
[29:00] 板那你現在看到的是桌面板,
[29:02] 你現在看到這個是桌面板,
[29:03] 那桌面板的話它是比較沒有效率
[29:05] 的那所有的A群都有另外一個版本叫做Cli
[29:08] 版本,Cli版本叫做Commend Line Interface
[29:11] CLI 意思是說它就是命令列。
[29:13] 那命令列的話它是最有效率是因為AI它對於命令列的
[29:17] 執行它讀取最簡單,因為對它而言那個就是它原生的語
[29:21] 言。所以如果你讓這個我們的Agent去跑Claude
[29:25] 版本的話它會非常有效率。
[29:27] 那GUI介面,現在你們看到這叫GUI介面。
[29:30] GUI介面就是給我們人類方便閱讀和操作用的。
[29:34] 所以在效率跟這個人類閱讀間我們的搭配是這樣子。
[29:37] 好,我們先我們先簡單一點我們用雙AI分工閉劃就好了。
[29:41] 算了。我全部全部好。
[29:43] 好,來,現在你看到這個是GUI版本的介面,
[29:46] 所以我們人類在操控的時候會非常方便。
[29:48] 可是我們要派工給其他的A群做事的時候,
[29:52] 我們就要使用的是CLI介面。
[29:55] 簡單講,我們的總指揮,
[29:57] 我們的軍師,我們就使用GUI介面。
[30:00] 比如說你的Claude Code,
[30:02] 或是你的Codex,或是AntiGravity也可以。
[30:04] 反正你就是找一個聰明的AI,
[30:06] 然後使用他的GUI介面,
[30:08] 就是圖形化介面的版本來當作是總指揮。
[30:11] 那你指揮,那你
[30:11] 指揮,那你指揮,那你指揮,那你指揮,
[30:11] 那你指揮,那你指揮,那你指揮,那你指揮,
[30:12] 那你指揮,那你指揮,那你指揮,那你指揮也會你要派工
[30:12] 下去做事情的那些agent就用Claude版,
[30:16] 好,所以我等一下示範,
[30:18] 我使用Claude Code的桌面板,
[30:20] 然後來去派工給OpenCode的Claude版。
[30:24] 好,注意喔,不是OpenCode桌面板,
[30:26] 而是派工給OpenCode的Claude版。
[30:28] 那因為我在OpenCode的桌面板,
[30:30] 我已經設定好所有的API的模型跟接口,
[30:33] 我已經設定好所有的工具,
[30:35] 我都裝好了。
[30:35] 所以等一下OpenCode的Claude版本開出來之後,
[30:39] 它會擁有桌面板之前,
[30:41] 已經是有一個空間的機構,然後它會擁有一個空間的機
[30:41] 構,然後它會擁有一個空間的機構,
[30:42] 然後它會擁有一個空間的機構,然後它會擁有一個空間
[30:42] 的機構,安裝好的所有的模型跟功能。
[30:44] 但是呢,你不用去pong它。
[30:46] 為什麼?因為它是我們的士兵。
[30:48] 他只負責做事。
[30:49] 誰來控制它呢?
[30:50] 我們的軍師、我們的大腦。
[30:52] 我們的軍師大腦的話就是用Claude Code來去控制。
[30:55] 所以我們的Claude Code會去控制OpenCode的
[30:58] Claude版本來去做事情。
[31:00] 相同的道理,你能不能使用Claude Code版本去控制
[31:03] Codex CLA版本呢?
[31:05] 可以。你能不能使用Claude Code版本去控制
[31:07] AntiGravity CLI版本呢?
[31:10] 可以。謝謝文宇老師。
[31:11] 所以實際上是我們整個邏輯的概念是我們整個邏輯的
[31:15] 概念是我們有這麼多家Agen但是你不可能同時去控制
[31:19] 每一家Agen但每一家Agen都會有每一家Agen
[31:21] 的Token額度那你都會想辦法說我今天我Claude
[31:25] Code的額度夠了好我用完了我要去用Codex
[31:28] 去用Codex用完了接下來我AMTGravity去用好用完了接下來
[31:32] 我的Open Code去用好實際上你不需要這樣你就是使用
[31:35] 一個大腦然後下去分工那分工作室的那個人就會用掉
[31:39] 他自己的程度這樣大家理解這個意思好
[31:41] 是可行啦 因為我已經拿來實作過很多次嘛
[31:44] 所以是可以做
[31:46] 的但是有一些細節要注意
[31:47] 好 接下來我們看一下我剛剛做出來的訊圖
[31:50] 好 做起來會像
[31:51] 那你不一定要用Claude Code當總指
[31:53] 揮你用Codex當總指
[31:54] 揮你用這個Antigre當總指揮也可以
[31:57] 那為什麼用Claude Code當總指揮是因為我認為
[32:00] Claude Code最穩最聰
[32:02] 明所以我個人建議用Claude Code當總指
[32:04] 揮那如果你沒有Claude Code的訂閱的話
[32:06] 用Codex當總指揮也非常
[32:09] 那如果你沒有Codex當總指揮的話,
[32:11] 那你可以怎麼樣你知道嗎?
[32:13] 你就用Google的AntiGravity當總指揮也可以那
[32:16] 這時候又有人問說,欸老師我這三個都沒有,
[32:19] 來我教你只用OpenCode的桌面板當總指揮去指揮
[32:23] 但是這樣其實沒有太多意義啦,
[32:25] 這樣沒有太多意義,好所以它的方式是這樣
[32:26] 那我們這個叫做Headless,
[32:28] Headless是說無頭派工,
[32:30] 無頭派工是我們這個agent他在做事情
[32:32] 但是無頭派工是指說他今天他出現那些確認的訊息是
[32:36] 沒有人確認的,是沒有人確認
[32:38] 的如果你只有一家OpenCode就不用這樣了。
[32:40] 我現在講的是NEO兩家。
[32:41] 比如說NEO比較聰明的AI。
[32:43] 所以我們可以用Claude Code、
[32:46] Claude Code派工給AntiGravity。
[32:48] 那AntiGravity是比較麻煩是你讀不到它的對話內容。
[32:52] 目前讀到。我還沒有辦法讀到。
[32:54] 所以替代方案是它做好的東西就生成一個檔案。
[32:58] 然後Claude Code選。
[32:58] 那另外OpenCode的話是完全沒有問題。
[33:00] Codex完全沒有問題。
[33:01] 那我今天就示範用Claude Code用OpenCode的
[33:04] Cli版。示範一個就好。
[33:05] 那其他的依詞類推。
[33:07] 其他的依詞類
[33:08] 推。那我覺得最好用就是這樣子。
[33:10] 因為OpenCode的額度是近乎無限的。
[33:13] OpenCode的額度是近乎無限的。
[33:15] 好,所以我們就先這樣來去跟大家解釋。
[33:18] 好,接下來呢,請幫我確認一下我有沒有安裝
[33:21] OpenCode CLI程式。
[33:23] 再來,如果安裝的話,幫我確認一下我能不能讀到我目前
[33:28] 在OpenCode裡面安裝的各家的模型。
[33:31] 那也幫我列出來。
[33:32] 好,我現在是這樣喔,用Claude Code去控制OpenCode。
[33:36] 我的OpenCode也用不完啦。
[33:38] 真的用不完啦。所以那些出火的話就是用
[33:40] OpenCode去。
[33:40] 那Claude Code的話我永遠都是讓他做最困難、
[33:43] 最難的事情。
[33:44] 要計畫什麼東西我都叫OpenCode來。
[33:47] 那至於要什麼寫程式、
[33:49] 產內容、產影片那些我都會叫DeepSeek去做。
[33:52] 好,所以你就可以跟你的比較聰明的AI講,
[33:56] 要去裝OpenCode的Cli。
[33:58] 然後你會看到我下面這邊的話,
[34:00] 你不會看到,你不會看到OpenCode的Cli。
[34:02] 它在背景直線。
[34:03] 所以你是看不到的。
[34:04] 這個是那個桌面
[34:07] 板。Claude Code版本就是我們的命令列上。
[34:10] 原則上就是你是看不到的。
[34:13] 所以你看喔!來!
[34:13] 你有看到嗎?
[34:14] 我的Claude Code正在操控我的OpenCode。
[34:18] 他現在有一個士兵。
[34:19] 有一群士兵是由OpenCode組成的。
[34:22] 來!你看!
[34:23] OpenCode CRI安裝了。
[34:25] 然後可以讀到的模型。
[34:27] 有看到嗎?
[34:28] 170個模型。
[34:29] 官方訂閱方案的。
[34:31] 然後OpenCode模型的。
[34:32] 有看到?好!
[34:33] 那你派工給他的時候你要跟他講說是OpenCode
[34:37] 方案裡面的。
[34:37] 誰?你要跟他講跟他講跟他講他就會去用那一個模型來
[34:41] 做事那用那個模型做事情的話就是用那個模型接下來
[34:44] NVIDIA的那你也可以跟他講說你要NVIDIA
[34:47] 裡面的哪個模型再來本機也是你可以使用
[34:50] Claude Code然後去用你的本機模型那他只是說我去控制
[34:55] 這些東西那真正做事情的時候是我的OpenCode
[34:59] 裡面這些模型在做這樣大家理解好再來我們在做派發
[35:03] 的時候有一個地方需要注意就是上下文如果說今天我們
[35:07] 派OpenCode的上下文全部都讀進來你
[35:12] Claude Code的上下文的話,
[35:14] 那Claude Code的上下文就會浪費掉很多的
[35:16] Token。這個地方你建議要如何操作才會能夠完美的去
[35:20] 銜接OpenCode做事情。
[35:22] 而你這邊又能夠不需要去讀OpenCode的上下文而得到
[35:27] 結論去做銜接。
[35:29] 好我現在講的事情就是你需要注意的什麼事情呢?
[35:32] 就是上下文。
[35:33] 因為另外一個AI,如果說另外AI對話的上下文,
[35:37] 也得到結論。都讀進來Claude Code的話你是沒有省到
[35:40] 用量的。為什麼呢?
[35:41] 因為Claude Code的Token是昂貴的。
[35:43] 所以你必須要能夠節省Claude Code的用量。
[35:46] 所以你就不應該讓OpenCode那邊對話內容產生的東西
[35:50] 全部塞到Claude Code這個上下文。
[35:53] 因為對它而言還是會傷害到它的用量。
[35:56] 所以我們為了要節省用量你就不能夠這麼做。
[35:59] 你不能夠讓Claude Code去吃那些它下面士兵產生的所有
[36:03] 的對話內容。
[36:04] 不行。所以我們得要有一個有效率的方式。
[36:06] 在它那邊做事情的時候。
[36:07] 所有對話內容。
[36:08] Claude Code 上下文。
[36:09] 它只負責派工作給你。
[36:10] 好!所以這點的話我們把這個它這邊置是做的。
[36:14] Open Code。
[36:15] 完美銜接。
[36:16] 這邊它雲辨識沒有。
[36:17] 好!
[36:20] 想想!這是最大的問題。
[36:22] 所以就是我們為了要節省Token。
[36:23] 所以我們不能夠讓我們派出去的工。
[36:26] 它那邊的上下我們這邊都。
[36:28] 所以要怎麼做呢?
[36:30] 那這邊它會給出一個方便的做法。
[36:32] 再來另外一個方式就是你也可以去整合它做好的東西。
[36:37] 我做一個東西讓兩個AI agent去殺這東西的皮膚。
[36:41] 所以今天我就教大家這樣的方式。
[36:43] 這個方式很讚哦。
[36:45] 那這個方式並不是說我平常做小事情的時候都需要這樣。
[36:48] 因為你做小事情比如說你派工派一件任務。
[36:51] 那對這個方式來講是沒有騷脫。
[36:54] 因為你派一個工作很簡單的工作叫Dipsk V4
[36:57] Flash來做。
[36:58] 那不如你自己做就好。
[36:59] 所以你一定是怎麼樣?
[37:00] 就是你需要派大量的工作。
[37:03] 然後這大量的工作是有模板。
[37:05] 然後有模板然後來去
[37:07] 來去不斷地按照這個模板然後用Deep
[37:11] Seek V4 Flash在OpenCode裡面模型。
[37:13] 它會用這個模板然後來去套用不斷的生成。
[37:17] 那模板的話就是由最聰明的AI Edge來去生成這個模板。
[37:20] 好!所以它這邊就是會給你一個派工架構裡面關鍵的設
[37:24] 計。就是縮小這個上下文。
[37:27] 就是你不要說所有的那個派工出去的這個上下文元風
[37:31] 不動灌回來。
[37:33] 那就會非常的騷2可愛。
[37:34] 所以它就會給你說三種方法。
[37:36] 派工就是把最
[37:37] 重要的方法。中結論寫進一個固定小檔。
[37:39] 中間過程完全看。
[37:40] 它只讀這個result.d。
[37:42] 另外一個就是過濾啦。
[37:44] 所以把那個事件流最多token的把它過濾掉。
[37:47] 最後幾行訊息才是最重要的。
[37:49] 只拿到尾端的結論加成。
[37:50] 中間推理過程就不禁関。
[37:51] 然後再來大型code的改寫。
[37:53] opencode在寫程式的話。
[37:55] 驗收不讀檔案全文只看這個git if的部分。
[37:58] 哪些檔改幾行有疑慮才有。
[38:00] 好像這樣。建議的標準組合。
[38:02] 好,那我這邊提供給大家這個做法。
[38:04] 你看我的這個影片。
[38:06] 你就把我現在這個對話。
[38:07] 或是這個對話。這個影片的字幕丟給你的
[38:09] Agin。你就把這個影片的字幕丟給你的Agin。
[38:12] 他就會知道說,要做。
[38:14] 所以你跟你的Agin去討論一下。
[38:15] 那大原則是我把原理告訴你。
[38:18] 好,那接下來我跟他講說,
[38:20] 在這邊我有實際跑過一個案例,
[38:22] 那請你把這個案例這個網址的連結給我。
[38:25] 所以我把我一個案例啊,
[38:27] 然後給你看。
[38:28] 這案例就是我用Claude Code去寫計畫的模皮骨架。
[38:31] 然後我這個計畫模板的股價,
[38:34] 我寫好之後啊,把它套用在大量的範例裡面。
[38:37] 那當你如果你要套用大量繁體的時候我就會去請我的
[38:41] OpenCode派工給我OpenCode然後來做這
[38:44] 應該不在這裡嗎?
[38:45] 不在這裡看一下我的基本好
[38:47] 我專案太多了看一下我的專案好
[38:50] 暫時找不到來
[38:53] 做法就是你一定要做什麼事情就是說比如說我請
[38:56] Claude Code去規劃一個東西比如說可能是你的課程或是
[39:00] 你的什麼工作
[39:02] 好那這個工作是需要有大量的股價那股價可能是類
[39:06] 似所以比如說假設啦我以國中數學為
[39:09] 例我今天我要做六冊
[39:11] 六冊每個單元學習目標的簡報
[39:13] 然後影片跟測
[39:14] 驗我一次要做六冊
[39:16] 所以這個量是非常大的
[39:17] 那當我要一次做六冊的簡報
[39:19] 然後幫我去掃描我的repo
[39:22] 我公開repo網址面有一個國中數學六冊的一個講義
[39:26] HTML的互動講義幫我找一下好那比如說你在做這種事情
[39:31] 的時候我一定是會請CCode規劃說,
[39:33] 每個單元它的簡報的架構是,
[39:35] 但是我先不生成簡報,然後去規劃說,
[39:38] 我這裡面的互動的模型要怎麼做,
[39:41] 有哪一些模型。
[39:42] 所以我把那個所有計畫的藍圖股價,
[39:45] 我會請Claude Code先寫完,
[39:47] 寫完之後呢,它會存成一個檔案,
[39:49] 那存成檔案之後,它就會派工給OpenCode的
[39:52] COI,那OpenCode的COI,
[39:53] 它就會去,它就會去拿到這個計畫書,
[39:57] 那這個計劃書的話,它就會照這個計劃書裡面補價,
[40:00] 然後來去生成內容,然後生成這個程式嘛,
[40:04] 然後生成這個網頁的H
[40:06] TML。好,這邊有人提到說,
[40:08] 如何知道哪些是難度係數高的,
[40:10] 難度係數低的。
[40:11] 所以你自己的專案工作,
[40:14] 你應該是你能夠明確的判斷哪一些是難度高,
[40:17] 哪些是難度
[40:18] 的。比如說,你要去寫很多程式,
[40:21] 寫很多的網頁,然後去生成很多的影片,
[40:24] 生成很多講義。
[40:25] 那這些東西你只要把這個藍圖跟規劃寫好之後你給他
[40:29] 教材他造成這個藍圖跟規劃的原則他就會去使用其他
[40:34] 比較低價的模型然後造成這個藍圖的規劃然後來去製
[40:37] 作好我現在找不到我的專案了我已經忘記放哪邊去了
[40:41] OK好像這樣吧我找一下我現在要給大家看一下我做的
[40:45] 東西我好像沒有放好像還沒放我這個專案放在另外一
[40:48] 台電腦這邊找不到沒辦法給大家看
[40:51] 好那我簡單的就是派工給OpenCode,
[40:53] 讓OpenCode去做事情好不好?
[40:55] 教學下的什麼?好
[40:56] 接下來你簡單的用這樣的方式派工給
[41:00] OpenCode CLI
[41:01] 使用的模型是NVIDIA DeepSync V4 Flash的
[41:05] 模型請你根據國中數學七年級下學期也就是第二
[41:11] 側的所有的教學目標、
[41:13] 教學單元來去製作HTML教學內容的簡報
[41:17] 你先規劃。
[41:18] 規劃好之後讓我看一下。
[41:20] 然後我們再派工給OpenCode ZOI。
[41:22] 目前的話我為了示範,我們先簡單的做兩個單元。
[41:26] 等一下你派工給OpenCode的時候也要把工作的資訊稍
[41:31] 微顯示一下。
[41:32] 好。所以我的畫面我是不用開OpenCode出來的。
[41:36] 所以它等一下就會規劃好之後就會派工給
[41:38] OpenCode來去寫網頁的程式。
[41:41] 所以大家理解嗎?
[41:42] 就是你要怎麼派的話我今天我只能夠簡單示範。
[41:45] 因為通常做這種事情都是要做
[41:47] 大型通常都會花掉你可能好幾個5小時的額度去做這件
[41:51] 事。然後做出來的內容。
[41:53] 你不可能都用Claude Code去做所有的內容。
[41:55] 一定是使用比較便宜的模型做那些。
[41:57] 好大概是這樣吧。
[41:58] 我有實做過啦是可以的。
[41:59] 那因為我的額度就真的是太多了。
[42:02] 來這裡。ok好這樣這樣。
[42:03] 所以你看它就派工是這樣派的。
[42:05] 用OpenCode CLI派工給這個NVIDIA的Deepthin
[42:08] Vivo Flash。
[42:09] 示範的話我們做兩個單元就好。
[42:11] 然後存HTML示範用。
[42:13] 所以它就幫我規劃了。
[42:14] 所以現在是Claude Code規劃。
[42:16] 然後接下來派
[42:17] 工。這方式他會在這個目錄底下去新建一個資料檔。
[42:20] 然後派工的話過程全部落地,
[42:22] 不灌進他的context,就是他的上下文。
[42:24] 然後要求Deepseek寫成這兩個,
[42:26] 跟一份結論摘要。
[42:27] 他只讀result.md,不讀全文。
[42:30] 派工時他會把這些工作資訊寫出來。
[42:32] 那上下文是指的是這個。
[42:33] 這個就是我們在使用AI的時候,
[42:36] 你要去管理你的上下文。
[42:37] 你上下文用的越多就會越燒你的。
[42:40] 所以,你要去盡量不要大量的去使用到你。
[42:43] 這個東西你只要雷,你只要亮多,
[42:45] 每一輪對話,它迭代的
[42:47] 就好。也就是說我們在使用context的時候我們盡量不要
[42:50] 讓這個爆掉。
[42:52] 超過50%60%要注意一下。
[42:54] 因為當你超過50%60%它每一次對話就會重讀一次說的。
[42:59] 所以就燒掉大量的耳朵。
[43:00] 所以我們在使用AI的時候啊。
[43:03] 當你這個量多的時候。
[43:06] 它那個使用量都會像這樣。
[43:08] 它不是線性的。
[43:09] 它是這樣。所以當你這個context的量越大的時候。
[43:12] 你燒掉的token的速度就會越快。
[43:16] 就是我現在的Context window很少嘛。
[43:18] 現在每一輪對話都會重新呼叫Context window
[43:20] 裡面的所有內容。
[43:22] 所以當你量少的時候,他每一次呼叫,
[43:24] 燒掉的Token數量就會少。
[43:25] 所以當你這個Context window的量已經很多的時候,
[43:28] 越多輪對話燒掉的很量就越多。
[43:31] 因為他每一次對話都會重新裡面的內容。
[43:34] 這樣大家理解嘛。
[43:35] 所以我們要使用AI的時候,
[43:37] 你要節省用量,你就要去控制你上下文。
[43:39] 這個是高者記者。
[43:40] 所以大家在學習的過程裡面,
[43:42] 你們應該慢慢的去建立。
[43:44] 所以你看,他現在派工給OpenC
[43:45] ode。所以我就用不了多少額路。
[43:48] 這個是前面我光是載入就用完。
[43:50] 是是是對。
[43:51] 小優講的是對的。
[43:52] 來現在給大家看小優的。
[43:54] 就是我用Claude Code去寫計畫書。
[43:57] 那計畫書它就是一個MD檔而已。
[43:59] 那這個計畫書我寫很詳細。
[44:01] 比如說我簡報的話要符合什麼原則。
[44:03] 那我這個重點要拆成正。
[44:04] 他把這個計畫書寫好。
[44:06] 那因為寫計畫書並不會用掉多少用量。
[44:09] 因為寫計畫,除非你給他很多資料。
[44:11] 比如說你給他這個很多資料去參考。
[44:14] 然後來寫。他會用掉很多的T
[44:15] oken。就是你給很多東西會燒掉的那寫計畫這件事情
[44:18] 寫出來只是一個MD檔案了所以並不需要花掉太多的那
[44:23] 你這個計畫書我就交給派給OpenCode那OpenCode
[44:26] 就會拿到這個計畫書他就會看到個Claude Code
[44:28] 派給他說接下來你要做什麼好每個單元要去寫網頁每
[44:32] 個單元要寫程式每個單元要生成影片每個單元要生成
[44:35] 獎好所以你就會知道說誒我等一下要做這件事那做這
[44:39] 件事情我在我有規劃計畫的狀況下任何的
[44:43] AI都可以做的大家理解這件事情嘛就是當我有
[44:46] 如果你有受到規劃、計畫的時候,
[44:48] 我任何AI在行這幾乎都可以做得很好。
[44:50] 就算我使用的比較便宜、
[44:53] 比較沒有那麼聰明的模型。
[44:55] 比如說Deep V4 Flash。
[44:56] 他拿到計畫書,他仍然可以做的。
[44:58] 他寫程式、做影片、聲講義都可以做得很好。
[45:00] 因為對他來講,他只是去執行那些計畫而已。
[45:03] 可是執行計畫過程裡面,
[45:04] 你知道我們在輸出的時候是會燒掉大量的。
[45:07] 什麼叫輸出?
[45:08] 寫程式就知道。
[45:09] 所以當你要寫程式,你要寫大量程式的時候,
[45:11] 你只要把計畫書列好。
[45:13] 不要叫Claude Code去寫,
[45:14] 你叫Deep Thick V4
[45:15] 去寫。然後DBCV4寫的時候它會做輸出,
[45:18] 輸出的話會燒掉大量的圖片。
[45:19] 那你寫完之後我是會提交東西回來給Claude
[45:22] Code。Claude Code我這時候它會省,
[45:24] 哪裡有問題?
[45:25] 省的話它就會去讀你的程式碼。
[45:28] 好,讀程式碼用掉的Token數量是遠小於寫程式碼。
[45:33] 所以對於Claude Code來講,
[45:35] 我讀別人做好的東西,來看哪裡做不好,
[45:38] 來去修正它不會花掉太多的Token。
[45:41] 最花Token的就是寫東西,
[45:42] 生產東西是最花的,寫程式是很
[45:45] 花Token。那我們就是把寫程式這件事情叫便宜的
[45:48] agent去做。
[45:50] 所以小優你的理解是正確。
[45:51] 沒有錯,我們就講的原則。
[45:52] 所以你要做這件事情,你一定是要把那個要施工的國家
[45:56] 跟計畫書全部填好了之後,
[45:59] 然後派給OpenCodeCli去。
[46:01] 那我們在派的時候你可以這樣,
[46:03] 你可以跟他說一次用七個視窗來執行,
[46:06] 是可以的。就是七倍,燃燒七倍的出肯量去做。
[46:10] 我曾經做過,我曾經做過就是直接開七個OpenCodeCli
[46:14] 視窗去做。
[46:14] 7個單元。
[46:15] 那7個單元同時平行做。
[46:17] 所以Token的用量就是7倍在燒。
[46:19] 我有做過這樣子。
[46:20] 我跟你講,完全沒有任何問題。
[46:21] 就是他做的相當的好。
[46:22] 所以你可以平行處理每一個不同的單元。
[46:26] 但是我們是用的是Claude Code做好計畫跟規範跟計畫書。
[46:30] 然後你請Open Code的Cli同時開7個視窗。
[46:34] 然後來去執行每一個計畫。
[46:36] 他可以7倍的速度去做好。
[46:39] 但是相同的道理,我們的Token的燃燒量最。
[46:41] 那Claude Code只要去讀說,
[46:44] 你哪裡有沒有做。
[46:44] 然後要不要改的話你可以直接用Claude Code
[46:47] 去沒有問題。
[46:48] 因為讀東西燒掉的Token數量是遠小於輸出的。
[46:52] 甚至你也可以等完之後你把那個Claude Code
[46:55] 審完之後,Claude Code也可以不用去理交。
[46:57] 如果今天要改的東西是每個單元都要改的。
[47:00] 每個平行處理的都要改。
[47:02] 是寫那個提交要改的計劃書。
[47:05] Open Code讀完之後他自己會去。
[47:06] 所以怎麼去分配工作就是那種已經有計劃要很多很多
[47:11] 件很多個東西要同時改同時做的。
[47:14] 那個就是派給
[47:14] OpenCode。那要規劃精修的那個交給Claude
[47:18] Code。因為上禮拜我是有這樣我覺得非常的好用。
[47:22] 那這個是技巧。
[47:23] 所以他現在就是在等這個Claude Code跑完。
