[00:02] 哈囉今天要來講第十集
[28:34] 之間是可以無縫接軌去接我的專案
[28:38] 工作的好所以實際上我們在做的時
[28:42] 候就是google drive
[28:44] 就是我們實際上在寫程式碼跟 c
[28:46] loud 點 md 的地方然後
[28:48] 寫完程式碼之後我們把它掛到 g
[28:51] ithub 上面去那 fire
[28:52] base obsidianob
[28:54] sidian 是現在你們現在看
[28:55] 的東西就是 obsidian我
[28:57] 現在給你看就是我我做好資料的地
[28:59] 方就在這裡好所以筆電的話就是你
[29:02] 帶著工作桌加上加走那三個加全部
[29:05] 都是在雲端可以嗎工作桌網頁 f
[29:07] irebase obsidia
[29:10] n這四個東西全部都是在雲端好那
[29:13] 如果你是多臺電腦切換的話後面我
[29:16] 會講多臺電腦切換必須要多安裝一
[29:18] 個程式我今天就先不說先不說好不
[29:21] 好多臺電腦切換是屬於進階之後再
[29:24] 講來再來認知負擔地圖就是你只要
[29:28] 懂就好了但是這些東西你不會自己
[29:32] 做所以接下來的東西你就大概知道
[29:34] 就好了那接下來你你比較知道是你
[29:37] 要要做的事情是什麼那我等一下會
[29:40] 示範一次我們怎麼樣去做一個專案
[29:45] 好所以前端後端這些東西你就是通
[29:48] 通都不用不用很清楚有資料庫的地
[29:51] 方就是後端然後前端就是操作網頁
[29:54] 就是前端這樣啊所以你你大概知道
[29:56] 一下就好了那要說的都是要說的就
[30:00] 是你說了他會幫你做比如說幫我幫
[30:02] 我commit幫我push幫我
[30:05] 退回舊版本啊幫我幫我專案初始化
[30:08] 然後幫我建資料庫這東西就是你只
[30:11] 要用自然語言講就好因爲什麼因爲
[30:13] 我們都已經串好的github我
[30:14] 們串好firebase我們串好
[30:16] 的obsidian所以這些東西
[30:18] 你只要講就好了AI會幫你完成所
[30:20] 以你只要說就可以了可以嗎哦所以
[30:23] 這些東西也不要你動真正一定要你
[30:26] 動的就是在這邊你要動的東西就是
[30:29] 這樣第一個你一定要開一個新專案
[30:32] 所以你開一個新專案你會在你的g
[30:34] oogle硬碟裡面開一個新的目
[30:36] 錄資料夾這個東西你得要自己手動
[30:39] 開你開完之後所有的內容我們在這
[30:42] 個資料夾做完之後所有東西都會幫
[30:44] 你做他還幫你建obsidian
[30:46] 筆記本他還幫你建github的
[30:48] repo然後你github裡面
[30:50] 會用到的所有資料firebas
[30:52] e會幫你連接會幫你做好所以呢你
[30:54] 要做的事情就是你要在googl
[30:56] e在裡面開一個專案的資料夾好接
[30:59] 下來你想要解決什麼問題做什麼事
[31:02] 情這東西當然是由你啊由你本人來
[31:06] 去進行然後再來做完之後哦你你在
[31:09] 把關說你要你要怎麼做這個東西是
[31:12] 你你本人AI要AI無法代勞只有
[31:15] 你能夠做的事情好來所以大概是這
[31:20] 樣哦只要懂了就好了這些東西你你
[31:22] 因為上你不會你你他在運作的時候
[31:24] 你看不到的我只要說就好了跟只要
[31:27] 你做的所以只要你做只有10%而
[31:29] 已其實是非常簡單的AI時代就是
[31:31] 這樣你要做的事情其實很少大部分
[31:33] 事情AI都會幫你做好好來再來接
[31:40] 下來哦初學者初學者最容易混淆的
[31:44] 地方所有東西都在對話裡面不知道
[31:46] 最後存到哪邊所以實際上每個專案
[31:49] 都有四種本質不同的資料我在編輯
[31:52] 中的東西就是全部在google
[31:54] drive裡面然後我發佈的程式
[31:57] 網頁就全部到github上面去
[32:00] 然後我在網頁裡面執行中產生資料
[32:02] 全部放在firebase裡面然
[32:05] 後我所有的想法踩坑的東西哦我去
[32:08] 改版的資料全部放在obsidi
[32:10] an裡面ok 嗎哦所以來所以g
[32:14] oogle drive就是實際
[32:18] 工作地方工作目錄那院上我這邊都
[32:21] 是會使用我的雲端硬碟了哦好再來
[32:24] 跨電腦同步我不同電腦裡面我會在
[32:27] 同一個目錄裡面會去做同一個專案
[32:31] 哦所以所以所以我們在學校編輯回
[32:35] 家自動同步然後家裡面電腦打開繼
[32:38] 續做這東西是沒有問題的ok你不
[32:41] 要兩臺電腦同時做哦不要不要說你
[32:44] 不要說桌機做然後筆電同時做
[32:47] 這樣子就會衝突，
[32:48] 這樣一次只能夠一個地方做而已。
[32:51] 因為google雲端硬碟他在更新是比較慢的，
[32:56] 所以你不要兩臺電腦同時在同一個專案目錄做，
[32:59] 這樣會有問題。
[33:00] 好，再來claude.md就是你的專案藍圖檔，
[33:05] 架構技術決策做什麼跟不做什麼，
[33:08] 他是一個大方向大範圍。
[33:12] 所以每一次claude工作的時候，
[33:13] 他會自動去讀這個claude.md，
[33:16] 所以他是跟程式碼住在一起，
[33:18] 不是放別的地方。
[33:19] 他住在你的google drive那個工作目錄裡面，
[33:22] 然後跟github的關係就是，
[33:25] 我正在改的，我正在寫的版本，
[33:28] 就是本地端是放在google drive，
[33:30] 然後我把它commit push之後，
[33:34] 就是在github上面去。
[33:36] 哦，所以好，放在github上面去，
[33:40] 就是你要給別人用或是給學生用，
[33:43] 就是在網頁上面使用，
[33:45] 就跟你本地端沒有關係的。
[33:49] 好，初學者常犯的錯誤，
[33:53] 這個也不能夠說不行啊，
[33:55] 就是如果你專案是開在你本地端電腦的話，
[33:58] 原則上你換電腦就無法處理的了。
[34:01] 就是因為claude core就是一個本地端的ai，
[34:05] 跟雲端的是不一樣的。
[34:09] 然後這都是你本地端的github網頁程式碼，
[34:13] 你沒有commit push的話，
[34:16] 原則上雲端是不會完成。
[34:18] 可是大家不用擔心，
[34:19] ai會幫你做好這些事情。
[34:21] 哦，學生的資料庫我們不應該放在google drive，
[34:25] 學生資料全部放在firebase，
[34:26] 可是這邊你要去識別的話，
[34:28] 後面會講。
[34:29] 哦，會講好通過專案，
[34:33] 不要放兩個雲端，
[34:34] 不要放google drive，
[34:35] 不要放one drive。
[34:37] 這樣好，所有編輯的話，
[34:42] 都是透過claude core去做，
[34:43] 我們自己就不動google drive裡面的檔案。
[34:46] 這樣來再來github的話，
[34:48] 就是我網頁放網頁跟程式碼的地方，
[34:52] 那原則上這個地方我大概代價就好了啦，
[34:54] commit就提交了啊。
[34:56] 那你每次commit的話，
[34:57] 他自動幫你做好存檔點，
[34:59] 所以當你改壞掉，
[35:00] 你是可以回到之前上一個版本，
[35:02] 再上一個版本，
[35:03] 哦，這個是沒有問題，
[35:04] ai幫你做不用擔心。
[35:06] 好，我所有的這些網頁內容，
[35:08] 就是存在上面，
[35:09] 好，是不會動的。
[35:11] 來，再來免費版本只能夠公開，
[35:14] 哈哈，免費版本只能夠公開。
[35:16] 我們使用的是免費版本，
[35:18] 沒有付錢，
[35:18] 所以github的話你只能夠公開。
[35:21] 好，協作記錄的話，
[35:22] 院上我們目前都是自己人做這個，
[35:24] 做都是你自己改的，
[35:27] 哈哈，來再來這邊你不用怕，
[35:30] 哦，不用怕哦，
[35:32] 就是學生提交資料，
[35:34] 院上院上寫進htm變動就commit，
[35:37] 院上我們不這麼做了。
[35:38] 學生提交資料我們都放在firebase，
[35:41] 然後在api key的話，
[35:42] 一定是放在本地端，
[35:44] 所以大家也不用怕。
[35:45] 那ai會幫你檢查說，
[35:47] 你的github上面是不是有api key，
[35:50] 我們claude code會幫你檢查，
[35:52] claude code會幫你檢查，
[35:53] 所以原則上你就是不用去擔心，
[35:57] 說我api key會跟著github上面去，
[36:00] 讓大家看到這件事情，
[36:01] claude code會幫你把關。
[36:03] 我會幫你把關，
[36:04] 院上你說api key一定是你設定好之後，
[36:07] 存在本地端。
[36:10] 好，那改完東西忘了push，
[36:13] 不用怕，我們現在每一次做完事情之後，
[36:16] 會自動幫你完成push commit。
[36:18] 我會幫你，我會幫大家設定好，
[36:20] 我每次做完都會自動commit push，
[36:23] 所以大家不用怕。
[36:26] 好，所以我們現在都會自動做好這些事情，
[36:29] 這些東西全部會自動做，
[36:30] 大家不用怕。
[36:31] 我們就是每次改完之後，
[36:33] 我們自動幫你commit加push，
[36:35] 所以網頁的話就會，
[36:36] 你請claude code他會幫你更新，
[36:38] 所以網頁就會同步更新，
[36:39] 都沒有問題。
[36:41] 來，再來firebase的話，
[36:43] 所有使用者跟你網頁互動存的資料，
[36:45] 全部放到firebase，
[36:47] 你本人的本地的硬碟是沒有這個資料的，
[36:50] 你的apps也沒有這個資料。
[36:52] 所以我們所有這些資料，
[36:53] 我們全部firebase。
[36:54] 那你想要看這個資料的時候，
[36:56] 怎麼辦呢？
[36:56] 你跟claude code講，
[36:59] 你要拿什麼資料來看，
[37:02] 由claude code直接透過mcp或cli去firebase裡面撈資料來看。
[37:08] 所以我們不會另外裝一個
[37:11] 輸入入口去讀 firebase 的資料。
[37:15] 那因為這樣子，所以我們在
[37:17] 讓學生去做互動資料的時候，
[37:19] 你必須要去識別化。
[37:21] 就是我們只讓學生提交
[37:22] 他的班級座號就好了，
[37:24] 名字我們是不提交的。
[37:27] 所以所有的欄位 ai 全部
[37:29] 會幫你寫好，你在這個網頁
[37:30] 所有欄位 ai 會幫你寫好，
[37:32] 所以你也不用怕。
[37:33] 所有的資料庫你需要什麼欄位，
[37:35] 你就跟他講說我需要做一個
[37:36] 什麼遊戲，那你我需要
[37:38] 什麼什麼什麼什麼欄位。
[37:39] 那剩下你有需要什麼東西，
[37:41] 你幫我加，他 claude code
[37:43] 會全部幫你加好。
[37:44] 所有你做這個網頁應用程式，
[37:47] 所有需要資料庫的欄位，
[37:49] 他會自動全部幫你做好，
[37:51] 你完全都不用擔心，
[37:53] 你只要用說的就好了。
[37:56] 那同步的部分是 firebase 的強項，
[37:58] 他會同步好所有東西。
[38:01] 安全規則目前就是只有你能寫，
[38:03] 你能讀。雲端環境也是 firebase
[38:07] 會幫你管好，你都不用管，
[38:09] 你只要用 claude code 去
[38:10] 直接去 firebase 拿資料來讀就可以了。
[38:14] 我們用的方案是免費方案，
[38:15] 那免費方案其實就很夠用了。
[38:17] 我就是因為看到 firebase 免費
[38:20] 這麼好用，所以我就是使用
[38:21] firebase 來登錄我的資料庫。
[38:23] 一般個人使用者，甚至你有
[38:26] 兩三個班級的老師，原則上
[38:29] 免費方案就完完全全夠你用。
[38:33] 所以你只要照著我的那個
[38:35] claude code 基本功，然後去
[38:38] 把你的 firebase 申請好，
[38:40] 原則上你在寫任何的網頁，
[38:43] 學生在跟你互動提交所有資料，
[38:46] 你一個人使用是不會爆掉的，
[38:48] 絕對是沒有問題的，
[38:49] 所以放心的去使用。
[38:54] 好來，所以這邊就是告訴你說，
[38:57] 一個老師的話原則上是用不完
[38:58] firebase 免費二讀的。
[39:00] 好不好，來再來初學常犯的錯，
[39:04] 的話大概是這些了。
[39:06] 然後我們我在我影片裡面
[39:08] 有錄時已經選的了，
[39:09] 就選的就是他是不是測試模式，
[39:12] 就是正式版的，所以原則上
[39:13] 就不會有過期問題。
[39:14] 這東西你們只要照影片做，
[39:16] 原則上都不會有太大問題。
[39:18] 好不好，然後再來去識別的話，
[39:20] 一定要一定要講，
[39:20] 我在做這件事的時候，
[39:22] 學生都只會輸入班級座號而已，
[39:24] 不會輸入名字。
[39:25] 所以這件事就是大家一定要
[39:27] 特別特別注意。
[39:28] 我們在做所有的教育的 app 的時候，
[39:32] 一定要做去識別化，
[39:33] 我們只留學生的班級跟座號就好了，
[39:38] 那名字只有你知道，
[39:40] 只有老師你自己知道。
[39:41] 所以去識別化學生的各自件事，
[39:44] 你永遠都要放在第一考量。
[39:47] 好嗎，這個部分的話，
[39:50] 那個 claude code 會幫你處理，
[39:53] 會幫你處理這些事情。
[39:54] 來，那 obsidian 是幹嘛的？
[39:56] 他是給人看的筆記，
[39:59] 不是給程式的讀的，可以嗎？
[40:01] 好工程師概念的話，
[40:03] 我們 obsidian 裡面他的文件
[40:05] 就是程式，我們是使用 markdown 來寫。
[40:07] 那 markdown 的話是 ai 最喜歡的格式，
[40:10] 所以你的 claude code 去讀
[40:12] 我 obsidian 筆記的時候，
[40:13] 是非常輕鬆的。
[40:15] 那實際上我們在這 obsidian 筆記裡面，
[40:18] 跟程式碼是相等的，
[40:20] 所以 claude code 直接讀我的 obsidian
[40:22] 是非常方便的，讀跟寫都很方便。
[40:25] 所以我推薦大家一定要好好使用
[40:29] 你的 obsidian 筆記，他真的非常好用。
[40:33] 哦，真的非常好用。
[40:34] 好單一這裡來源，
[40:36] 我們在我們在寫的時候，
[40:38] 我們很重要的事情是，
[40:40] 我們在我們不會把所有東西
[40:43] 存在同一個地方。
[40:44] 所以進度跟決策採坑只寫一個地方，
[40:47] 就是寫在 obsidian 裡面，
[40:49] 然後我們儘量不要說
[40:51] 兩個地方寫同一件事情，
[40:53] 這樣你會有雙寫飄移。
[40:55] 所以我們做的事情是 claude.md 寫藍圖，
[40:59] obsidian 寫日誌。
[41:02] 所以你在 claude.md 裡面寫東西，
[41:06] 就是那些決策跟架構，
[41:08] 那我日誌就是我把我這次
[41:11] 做完的事情做整理。
[41:13] 下次我開新對話時候，
[41:15] 我已經設定好他會去讀
[41:17] 我這個專案的 obsidian 筆記，
[41:20] 他讀完之後再去讀 claude.md，
[41:23] 他搭配起來就知道說
[41:25] 這個專案做到哪邊，
[41:27] 踩了什麼坑，做了什麼決策，
[41:29] 但是不會佔掉太多的上下文。
[41:35] 如果你有在玩 claude code，
[41:38] 你就會知道我講的意思，
[41:40] 因為這件事情就是有在使用
[41:44] claude code 裡面，
[41:45] 大家一直不斷努力在追求的事情。
[41:48] 就是我要怎麼樣可以控制
[41:50] 我上下文又能夠每一次
[41:52] 開新對話的時候能夠接續
[41:54] 工作這件事是很難很難的事情。
[42:00] 好，所以筆記名雙向連結這邊的話
[42:02] 我們會，我會用 ai 幫我寫好。
[42:04] 所以他會知道說我專案的時候
[42:06] 要去讀哪一個 obsidian 筆記本。
[42:08] 所以他在搜尋的時候
[42:10] 他就只會指向過去，
[42:11] 他不會讀我整本筆記本。
[42:13] 他只會讀我連結過去的，比如說
[42:16] 我跟他講說我在 2026 database
[42:19] 這個 google drive 專案資料夾裡面，
[42:21] 我是跟他講說，
[42:22] 哎，這個專案請繼續。
[42:23] 他就會去讀我 obsidian 筆記本裡面
[42:26] 這個目錄的內容而已。
[42:28] 他不會讀我的整本筆記本，
[42:30] 因為讀我整本筆記本會佔掉
[42:32] 太多的上下文，這樣子做是不好的。
[42:35] 所以我有告訴他說，
[42:36] 哎，名字是這個，他就指向那個地方。
[42:39] 他就用指向方式只用去讀
[42:42] 這個 obsidian 的我們這個專案
[42:45] 駕駛艙裡面的筆記內容來載入
[42:50] 他的上下文，這樣子。
[42:54] 哦，好，那未來搜尋這次
[42:56] 我怎麼做的比較快是因為
[42:57] obsidian 裡面的搜尋跟標籤
[42:59] 做得非常的好，所以你要找
[43:01] 什麼東西會非常的快速。
[43:04] 好，那 obsidian 的話原則上就是
[43:06] 他也是，他是存在我的 one drive，
[43:09] 所以原則上第二大腦就是隨時都在了。
[43:11] 隨時都在了，好，所以 obsidian
[43:14] 請大家善用他。
[43:19] 所以進度的話，我們只寫在 obsidian，
[43:21] 然後藍圖的話我是寫在 claude.md。
[43:25] 採坑當下沒有記，你採坑我一定會
[43:28] 記錄下來，就因為我採了什麼坑，
[43:29] 下次我就避免掉這種狀況。
[43:31] 所以程式碼的話我們不會放到 obsidian，
[43:35] 然後學生的成績的話是放 firebase。
[43:37] 我們就是你什麼東西就放哪邊，
[43:39] 原則上就是這樣子做好。
[43:42] 所以我們要處理的事情是
[43:43] 你每個專案你就是要開一個
[43:46] 同名的資料夾，然後我的駕駛艙日記
[43:48] 就會抓集中在專案工作流程。
[43:52] 所以你會看到我的每一個這邊
[43:54] 會有個專案工作流程，比如數學，
[43:56] 比如代理人小課就會有一個
[43:58] 專案工作流程，有沒有？
[44:00] 然後比如說 database 就一個
[44:02] 專案工作流程。第二臺電腦也安裝
[44:05] obsidian，但是是同一個目錄，
[44:08] 因為 obsidian 他是賭的，
[44:09] 賭的是如果你有買 obsidian 同步的話，
[44:13] 他就是會同步。
[44:14] 那如果你是用 y drive、google drive，
[44:16] 他也都會同步，所以實際上
[44:18] 他就是一個同步的 md 檔。
[44:20] 所以如果你有第二臺電腦的話，
[44:22] 你也要裝 obsidian，
[44:23] 所以你在第二臺電腦的時候
[44:24] 他也是一樣去讀同一個目錄。
[44:26] 讀的實際上是同一個目錄，
[44:28] obsidian 他只是一個框而已，
[44:31] 他只是一個框。
[44:32] 因為你說 obsidian 的筆記
[44:33] 都是一個 md 檔，那 obsidian
[44:35] 他只是一個筆記的框而已。
[44:37] 你真正重要的還是那一份資料，
[44:40] 那份資料他就存在你的硬碟
[44:42] 或是你的同步資料夾裡面，
[44:44] 他都是同一份資料。
[44:45] 所以你第二臺電腦你要裝 obsidian，
[44:47] 他在你在第二臺電腦的時候
[44:49] 你就可以同步第一臺電腦的所有內容。
[44:51] 所以現在的我工作室，
[44:53] 我不管用哪一臺電腦，
[44:54] 我都可以同步同一個專案，
[44:57] 然後來做同一件事情。
[44:58] 這樣好，來，再來，
[45:04] 然後我每次工作結束的時候
[45:06] 我有寫一個技能去觸發說
[45:08] 把這些筆記本全部都寫好。
[45:11] 那如果你不寫技能去觸發
[45:13] 也沒有關係，也沒有關係。
[45:15] 好，那 claude 有 memory，
[45:17] 為什麼要用駕駛艙？
[45:18] 那 memory 的話實際上是
[45:20] 他自己寫給自己的工作筆記
[45:22] 存在裡面，功能跟我駕駛艙是有重疊的。
[45:25] 那兩者都是動態狀態，
[45:27] 動態狀態加你糾正過的事。
[45:29] 那為什麼會推薦用 obsidian 駕駛艙
[45:33] 當做是主要工作筆記？
[45:34] 來 memory 是只有 claude 可以看，
[45:39] 所以駕駛艙是我跟 claude 都可以看。
[45:43] 所以實際上你人類你也可以去看
[45:46] 你的工作進度，所以我們裝在
[45:48] obsidian 裡面是這樣子。
[45:50] 所以任何能夠讀 markdown 工具
[45:52] 都能夠做，然後我自己可以掌握
[45:54] 永遠讀得到我跟 claude 共同編輯，
[45:57] 雙向連結加全文搜索，
[45:59] 這個是 obsidian 的強項。
[46:01] 所以為什麼我們使用 obsidian
[46:03] 來當做是我的 memory，
[46:05] 是因為這些原因，他有這些優點。
[46:08] 那 claude 他本身也有內建 memory。
[46:11] 可是對於我們使用者來講
[46:12] 那比較不友善
[46:14] 那兩臺電腦同步的話
[46:16] 必須要裝這個chez moi
[46:18] 那是比較進階的
[46:19] 我之後再說
[46:22] 因為為什麼
[46:22] 因為比如說這臺電腦的skill
[46:24] 另一臺電腦不會同步
[46:25] 所以我必須要裝那個工具
[46:27] 來讓我兩臺電腦的skill同步
[46:31] 好所以claude的內建memory
[46:33] 是給 ai 看的工作日誌
[46:35] 然後obsidian駕駛艙
[46:37] 是給人類看的工作日誌
[46:39] 更正claude的memory是給 ai 看的
[46:43] 然後obsidian是給人類看的
[46:45] 那 ai 也能看
[46:46] 因為他的格式也是markdown
[46:48] 這樣好那因為obsidian的筆記
[46:53] 就是你今天換了ai工具
[46:55] 比如說你今天不是用claude code
[46:57] 你換了別的工具
[46:58] obsidian筆記一樣能讀
[47:00] 這是我覺得這個obsidian筆記
[47:03] 好用的地方
[47:04] 就是他沒有限制你一定要用什麼 ai
[47:06] 才能夠做
[47:07] 你今天換了 ai一樣能夠做同樣的事情
[47:12] 好那我這邊以課堂文字雲為例
[47:16] 等一下我也會舉我的
[47:18] 我的那個我寫的程式給大家看
[47:21] 那我們在做的時候
[47:24] 時間不夠了我這邊大概講一下就好了
[47:27] 比如說我要做文字雲的話
[47:29] 我們一般來說我們在寫程式的時候
[47:32] 我們必須要從那個建資料夾開始
[47:35] 好不好這個地方我先跳過
[47:36] 看一下我們這樣一個 ok
[47:40] 好這邊的話就先這樣
[47:43] 先這樣好不好
[47:44] 開工六關鍵 ok
[47:45] 好這裡先這樣
[47:46] 那我現在示範一次
[47:47] 我們真正在跑的時候會會怎樣
[47:49] 好我現在重頭示範一次
[47:51] 我們跑一個專案的話要怎麼做好
[47:55] 在跑之前我先給大家這個claudemd的
[47:58] 這個這個叫懶人包
[48:00] 懶人包今天我這個工作模式啊
[48:03] 如果你想要像我一樣的工作模式的話
[48:05] 我給大家一個初始化的工作桌
[48:09] 工作桌加三個加的三件套
[48:12] 在這個地方在這個地方
[48:14] 然後這個網址的話我也一樣會放在下方
[48:17] 這個就懶人包
[48:18] 我把我把我的工作模式寫成一個懶人包
[48:21] 然後你只要去下載這個懶人包
[48:24] 這懶人包初始化班級工具工作工作模式
[48:29] 這個懶人包哦你點他
[48:31] 這個三個小時前才更新的點他
[48:33] 然後你去下載選這個 open raw filedownload raw file 下載他
[48:39] 然後他就會下載成一個markdown的檔案
[48:42] 那你再把這個markdown檔案丟到
[48:45] 丟到你的claude裡面
[48:48] 跟他講說哎你就照照這個工作模式
[48:52] 幫我設定好
[48:53] 你設定完之後就會跟我
[48:55] 跟我的工作模式是一樣的哦
[48:57] 跟我們是一樣的
[48:58] 好我的工作模式是怎樣呢
[48:59] 今天我要做一個新專案的時候
[49:02] 我會這樣子哦
[49:03] 我會這樣來各位
[49:05] 我現在就示範一次
[49:07] 說我是怎麼做的最新專案
[49:09] 就是來我會在我的google雲端硬碟裡面
[49:12] 這邊雲端硬碟裡面點他
[49:15] 點去我的雲端硬碟
[49:16] 然後我這邊就新增個資料夾
[49:19] 我現在資料夾做2026 max game
[49:22] 這樣我要做一個數學遊戲
[49:24] 所以我新增完資料夾之後點進來
[49:26] 好這邊可能會是空的
[49:28] 但我已經做好了
[49:29] 因為等下拿這個做示範
[49:31] 他是空的好點進來之後
[49:33] 接下來呢你就來到你的claude code裡面
[49:35] 來來各位你就這邊選一個新對話
[49:38] 哦claude code裡面選一個新對話
[49:40] 然後因為我現在重新開始新專案
[49:42] 那就點他然後選資料夾
[49:47] 然後這邊你就要選這個資料夾
[49:50] 選他然後選我的雲端硬碟
[49:53] 然後選2026 max game
[49:56] 好選完之後選擇資料夾
[49:57] 好來各位開一個new session
[50:01] 新的對話然後選這個你做好的新資料夾
[50:04] 好然後你就直接告訴他說專案初始化
[50:08] 專案初始化之後啊
[50:20] 你...因為我剛剛那個懶人幫你專好之後
[50:23] 專案初始化他就會問你一些事情
[50:26] 然後會幫你在你的Obsidian裡面
[50:29] 會做一份目錄
[50:31] 然後會像我這樣子
[50:34] 會把你那些工作進度採的坑
[50:36] 會寫在那一份Obsidian的筆記裡面
[50:39] 然後在claude.md裡面會新增一個指引
[50:43] 說喔，你到時候你要去那邊讀工作日誌
[50:47] 讀那個想法，讀那個採的坑
[50:51] 然後你那些專案的架構什麼
[50:53] 他會自動去讀在這個專案初始化裡面的claude.md
[50:57] 他會自動幫你做好
[50:58] 好，你做好之後
[51:00] 做好之後，接下來你就會在這邊開始對話
[51:02] 開始對話好，
[51:04] 那因為我這邊我已經做完了
[51:06] 所以我做完了之後
[51:08] 你做完之後,你是不是
[51:10] 你做到一個段落之後
[51:12] 我有寫一個skill就是
[51:14] 我現在做到這邊,然後
[51:15] 我跟他講說收工收工
[51:17] 完之後,他會自動幫我
[51:19] 把現在所有的進度
[51:21] 什麼的東西卻全部存檔
[51:24] 該commit,該push的就
[51:26] commit,push該存取
[51:28] obsidian,就會存取obsidian
[51:30] 該更新claude.md,就會
[51:32] 更新claude.md他會幫你
[51:35] 把我所有剛剛講的事情
[51:37] 全部都做好好,當你
[51:40] 下一次要再繼續做這個
[51:42] 專案假設你沒做完的時候
[51:44] 你就是一樣開一個新的
[51:46] 對話然後選這個目錄
[51:48] 然後跟他講說專案繼續
[51:59] 在這台電腦在電腦
[52:01] 我應該是沒有跑過這個
[52:02] 專案但是因為這台電腦
[52:05] 我是沒有跑過所以我
[52:06] 我的這個專案是在
[52:07] 另外一台電腦做的
[52:09] 所以我到這個地方來
[52:10] 我跟他說專案繼續
[52:11] 他就會去跑然後就去跑
[52:14] 哦跑所有的該跑的東西
[52:17] 好,所以你看我現在
[52:18] 我的我的我這個地方
[52:19] 我的context window還沒有
[52:21] 內容還沒有內容然後
[52:23] 你看哦你有看到嗎
[52:25] 哦你有看到嗎大家有
[52:26] 看到嗎有沒有看到
[52:29] 同步狀態乾淨本地
[52:30] 跟遠端一致專案目前狀態
[52:33] 他去讀claude.md然後
[52:35] 他就告訴我說哦座標
[52:37] 軍艦旗完成實際測試
[52:39] 全部進行條件已修
[52:41] 這是我上一次做完的內容
[52:43] 這樣然後下一步規劃
[52:44] 第二個遊戲沒有錯來
[52:46] 他要去讀完讀完什麼
[52:48] 他要去讀我的obsidian裡面的
[52:50] 這個筆記這邊我有一個
[52:51] max game的專案工作流程
[52:53] 這邊他剛剛去讀了這個
[52:55] 專案工作流程的筆記
[52:57] 他就知道說我上次做到
[52:59] 這個地方了然後他也會
[53:01] 知道說我已經把遊戲
[53:02] 上架到github上面去
[53:04] 他也會知道說我的firebase
[53:07] 裡面有存的哪些資料
[53:08] 全部通通在這個對話裡面
[53:10] 就是全部都載入了
[53:11] 所以你就可以接著工作
[53:14] 在不同的電腦之間或是
[53:17] 你開一個新的session的時候
[53:19] 你就可以接著工作
[53:20] 所以這是上一次的對話記錄
[53:22] 就這樣而已哦不是對話記錄
[53:24] 上一次的專案的工作記錄
[53:25] 在這邊所以他讀完之後
[53:27] 他還去讀claude.md好像這樣
[53:29] 你有看到嗎所以我開了一個
[53:32] 新對話然後我跟他說
[53:34] 專案繼續他就去讀了
[53:37] 我的obsidian裡面的專案的內容
[53:39] 他去讀了claude.md他就知道
[53:43] 說接下來要做什麼
[53:45] 所以你就可以延續上一次
[53:48] 你做的事情不管這件事情
[53:49] 是在另外一個對話還是在
[53:51] 另外一台電腦你都可以去
[53:53] 延續這件事情而這個資料夾
[53:55] 是雲端的資料夾因為我
[53:57] 另外電腦也是用google雲端資料夾
[53:59] 所以他讀的是同一個claude.md
[54:01] 所以我就可以接續這個工作
[54:03] 像像這樣大家理解嗎
[54:05] 好所以我接下來就可以
[54:08] 做這件剩下的事情
[54:10] 那我現在給大家看一下
[54:12] 我上次我的專案是怎麼做的
[54:13] 我給大家看一下我另外一台
[54:15] 電腦的對話好稍等我一下
[54:17] 好我現在給大家看
[54:19] 另外一台電腦對話等我一下
[54:21] 來這是我另外一台電腦的對話
[54:29] 等一下哦好來這是我
[54:41] 另外一台電腦的這是我
[54:42] 另外一台電腦的的那個
[54:45] claude code因為我我我做這個
[54:47] 專案的時候啊來你看哦
[54:49] 我跟他講說什麼等我一下
[54:52] 裝一下來你看這邊的話
[55:07] 前面會有個專案初始化哦
[55:09] 然後專案初始化之後
[55:11] 我上面有寫說專案初始化
[55:13] 然後接下來這個新專案是
[55:14] 專門做各式各樣跟數學有關的
[55:17] 遊戲此為主專案各個遊戲
[55:19] 為附屬主專案的分支
[55:20] 好所以你看哦他就跟我講說
[55:23] 專案資料夾是空的哦
[55:25] 等下我把我的大頭
[55:29] 好大家有看到畫面嗎
[55:36] 再大一點看一下哦
[55:44] 大家看一下哈這是我在做
[55:48] 專案的時候所以他就告訴我說
[55:49] 哦資料夾是空的所以開始
[55:52] 初始化前他會確認幾件事情
[55:54] 他就會說哎github的英文名稱
[55:57] 我這樣子建議可以嗎
[55:59] 然後再來專案的名稱主專案啊
[56:03] 這樣可以嗎那現在有任何
[56:05] 時間節點嗎哦他他他他就問
[56:08] 你一些問題那我就開始去做
[56:10] 我的專案哦那我就跟他講說
[56:12] ok ok遊戲在下午三點前完工
[56:14] 等會開工然後資料夾子幕錄
[56:17] 有這樣子哦好然後接下來
[56:19] 他就開始有沒有開始初始化
[56:21] 建立這個claude md 跟這個git no
[56:24] 好做好了github完成也建好了
[56:28] 接下來建立 Obsidian對應的資料夾
[56:30] 跟筆記各位他就會自動幫你
[56:32] 做好這些事情
[56:34] 這樣大家理解嗎
[56:36] 哦初始化完成大家有看到嗎
[56:38] 他出發他就幫你全部把這些東西一次做好
[56:40] 大家看到嗎只要你跟著我的懶人包去設定
[56:44] 或是你照我今天的想法
[56:45] 你把我今天影片的字幕擷取下來
