[00:02] 哈囉大家晚安
[31:35] 直角座標平面這個簡報也是做的非常好
[31:39] 我就就就簡報就很這個樸實
[31:45] 啊樸實啊很好用
[31:47] 好這個風格有分享給大家
[31:51] 我就不會那麼花不會那麼花錢
[31:53] 好那他在做的同時我們就往下走了
[31:58] 好不好哈哈哈哈
[32:02] notebook LM都模糊的字沒有
[32:04] 啊沒有模糊的字啊
[32:06] 簡報的字很清楚啊
[32:09] 你上面資訊少一點他就很清楚
[32:11] 字沒有沒有糊掉吧
[32:13] 沒有應該是沒有吧
[32:18] 沒有字沒有糊掉字都很清楚啊
[32:23] 字都非常清楚啊
[32:26] 啊你看嗎字不要太多了
[32:32] 因為像字不要太多了
[32:33] 你一個頁面的字太多他就會糊掉
[32:35] 所以應該是使用者你要避免
[32:37] 你同一個簡報上面字太多
[32:39] 那簡報上面字太多其實是不好的了
[32:42] 那因為我這個簡報
[32:44] 我這個簡報是從powerpoint那邊過來的
[32:47] 這個是認知科學
[32:48] 哦老師我跟你講認知科學說
[32:52] 你簡報的字本來就不能太多
[32:54] 你們一個簡報裡面太多字
[32:55] 那就是不好的簡報
[32:56] 所以簡報應該像這樣
[32:58] 他在視覺呈現上面
[33:00] 你就是要讓看簡報的人一眼就抓住
[33:04] 你要表達的內容
[33:05] 所以你的字不要太多
[33:07] 因為他字就不會糊掉
[33:08] 那你們字會糊掉都是你們簡報的字太多
[33:11] 那這個簡報是從powerpoint過來
[33:13] 那powerpoint本來設定上就是
[33:15] 沒有給他很多字所以你做過來的時候
[33:18] 他這個字就是不會糊掉啊所以都會字都非常清楚
[33:23] 所以這個這個應該應該是就是大家要遵守好
[33:28] 你看claude rich istool use limit for listen
[33:32] 你看就這樣啊太多人用了沒有
[33:35] 就算是max方案也是常常要這樣子
[33:38] 要按一下按一下按一下這樣好
[33:42] 那我們這邊就讓他去跑我們就往下了
[33:45] 來再來我們在這個這個第二個範例
[33:52] 哦試卷或簡報的圖形要如何處理
[33:58] 所以實際上我的做法我的做法是這樣了
[34:01] 我的做法是你你的你的你的claude裡面
[34:06] 畫圖形是沒有問題的畫圖都沒有問題
[34:10] 所以claude畫圖的話像這樣畫圖來看一下
[34:13] 你家畫圖是沒有問題的你就直接跟他講
[34:23] 啊畫圖都沒問題解釋什麼是凹多邊形
[34:28] 好請幫我畫一個凹五邊形
[34:30] 所以所以他畫出來圖就是這樣啊
[34:34] 來你看他使用SVG會是一個教學用的凹五五邊形
[34:41] 像這樣凹五邊形所以他就解釋什麼是凹五邊形
[34:46] 五邊啊12345哦他就解釋什麼是凹五邊形哦
[34:52] 所以所以他他是可以畫SVG檔的
[34:58] 就是像量圖檔那畫完之後你也可以下載
[35:01] 可以下載是是沒有問題的
[35:03] 你你跟他講說啊請給我png還有SVG
[35:10] 兩種答案都給我請給我png還有SVG
[35:19] 兩種答案都給我哎我的我的語音輸入
[35:29] 哎等我一下啊我的語音輸入typeless
[35:33] 然後不小心關掉就你可以兩種都要
[35:48] 然後他就可以把那個畫好的圖直接給你
[35:52] 所以所以我在我在出這個考卷的時候
[35:55] 我的做法是我我會跟他講說
[35:58] 你你要先把那個圖你需要的圖先畫好
[36:04] 然後生成word檔或生成powerpoint檔的時候
[36:06] 再把它嵌入到里面去這樣子
[36:08] 那他的做法是他的做法是他直接用python
[36:14] 去寫程式去畫這個圖所以在claude裡面
[36:17] 他就是寫程式畫圖那所以我們在做技能的時候
[36:21] 啊如果他需要寫程式畫圖的話
[36:24] 他那個程式碼我們就會把它常用的程式碼
[36:28] 把它嵌在skill裡面那他呼叫skill的時候
[36:32] 他就不用再重新重寫程式碼
[36:35] 所以呼叫技能的時候技能使用的速度會變快
[36:38] 這樣子大家理解嗎就是他的做法是這樣子
[36:43] 就是你要他做什麼事情他就是用寫程式來做
[36:47] 那但是寫程式的話還要花時間嗎
[36:50] 所以我每一次都在使用這個技能呼叫畫集合圖形
[36:53] 我都要寫程式那我就把那個程式碼
[36:56] 我常用程式碼直接嵌在技能裡面
[36:59] 所以我呼叫技能去畫圖的時候
[37:01] 我就不用寫那麼多程式可以加速我圖形的產出
[37:05] 所以這邊的話會有png檔跟這個SVG檔
[37:09] 那他這邊顯示png檔是沒辦法顯示出這個中文字
[37:13] 所以你要你要像這樣你看
[37:15] 你看png檔是沒辦法顯示中文字
[37:18] 所以你要必須要去去看他的那個SVG檔
[37:21] SVG檔你看看看到嗎SVG檔他是像量圖案
[37:29] 像圖案像圖案的話就是你放大
[37:32] 你放大他是不會糊掉的那一種是不是
[37:34] 所以老師們你拿到圖案之後看你要怎麼样都可以
[37:38] 你要截圖還是要做什麼都可以
[37:40] 所以一般來說我習慣請他給我SVG檔
[37:43] 然後不給我png檔大家理解嗎
[37:46] 以SVG檔為主所以所有的圖他都能畫
[37:51] 注意哦這個畫圖不是ai生圖
[37:53] 這個畫圖就是比如說像幾何圖形或是圖表
[37:56] 這些東西他都可以畫他可以畫的非常漂亮
[37:59] 然後你畫完之後你就請他做成SVG圖讓你下載
[38:04] 那你下載這個圖片之後看你要怎麼去處理都可以
[38:08] 那那在對話裡面我通常就是跟他講
[38:11] 就是你就先畫好然後直接把我嵌在這個
[38:15] 這個這個試卷裡面好所以按照這樣的方式呢
[38:19] 我就去做了這件事情啊這件事情
[38:24] 哎什麼事情呢在數學領域裡面啊
[38:30] 我們生成考卷我們用ai生成考卷
[38:33] 最大的問題是沒有圖片
[38:36] 這個是在數學領域我們用ai生成考卷的時候
[38:40] 沒有圖片你們你們自己用ai
[38:42] 你看你在生成試卷的時候你有生成過圖片嗎
[38:46] 是不是沒有生成過圖片所以我們要生成一個內容的時候
[38:51] 除了文字以外還要圖片同時產生在一份卷子裡面
[38:56] 你們一般的狀況下你們應該是不做不到
[39:01] 但是在claude裡面他可以做到
[39:04] 他可以做到我生成一份考卷裡面是有圖片的
[39:08] 好所以我就把這個我的教材給他
[39:12] 哦三角形的這個第二次段考的給他
[39:15] 第二次段考還沒考
[39:15] 因為我在測試
[39:17] 然後他就幫我出這個段考試卷
[39:20] 涵蓋第三章然後讀取資料
[39:23] 規劃雙向細目表跟題目
[39:25] 來各位這個是數學段考的skill
[39:29] 在這個地方啊上一次直播
[39:31] 我提到這個skill非常厲害啊
[39:33] 非常厲害這你們還可以去
[39:35] 去去下載來玩玩看哦
[39:38] 這段考複習的skill在這裡啊
[39:40] 你可以下載玩玩看
[39:41] 然後他就會幫我去做配分
[39:44] 這個配分沒有配好
[39:45] 對我沒有配好好
[39:47] 然後出完了啊來像這樣
[39:50] 好在這個地方好完成之後
[39:53] 來大家看一下總共有三個word檔
[39:57] 分別是雙向細目表
[39:59] 然後我download好了來
[40:04] 他他生成的內容是這樣的哦
[40:06] 是這樣的哦好看一下對
[40:18] files解壓縮全部好
[40:24] 雙向細目表那他就會
[40:28] 連同雙向細目表一起去生成
[40:30] word檔哦word檔
[40:31] 雙向細目表他會自動幫我做好
[40:37] 好然後因為我配分沒有配配好了
[40:42] 所以這家他一開始會問你配分呢
[40:44] 你那時候配分就要配好
[40:46] 好所以這個地方都我都設定好了
[40:48] 他會生成雙向細目表
[40:49] 然後會生成題目卷
[40:51] 那各位AI直接生成題目卷
[40:54] 上面有幾何圖形你知道嗎
[40:55] 哦來各位你看你有看到嗎
[41:03] 有看到嗎幾何圖形啊
[41:07] 幾何圖形啊你有看到嗎
[41:11] 啊有幾何圖形啊有看到嗎
[41:17] 啊幾何圖形啊這個是
[41:21] AI直接生成試卷裡面有幾何圖形
[41:24] 哦直接圖就嵌在裡面哦
[41:27] 好你覺得這個很厲害的啊
[41:31] 在聊天室刷一排一
[41:33] 那你看像這邊還有第二大體
[41:38] 哦第二大體這邊有看到嗎
[41:40] 哦要去求 a b 的長度
[41:44] 然後這邊圖的話你看9 12直角
[41:48] 直接他直接在 claude 裡面就畫好
[41:51] 然後先成圖片就塞進去裡面
[41:54] 整份考卷出來就有圖片哦
[41:56] 所以像那個圖表啊圖表都是
[41:59] 沒有問題是圖表都是沒有問題
[42:02] 圖表幾何圖都是沒有問題
[42:03] 直接一張考卷就是連同在裡面
[42:06] 然後你就是就是考試啊
[42:10] 就是你在做這種卷子的時候
[42:12] 因為以前的話你是只有
[42:13] 可能利用書商提供的
[42:15] 你才有辦法生成到這個圖形嗎
[42:17] 現在已經可以可以做到
[42:18] 好我來看一下還有沒有
[42:23] 沒有還沒有那個那個
[42:27] 我再給大家看另外一個例子
[42:29] 看一下段考試卷段考試卷
[42:35] 直角座標啊現在 AI世界是這樣子
[42:54] 真是太厲害了太厲害了
[42:58] 好來再給大家看一個哦
[43:04] 有沒有頁數沒有頁數
[43:14] 沒有頁數的限制來這邊的話
[43:21] 我要嘗試一件事情
[43:22] 他可以做到什麼事情
[43:28] 就是你給他卷子然後
[43:31] 他從裡面擷取圖片出來
[43:33] 然後合成一份新的考卷
[43:36] 大家理解我意思嗎
[43:38] 就是就是我現在給他一份
[43:40] 已經有的成卷然後我根據我的要求
[43:45] 然後去把我要的東西擷取出來
[43:49] 然後寫上解答另外生成我的答
[43:51] 所以所以他他就把
[43:54] 所以我給他什麼知道嗎
[43:56] 我給他114年的會考
[43:59] 然後我跟他講說
[44:01] 請把這一份會考試卷裡面的幾何題
[44:04] 把它解釋出來
[44:05] 他讀完114年會考裡面的題目
[44:07] 他有找到第五十六二二三
[44:10] 這邊有四題是幾何題
[44:13] 那因為幾何題的話我需要的是題目嗎
[44:16] 所以題目的話為什麼是這樣
[44:18] 是因為他之前他說自己畫
[44:20] 他自己畫的話我既然給的題目
[44:22] 我都已經有圖片的為什麼
[44:23] 他還要自己畫所以我就
[44:25] 我就覺得你不用自己畫
[44:26] 你就直接截圖然後貼到word上面去
[44:33] 然後寫解答像這樣
[44:34] 像現在做的事情是
[44:36] 他直接從這個會考的歷屆試題裡面
[44:39] 截這四題出來然後
[44:42] 然後做做成做成解答
[44:45] 所以所以你用截圖或直接使用圖片的方式
[44:49] 來達成嗎好所以他就說
[44:51] 哦好主意他他他跟我講說
[44:53] 好主意直接從 pdf 截圖
[44:56] 比自己畫更準確有些時候
[44:58] 他不知道這麼做因為你知道
[45:00] 為什麼會這樣是因為
[45:01] 可是老實說他太太聰明了
[45:04] 你要做一件事情有兩三種方法
[45:07] 但是我不確定哪一種方法是最好的
[45:09] 我也老實說我自己也都還在嘗試
[45:12] 就是你要達成一個目的
[45:14] 可能有三四五六七八種方法
[45:16] 可是不見得有哪一個方法是最好的
[45:19] 很多時候 AI他可能也不知道
[45:22] 所以所以你有時候你就是
[45:24] 你要跟他不斷的去協作跟嘗試
[45:27] 你知道嗎像像這邊的話
[45:28] 我就跟他講說哎你這樣直接截圖
[45:30] 是會比較好一點哎他也覺得有道理
[45:32] 後來後來他就是他就是真的這麼做
[45:36] 哎效果非常好所以他現在
[45:38] 就是這樣子流程就直接
[45:39] 就是直接用光學辨識然後
[45:42] 直接截圖然後精確的截圖
[45:45] 然後把那個圖片弄乾淨
[45:47] 他會他會幫我有殘留文字
[45:49] 他會幫我塗白修正
[45:51] 反覆確認到每張圖乾淨為止
[45:53] 再嵌入我的文件他現在已經會這麼做了
[45:56] 然後我就跟他講說
[45:57] 我就跟他講說這個這個東西
[46:01] 或是你不用skill可以做到
[46:03] 只要更動一下你的記憶就好
[46:05] 我就問他然後他說哦
[46:08] 這種的話記憶更新比較清亮
[46:09] 適合這種工作習慣的
[46:11] 所以像這種狀況下我們就不去寫skill
[46:14] 我們就用記憶更新指說
[46:16] 哎你剛跟我幫我記起來
[46:18] 以後我要你做這件事的時候
[46:19] 你就這麼做反正這東西你會
[46:21] 所以像這種不是很多流程的步驟
[46:24] 你就不需要寫skill大家理解嗎
[46:27] 就是一個習慣而已好
[46:29] 所以他的就幫我更新記憶了以後
[46:31] 以後我們這麼做的時候
[46:33] 他是自動幫我幫我幫我處理好
[46:37] 那我們來看一下這個卷來
[46:41] 卷我覺得我覺得他做的非常好
[46:44] 真的非常好好這是我給他
[46:50] 那個整張教育會考的題目
[46:53] 然後他只幫我截題目出來
[46:55] 各位老師他的截圖啊
[46:58] 跟會考考卷上面圖是一模一樣的
[47:01] 其他的部分除了圖以外
[47:04] 都是他生成的包含解答
[47:06] 所以我可以做到什麼程度
[47:08] 我可以做到我給他歷屆試題的試卷
[47:12] 我跟他說我要什麼題目
[47:15] 他就會自動幫我把那歷屆試題
[47:18] 試卷裡面把它全部彙整出來
[47:21] 成一份你要的東西
[47:23] 這個東西很厲害你知道嗎
[47:26] 為什麼因為我們在做複習的時候
[47:28] 很多時候我們可能某一個觀念
[47:30] 學生不懂我們只要學生複習
[47:32] 某一個觀念就好
[47:34] 我就跟他講說哎歷屆會考試卷裡面
[47:36] 把有這個觀念題目全部找出來
[47:38] 他就把你擷取出來變成一份考卷
[47:41] 你說這樣是不是很好用
[47:43] 所以你給他考卷你可以
[47:45] 你可以給他很多考卷
[47:47] 可以從裡面撈出來撈出來
[47:49] 是他可以直接從圖片裡面截出來
[47:51] 為什麼這麼做是因為我們以前
[47:54] 在使用其他 AI工具的時候
[47:57] 我們沒辦法處理圖片
[47:59] 但是在 claude 裡面你可以
[48:02] 控制本機的檔案他就可以處理圖片
[48:06] 所以你只要是課本教材裡面
[48:09] 你給的內容有圖片的他都可以處理
[48:14] 怎麼處理直接整張圖片抓出來
[48:17] 然後嵌進來所以比如像
[48:19] 像歷史像那個地理課我要
[48:21] 我要地圖嗎那你說AI
[48:22] 他有辦法生成地圖嗎不行啊
[48:24] 你請他直接抓課本或教材裡面
[48:26] 地圖直接抓出來就好了
[48:28] 然後有了地圖你再生成對應的文字
[48:31] 就好了相同道理我用數學
[48:33] 歷屆試題也是一樣這個這個圖
[48:35] 他自己畫很醜他有畫對了
[48:38] 但他自己畫很醜那我說
[48:39] 你既然你都可以截圖
[48:41] 那你就直接去截圖就好了
[48:42] 你就不需要自己畫所以你看哦
[48:45] 這張是他自己他截圖的
[48:47] 那下面解答是他寫的
[48:49] 解答是他寫的圖是他截原來的圖
[48:53] 所以下面你看來你看這也是原版的圖啊
[48:57] 就是原來的圖那下面解答都是對的
[48:59] 我有確認過解答是對的
[49:01] 我有特別算了一下解答是對的
[49:03] 那再來這個也是這張圖
[49:06] 他畫他畫的時候畫錯方向
[49:09] 所以我在試的過程我才有這個想法
[49:12] 說哎他畫的時候我每次都要檢查
[49:14] 他畫對還畫錯不要那麼麻煩
[49:17] 你直接從試卷裡面截圖過來就好了
[49:19] 直接生成word檔哦我都沒有做事情
[49:21] 我就動嘴巴而已然後接下來
[49:23] 他截了圖之後就去生成解答啊
[49:26] 解答還是對的那你看像這種圖
[49:28] 你看這種圖你叫 AI 畫其實很麻煩
[49:32] 你要確認他們畫對太麻煩了
[49:34] 直接截考卷的圖上來然後寫解答
[49:37] 然後解答是對的你看是不是很棒
[49:40] 哈哈是不是很棒哈哈我覺得
[49:43] 這是太好用了這太好用
[49:45] 好來這個是這個考卷哦
[49:50] 圖片的部分就是這樣那那我今天
[49:53] 是以數學科為例的各科其實都可以用
[49:57] 那就看老師們怎麼用
[49:58] 因為其他科我不擅長不是我專業
[50:01] 我通常會少碰啦我只做我比較專業的部分
[50:05] 我比較專業的就是數學嘛
[50:07] 數位教學嘛AI工具應用嘛
[50:09] 這是我比較擅長好大概是這樣
[50:14] 所以我們看一下剛剛的簡報做完了沒有
[50:17] 喔做完了三角形全等性質做完了
[50:20] 大家來看一下這是剛剛現做的滿版出血
[50:27] 大家有看到嗎來大家看一下這個PowerPoint簡報
[50:31] 我覺得很讚耶引起動機有沒有看到
[50:35] 有沒有看到哇讚讚讚你看這個圖被擋到了
[50:40] 有看到嗎這個圖被擋到了
[50:42] 所以像這個我們就稍微調整一下
[50:43] 因為這是圖層的關係圖層
[50:45] 我們把圖層往上調移到最上層
[50:48] 好這樣就好了有看到嗎
[50:50] 在PowerPoint裡面就是你想要怎麼改
[50:52] 就怎麼改好你看我覺得很讚
[50:57] 真的很讚很讚很讚可以可以可以
[51:00] 沒問題沒問題哇這個簡報太讚了吧
[51:06] 這簡報完全可以啊我覺得是沒有問題的
[51:12] 直角沒有畫對他直角畫錯了
[51:16] 像這個的話你就再給他修正就好了
[51:18] 他直角沒有畫對
[51:19] 他畫到另外一個角去
[51:22] 像這個也是圖層的問題
[51:25] 調一下就好換個方向思考
[51:30] 你看你這個這個不是制式的簡報
[51:33] 你看簡報可以耶可以耶
[51:41] 這簡報完全可以哇
[51:44] 最後做重點整理
[51:45] 然後你看字是不是很大
[51:48] 你們看我們簡報字就是要大
[51:50] 字就是要大簡報字就是要大
[51:55] 沒問題啊你看我現場示範
[51:59] 做簡報這是剛才做的
[52:00] 熱騰騰的做出來的品質是這樣耶
[52:04] 做出來的品質是這樣耶
[52:06] 包含這個符號都是對的
[52:07] 你有看到嗎這個符號都是對的
[52:10] 你看這個證明這個符號都是對的
[52:13] 你看這個證明哎呀太讚了太讚了
[52:19] 好再來最後一個部分
[52:25] 我們不是都會做那個互動遊戲嗎
[52:31] 那你知道互動遊戲啊
[52:33] 我現在做好之後
[52:33] 我就直接掛到github上面去
[52:36] 那這個怎麼樣做完遊戲
[52:38] 掛到github上面去詳細講
[52:40] 可能要另外拍一部影片來講
[52:42] 因為你們可能連github都沒有註冊對吧
[52:45] 來有註冊github在聊天室
[52:48] 給我打一個9好不好
[52:50] 就是你有註冊github
[52:51] 你有在用github的在聊天室
[52:53] 打一個9好不好
[52:54] 那這個這個東西就是詳細的講
[52:58] 是是可以講很久了
[53:00] 所以我今天就大概說一下就好了
[53:02] 像我有我有github
[53:03] 那我現在就是我我的做法
[53:05] 就是我寫完遊戲之後
[53:06] 我就直接請claude把它推送到github上面去
[53:11] 就會架起來架起來的話會像這樣
[53:14] 像這樣就會在我的github的首頁
[53:17] 那我github的首頁比如說
[53:19] 我我上一次上課我就架了這個
[53:22] 這個math game好像這樣
[53:28] 然後setting然後然後我
[53:31] 我就是pages我就已經加在網路上面去
[53:37] 所以我只要有這個網站
[53:38] 哪有這個網站哦
[53:41] 來這個是我直接寫好自動加過去的
[53:43] 那我把這個網址貼在這個聊天室
[53:47] 大家可以給你看
[53:47] 你點進來這個這個遊戲
[53:50] 是我一個指令就全部寫好了
[53:52] 就是剛剛那個skill
[53:53] 我有個skill是專門在做這個遊戲的
[53:56] 所以你就直接把它丟給他
[53:58] 他會根據每一個重點
[53:59] 他就是一個重點做一個遊戲
[54:01] 我們一個教學重點做一個教學
[54:04] 一個遊戲所以他一次幫我做好
[54:06] 12345678八個遊戲一次做好
[54:10] 做好之後我就跟他講說
[54:11] 送到github上面去
[54:12] 他直接把我推推到這邊來
[54:14] 自動我都沒有我都沒有動
[54:16] 當然你前面要要先設定
[54:18] 要要先設定好就是你github的帳號
[54:21] 你要先嵌在這個claude core的CLI的地方
[54:25] 去先把你的帳號登錄好
[54:28] 之後每一次他就會自動推送到你的github上面去
[54:31] 掛到網路上面去公開的網路
[54:34] 所以你們點了網址你們就可以玩
[54:36] 點進來之後你看
[54:37] 哎每一個就是一個遊戲
[54:38] 大家看到嗎哎這遊戲是品質是不錯的哦
[54:42] 可以直接在上面5 10點
[54:46] 他是可以點選去玩的
[54:49] 你看像這個都是都是y.2
[54:53] 像這樣下一題都是圖形式的遊戲
[54:57] 這遊戲的品質是不錯的像這樣
[55:02] 好找出交點座標啊
[55:05] 我一樣輸入的你看
[55:07] 一次做好8個遊戲
[55:09] 然後自動幫我推到github上面去
[55:12] 那之後我會拍一個影片
[55:13] 教大家怎麼樣去做這件事情
[55:15] 那如果你覺得這個太麻煩的話
[55:19] 用康軒的Kuse在做這件事也很方便
[55:22] 請去看我上禮拜直播
[55:24] 康軒Kuse也很方便你就不用架了
[55:26] 好不好那我我今天講的是比較進階的用法
[55:30] 好這是目前我在數學科上面
[55:33] 我有做到的應用那就分享給大家
[55:37] 那這詳細這個怎麼做
[55:38] 我之後再拍影片跟大家分享
[55:40] 要怎麼樣去快速的做好這個互動遊戲
[55:44] 然後快速的把它推送到你的github上面去
[55:47] 這樣好不好所以你看哦
[55:49] 有那個註冊github的人其實不多
[55:51] 所以我要先從github怎麼註冊開始教
[55:55] 好啦今天就這樣了好不好
[56:00] 那這個這個這個所有的skill
[56:03] 全部在我的padlet上面大方送
[56:06] 好不好我skill我毫無保留
[56:08] 全部送給大家在這裡
[56:10] 今天你看到了所有skill全部給大家
[56:12] 那這skill的話免費版本的claude也可以用
[56:15] 你有足夠的額度就可以用了
[56:19] 好再來最後當然你們今天來直播
[56:23] 還是要給一下回饋好不好
[56:24] 所以呢在在這個地方我給一個
[56:28] 給一個給一個回饋的網址來
[56:36] 你可以直接點這個padlet裡面
[56:40] 你可以直接點這個padlet裡面的的連結
[56:46] 或者是你直接在聊天室點連結
[56:48] 然後或者是你就直接掃描
[56:51] 現在這個視窗的qr code
[56:53] 然後給一些回饋
[56:55] 那我剛剛有這個老師問我問題
[56:58] 說哎我是不是用了claude就沒有
[57:01] 就不會用這個Gemini
[57:04] 沒有我跟你講Gemini跟notebook LM一樣
[57:08] 非常好用絕對沒有那種說
[57:10] 你用claude就不用Gemini
[57:12] 不用notebook LM沒有
[57:13] 我還是都有在用這兩個工具
[57:15] 比如說我的直播的封面圖
[57:19] 我全部都是用Gemini幫我生成的
[57:21] 我的Gemini就是在幫我做這些
[57:23] 直播這個封面圖的產生嗎
[57:26] 然後在我的notebook LM也會幫我
[57:28] 生成簡報整理資料
[57:30] 所以實際上工具就是這樣子
[57:32] 我今天展示的是claude的強項
[57:35] 在這個地方那Gemini有Gemini的強項
[57:39] 比如說像AI生圖或他的Gemini
[57:41] 可以一次生成我要的圖片
[57:43] 我覺得這個東西是claude做不到的
[57:46] 那像notebook LM你要一次整理
[57:47] 很多的資料notebook LM非常好用
[57:51] 那這個也是claude做不到
[57:54] 那claude的話你就是一定要
[57:56] 本地端去做我覺得才會發揮
[57:58] 他強大的優勢
[58:00] 那我本來今天有準備就是要
[58:02] 實做給大家看就是在本地端
[58:04] 你要怎麼操作了那因為直播
[58:05] 時間的關係我也沒辦法
[58:07] 全部呈現給大家看
[58:08] 反正之後我會拍影片
[58:09] 那你們就是只要按讚訂閱
[58:12] 然後我的頻道還有粉專
[58:15] 你就會看到相關的教學內容
[58:17] 好不好今天直播會保留
[58:20] 而且我都會幫忙上字幕
[58:22] 因為我有專門上字幕的AI工具
[58:25] 我自己寫的非常方便
[58:28] 基本上我不太需要校稿
[58:29] 因為準確率非常的高
[58:31] 就花一點點小錢
[58:32] 因為那個API key
[58:34] 我每次上字幕可能就零點幾塊吧
[58:37] 所以實際上錢很少
[58:38] 我也沒有去使用付費的這個
[58:42] 別人的工具那免費的都不準
[58:45] 所以我只好自己去申請
[58:47] 那個OpenAI的API key
[58:49] 然後自己做一個上字幕的工具
[58:51] 那我比如說我直播完
[58:52] 我就會把直播的影片的音檔
[58:54] 丟給那個工具他就會自動
[58:55] 幫我把所有的文就是我的
[58:58] 這個字幕幫我切好校正好
[59:02] 然後輸出字幕給我再掛上去就好了
[59:04] 所以花一點小錢可以大大的
[59:06] 增加我們的工作效率
[59:07] 就是我們使用AI工具的目的
[59:11] 不要為了AI而AI
[59:12] 他真的要解決你教學上的問題
[59:15] 解決你工作上的問題
[59:16] 真的解決你現實上的問題
[59:18] 這個AI工具他才會有價值
[59:20] 好不好今天的分享就到這邊
[59:23] 那大家就請不要吝嗇留下你的回饋
[59:27] 那我們就下期再見哦
[59:29] 大家晚安晚安拜拜
[59:33] 拜拜拜拜拜拜拜拜
