[00:00] 今天來講簡報。
[28:59] 翻車有好幾次,你在做研習或示範的時候,
[29:04] 直接AI罷工給你看。
[29:05] 這樣翻車也很多次。
[29:07] 直接說我只是個語言模型,
[29:10] 然後我什麼事都不能做。
[29:12] 翻車真是太常翻車了。
[29:14] 好,所以接下來我們來看下一個版本。
[29:16] 這個版本是什麼版本呢?
[29:18] 我們來看一下。
[29:20] 這個版本。
[29:20] 請大家幫我看一下。
[29:22] 來!
[29:23] 更新版的來了。
[29:24] 各位!怎麼沒有出現我的文字雲呢?
[29:27] 我的文字雲在哪裡?
[29:30] 我的文字雲呢?
[29:31] 我知道了!
[29:32] 一定要重新整理一下。
[29:34] 應該是Ctrl加F5吧?
[29:37] 是不是?
[29:38] 不是。
[29:40] 看一下喔!重新整理吧!
[29:44] 出現了!
[29:45] 各位老師!
[29:48] 來!簡報!
[29:50] 請大家把剛剛的簡報重新整理一下。
[29:54] 各位來吧!
[29:56] 我們的HTML簡報看看。
[30:00] HTML簡報是給人看的。
[30:03] 好!來!
[30:04] 你看!有問題!
[30:04] 大家輸入的東西沒有在裡面。
[30:10] OK!好!
[30:11] 所以這邊是有問題的。
[30:13] OK!
[30:13] 好!來!你看一下!
[30:14] 看成功了!
[30:16] 大家看一下!有沒有看到?
[30:17] 各位!
[30:18] 在你的簡報馬上就做互動哦!
[30:25] 帥吧!
[30:26] HHTML是很帥!
[30:28] 對!
[30:30] 沒有錯!我在簡報的同時,
[30:32] 馬上就可以跟大家做互動。
[30:35] 大型沒有翻車現場。
[30:36] 帥不帥?
[30:37] 各位!我是現場做給你看哦!
[30:40] 我不是先做好來表演,沒有!
[30:43] 我現場開Agent做給你看哦!
[30:46] 大家有沒有看到?
[30:47] 酷不酷?
[30:52] 所以你看左邊就會有大家的文字雲。
[30:55] 真的超帥。
[30:57] 沒有錯!
[30:59] 好!應用範圍就非常的廣,
[31:00] 是因為我們可以串接資料庫,
[31:05] 將你的HTML簡報做互動。
[31:08] 所以你可以投票,可以文字雲,
[31:12] 可以做任何互動。
[31:16] 你只要大家有HTML的簡報,
[31:19] 馬上你看,這麼多人在跟我互動有沒有看到?
[31:23] 太帥了吧?
[31:25] 有沒有看到?
[31:25] HTML
[31:26] 的簡報教學你只要串接資料庫,
[31:32] 你就可以馬上幫你的簡報加上這個功能,
[31:36] 真的是太帥了
[31:37] 帥炸,好大型沒有翻車現場,
[31:40] 帥炸真的是帥炸這太帥了。
[31:45] 好,來,下一個版本也做好了。
[31:48] 下一個版本將emoji也做好了。
[31:51] 所以大家只要按重新整理就可以了。
[31:55] 重新整理一下。
[31:57] OK,真的是太帥了。
[31:58] 所以你們畫面也出現這些內容。
[32:00] 對吧?
[32:01] 不是只有我畫面出現,你們畫面也出現。
[32:03] 好,簡報我照樣可以看簡報,
[32:07] 有看到嗎?
[32:08] 簡報我仍然是可以翻來翻去的,
[32:11] 有看到嗎?好來各位有沒有看到?
[32:14] 置中了OK來我們看一下最後兩個最後
[32:18] 兩個這兩個也不是emoji
[32:21] 來剛剛有沒有去背?
[32:23] 有沒有去背?
[32:24] 來沒有去背沒有去背還是要重新整理我看一下沒有
[32:32] 去背抓到了好這應該要去背來再來沒有聲音我的
[32:39] 麥克風有聲音嗎?
[32:44] 好來再來接下來我們要做一件事情我要來做一個互動互動就是說
[32:48] 你知道我們在做簡報的時候會有一個東西但是我要解釋一個東西
[32:52] 我希望能夠視覺化但是視覺化並不是說我開出來讓你看到而是
[32:58] 我在開出來之後我去做一個互動讓你看到好所以我們這個
[33:05] HTML簡報的話我看一下在哪個頁面會比較好好,
[33:10] 在第五頁好了,第六頁好了,
[33:14] 我們第六頁來加,第六頁好了,
[33:18] 我們來加。
[33:18] 我要在第六頁的地方加一個互動展示視覺化的
[33:24] 功能。我希望在第六頁有一個互動的
[33:28] 滑桿。在頁面的左邊有
[33:31] markdown格式,一篇文字。
[33:34] 文字的內容範例由你來給定。
[33:38] 當我在移動滑桿的時候,
[33:41] 我們讓markdown格式慢慢的轉換成
[33:46] 容易讓人閱讀的格式。
[33:49] 重點是在這個頁面有一個滑桿能夠移動滑桿。
[33:55] 當當場在這個頁面看到markdown
[33:58] 由不可讀,
[34:00] 然後慢慢轉化成HTML可讀的樣子。
[34:04] 那內容就由你來決定。
[34:08] 幫我加這一頁互動式簡報。
[34:11] 好,所以我希望能夠有個視覺化展示。
[34:14] 因為我現在要展示給大家看這件事情嘛,
[34:17] 對不對?所以我就像這樣。
[34:18] 所以按提交。
[34:20] 接下來我就是讓在這個頁面裡面去做一件事情。
[34:24] 這件事情是傳統簡報做不到的。
[34:25] 為什麼呢?傳統簡報裡面做這個東西叫做動畫。
[34:29] 動畫我有一個動畫。
[34:31] 然後我用動畫來去展示這個過程。
[34:35] 但是在HTML 剪報裡面它是比動畫還要更具可控性的是我
[34:42] 可以去設定一個滑桿來去利用滑桿來去控制你視覺看到的
[34:49] 變化。
[34:50] 尤其在教學裡面,不管是學科、
[34:54] 非學科,我們可以用一個來去展示各式各樣的
[34:58] 變化,而不是用動畫。
[35:00] 因為動畫的話,動畫可能要按下一步,
[35:04] 或是你可能要按一個按鍵之後它自動去完成。
[35:07] 可是我們可以做到什麼程度?
[35:09] 在這個頁面裡面我可以去用按鈕、
[35:12] 滑桿、拖拉,在這個頁面去呈現我想要呈現的
[35:17] 內容。
[35:18] 在我的
[35:20] 傳統簡報裡面做不到。
[35:23] 但是在我的HTML簡報裡面是可以做到這件事情的。
[35:41] 加上任何你想加的功能。
[35:43] 你可以加上任何你想加的東西,
[35:46] 讓它變得非常的有趣。
[35:48] 讓它變得非常的可控。
[35:50] 讓它變得非常的視覺化。
[35:52] 這個是HTML簡報的優點。
[35:56] 所以你想一下嘛。
[35:58] 像NotebookLM的簡報是不是就做不到這些事情。
[36:01] 那以前為什麼大家會喜歡用NotebookLM
[36:03] 的簡報是因為它生成出來的東西很漂亮。
[36:06] 比我們的傳統簡報很漂亮。
[36:08] 可是你今天看我做HTML簡報,
[36:10] 我HTML簡報做出來的視覺效果也不會差啊。
[36:14] 那些文字都可以做得很漂亮,
[36:16] 因為我的文字重點就變得很整齊,
[36:19] 變得很漂亮。
[36:20] 所以這個是我使用HTML的簡報在做教學展示或是在做一些知識
[36:25] 傳達的時候我覺得是有很棒的優點。
[36:28] 我這樣示範會很貴啊。
[36:30] 我生成一張圖片是0.3元。
[36:32] 那Claude的話我看一下我Claude
[36:34] 的額度還有多少。
[36:35] 我現在是用Sonnet的4.6元。
[36:37] 我還沒有用它最貴的模型。
[36:39] 所以我看一下我還剩多少額度。
[36:41] OK啦,OK啦,還有這麼多你看。
[36:45] 我並不是一個很常使用AI的一個工
[36:49] 程只有工程師才會把這些額度用完。
[36:53] 我本人都沒有把20美金的
[36:56] Claude用完過。
[36:58] 所以大家真的一般正常人20
[37:02] 美金就夠用了啦。
[37:03] 因為你並不是每天有那麼多工作要叫
[37:08] AI agent做好嗎?
[37:09] 不要裝忙。
[37:12] 好,接下來他準備要提交。
[37:14] 所以我也不知道他做出來會怎樣,
[37:16] 但是不管怎麼樣,我們先做第一版吧。
[37:18] 做完第一版之後我們再去做修改。
[37:21] 所以在這個地方讓他去做修改。
[37:26] 那剛剛我不是示範了很多個功能嗎?
[37:30] 你在這示範很多功能的時候,
[37:32] 最終你做完之後你可以做一件事情,
[37:34] 就是打包。
[37:35] 打包是什麼意思你知道嗎?
[37:37] 把它打包成一個技能。
[37:39] 你可以把它打包成一個技讓AI
[37:42] 自動判斷說哪些頁面是要用圖片生成簡報,
[37:46] 哪些頁面需要做互動展示,
[37:48] 哪些emoji圖標是需要生成圖片截圖去做替換,
[37:53] 哪些地方要增加這些互動的環節。
[37:57] 你可以由AI幫你去做判斷,
[37:59] 你可以把它打包成一個技能,
[38:01] 你只要丟給它內容,
[38:04] 自動生成像這個樣子的HTML簡報。
[38:07] 各位,歡迎來到AI Agent的時代,
[38:11] 好不好?好 我完成了所以我們看下他沒有讀懂我的
[38:15] 意思所以我們來看一下這一頁簡報這
[38:18] 頁簡報重新整理一下大家重新整理一下
[38:21] 齁 來了來了這這頁來 各位這邊盯大眼睛看賣
[38:27] templ upp Anth~!
[38:33] eksiyim
[38:35] 臺帥翻了,
[39:00] 真的帥翻了。
[39:01] 好,所以你看喔,來,各位,
[39:05] 大家的文字語還在啊,有沒有看到?
[39:11] 真的是只有想不到,沒有做不到。
[39:14] 好,所以就像這樣。
[39:16] 來,接下來,接下來要做的事情,
[39:18] 我要你將我們剛剛做的所有的事情,
[39:21] 打包成一個skill。
[39:23] 當我給定教材的時候,你要自動根據我給定的
[39:26] 教材,來決定哪些頁需要做
[39:30] HTML簡報的底圖。
[39:32] 由Draw技能去生成底圖。
[39:35] 哪一些需要扁平化圖標的部分。
[39:38] 你自己使用Draw
[39:40] 技能去生成圖片之後再截圖,
[39:44] 去把圖標放上去。
[39:46] 你自己決定在哪一些頁面需要放入
[39:51] IRS互動的環節。
[39:53] 比如有些是需要做文字雲,
[39:56] 有些需要做選擇題,有些需要做投票。
[39:59] 有些需要做檢查。
[40:02] 由你自己來決定在哪些頁面要加入互動。
[40:07] 再來根據給定的簡報內容,
[40:11] 你自己決定在哪一些頁面要做拖拉滑動的
[40:16] 視覺化展示。
[40:18] 我要你將這樣的
[40:20] 一個機制打包成Skill。
[40:23] 好所以大家有聽到我剛剛說的話對不對那我要確認一下喔
[40:27] 裡面怎麼做是有錯的地方我們人類要修一下喔
[40:32] 人類還是要審核一下喔
[40:33] 各位不要都信他喔所以我還是要再確認一下
[40:37] 喔好給大家看一下提示詞啦
[40:42] 在這邊所以你現在做了一件很厲害的
[40:44] 事情對不對那你打他成技能所以你看到我現在試試看給你看
[40:49] 喔打包成技能接下來提交他就幫我做一個技能那這技能是你只
[40:55] 要給他簡報內容,他會自動判斷哪一些內容應該要做成我剛剛示範的
[41:02] 簡報這樣子。
[41:03] 各位,我們的技能都是這樣子長出來的。
[41:07] 我不知道示範幾次了。
[41:08] 我們就是這樣在做技能。
[41:11] 我今天做了一個東西我覺得很厲害。
[41:13] 我把這整個流程,
[41:15] 我把它打包成一個skill。
[41:18] 下一次他就會按照這個流程,
[41:21] 會自己全部run
[41:23] 而你只要呼叫這個技能給他簡報內容。
[41:30] 他自動會幫你判斷然後做好這些東西。
[41:32] 當然做好之後你還是需要再去調整。
[41:35] 所以他這邊就會呼叫Enthopic的
[41:38] Skill Creator來去製作這個技能。
[41:41] 所以你們看喔!
[41:43] 這個技能是不是很厲害?
[41:45] 這是一個很厲害的技能。
[41:47] 這個技能是我自己長出來的技能。
[41:49] 我今天做了一遍流程,我覺得這樣是可行的。
[41:53] 那我就將這個固定的流程將它打包成一個技能。
[41:57] 而技能就是大家以前在使用那個
[42:01] Google Gemini的Gem的加強版,
[42:04] 十倍增強版。
[42:05] 因為技能你在任何的專案都可以呼叫它。
[42:09] 你在任何地方都可以使用。
[42:11] 技能你們也可以copy我的技能。
[42:13] 你可以將今天直播內容餵給你的agent,
[42:17] 請你的agent也去生成這樣的技能。
[42:19] 或者是我等一下將這個技能放在在
[42:23] 影片的留言處,
[42:25] 大家自己去獲取這個技能。
[42:29] 所以請大家在聊天室刷一排888。
[42:33] 我將這個技能放在這個影片底下。
[42:36] 在這個影片直播結束之後,
[42:38] 會在這個影片的描述欄,
[42:39] 會有這個技能的repo。
[42:41] GitHub repo。
[42:43] 你只要將網址貼給你的Agent,
[42:46] 你的Agent會自動安裝這個技能。
[42:48] 你都不用下載任何東西。
[42:50] 你只要貼網址給你的
[42:53] Ai Agent 自動就會幫你安裝今天看到的
[42:56] 這個技能。
[42:58] 但前提是你得要有我教大家如何去串畫圖的
[43:05] 技能。
[43:06] 所以如果你要使用這個技能的話,
[43:07] 你必須要畫圖的技能。
[43:08] 所以這部分請大家還是要去觀看我的
[43:11] 教學影片。
[43:13] 所以現在他在做這個技能。
[43:16] 先打包了。
[43:17] OK嗎?
[43:18] 就這樣。
[43:19] 大家又都上線來看是否現場翻車是嗎?
[43:24] 翻車秀。
[43:25] 那就給大家填一下回饋。
[43:30] 今天的直播回饋先是
[43:33] 0524打包無法聯網HTML
[43:36] 節目可以存到一個可以。
[43:38] 回答一下P-I-H-A-O-C-H-E-N
[43:42] 你可以不一定要刮到網路上面去。
[43:45] 它是一個index,所以它是一個網頁的檔案。
[43:48] 它有好幾個檔案。
[43:49] 所以你只要存到USB,
[43:52] 拿到任何電腦都是可以播放的。
[43:54] 剛剛產生的HDMI簡報連結,
[43:56] 我已經分享了。
[43:57] 再分享一次。
[44:01] 畫圖技能嗎?
[44:02] 再來個影片嗎?
[44:03] 畫圖技能在這個影片。
[44:05] 畫圖技能的話,人做到底啊?
[44:08] 等我一下。在我教學頻道裡面有一個影片是教這個畫圖技能。
[44:13] 一樣好的做到底。
[44:15] 有問必答。
[44:16] 在我的播放清單裡面有一個
[44:19] Claude AI基本功。
[44:24] 你點這幾本功,裡面會有25部影片,
[44:28] 畫圖技能的話要去這裡,
[44:30] 畫圖畫圖,這集,
[44:34] 去看這一集。
[44:35] 這一集會教你怎麼樣把畫圖的
[44:38] 技能裝進你的Claude裡面。
[44:40] 使用Image 2,你那個畫質設定是設定最低,
[44:44] 一張圖片就是0.3塊。
[44:46] 我覺得可以用了,0.3塊可以用,
[44:48] 就是看這個影片。
[44:49] OK。
[44:51] 好,再來,來請大家,
[44:54] 填寫一下今天直播回饋。
[44:56] 連結已經在聊天室裡面。
[44:58] 你直接點連結就可以填回饋。
[45:00] 如果你是用手機在觀看的話,
[45:03] 你就是直接掃描這QR Code。
[45:05] HTML要重整它有新功能。
[45:07] 沒有錯,你必須要重新整理。
[45:09] 因為我每一次就是重新推播。
[45:11] 所以大家直接掃描這個QR Code。
[45:14] YT裡面乾貨滿滿。
[45:16] 我跟你講我的YouTube頻道裡面,
[45:18] 這些教學影片的價值可能上萬塊。
[45:21] 你們都可以免費觀看。
[45:22] 好不好,這個價值真的是上萬塊。
[45:24] GPT聊天紀錄、轉換技能可以是可以的
[45:27] 可以把GPT聊天紀錄、轉換技能給
[45:29] Claude Code使用可以技能在Claude Code跟
[45:32] Codex是互通的好Codex
[45:35] 畫圖技能來Codex畫圖是Codex
[45:38] 裡面畫圖是它利用你訂閱方案去畫圖但是它畫圖是在你的
[45:44] 那個頁面端生成如果你要裝的話變成是它會在頁面端生成之後
[45:50] 存下來再另外裝上去可是這樣子比較那你透過
[45:55] API去呼叫生徒是比較快的,
[45:58] 要花錢但是比較快。
[46:00] 那Codex可以使用你訂閱方案的額度去生徒,
[46:03] 但是比較慢。
[46:03] 限制也比較多。
[46:04] 所以這不能自己斟酌啦。
[46:06] 我個人是比較喜歡用API去生徒,
[46:08] 因為又快又好。
[46:10] 好,感謝文玉,文玉Donate30,
[46:13] 感謝文玉Donate。
[46:15] 所有Donate都是對我的支持,
[46:17] 謝謝大家。
[46:19] 來 所以大家自行處理再來我們看一下
[46:23] Skill已經出現在清單中了
[46:26] 繼續建立參考文件好感謝收惠君嗎?
[46:33] C-H-O-U-H-U-I-C-H-
[46:36] U-N感謝Donnai 謝謝對技能要裝技能謝謝
[46:40] Donnai 謝謝Donnai支持有啊
[46:42] 我今天畫這些圖是有花到錢的
[46:46] 謝謝大家Dornaid幫我支付這些費用。
[46:49] 好,那在直播結束之後,
[46:52] 我答應大家會把這個技能的report
[46:54] 放到影片的連接欄。
[46:56] 因為他現在還在做我,所以我沒辦法處理。
[46:58] 好不好。
[46:59] 如果沒有問題的話,
[47:01] 我們今天直播就到這邊喔。
[47:04] 那我們就下禮拜見。
[47:06] 最近幾天可能忙,我就不會直播啦。
[47:08] 我有空就播啦。
[47:09] 沒有空就我會休息吧。
[47:12] 大家晚安。
[47:13] 拜拜。
[47:14] 拜拜。拜拜。
