[00:00] AI Agent基本功 第三集
[00:03] 今天要來聊一下就是你的AI Agent本身的基本能力有
[00:08] 哪一些這個是大家開始最不能夠理解的部分
[25:10] 畫那些資訊圖表,就是要裝這個
[25:12] 圖表。你有裝這個套件,
[25:14] 它就可以畫所有的統計圖。
[25:16] 好,再來往下,PowerPoint的篇,
[25:18] 真誠簡報嘛。
[25:19] 然後再來就是我們把那個一頁簡報,
[25:22] 然後做一頁圖片或是一頁圖卡。
[25:24] 像這種事情以前我們自己手動貼是很麻煩的。
[25:27] 再來就是統一字型加校徽,
[25:30] 加一個什麼,什麼那個個人品牌的圖片之類的。
[25:34] 像這種事情,你是不是以前在做的時候要做模板,
[25:37] 要套模板,非常痛快。
[25:38] 在你的AI Agent裡面,你做這些事情都非常難。
[25:42] 你只要做什麼事情就好,
[25:43] 你只要去安裝Python裡面有一個PPTX的套件,
[25:47] 然後用這些提示,它會自動幫你裝套件,
[25:50] 自動幫你做好。
[25:51] 那這邊有一個Pillow,Pillow我忘記它是做什麼,
[25:54] 等一下請它指示一下。
[25:55] 好,所以你看喔,這邊也都有這個AI Agent的提示,
[25:58] 你只要給它檔案的名稱,
[26:00] 還記得嗎?
[26:01] 複製檔案路徑完之後,把這些畫複製給它,
[26:05] 它就會自動幫你做到好啊各位。
[26:08] 好,再來PDF的部分。
[26:10] 导券合併拆分重排,然後PDF加符水印,
[26:14] 或是掃描講義OCR可編輯,
[26:17] 還有抽課本某集的轉圖檔,
[26:19] 這些都是可以做的。
[26:20] 尤其是掃描講義OCR這件事,
[26:23] 把PDF變成是一個可編輯文字檔,
[26:27] 這件事很重要,因為PDF某種程度是不好按的。
[26:30] 所以在這裡,來,所以也是一樣,
[26:32] 你只要安裝這些套件,用這些提示詞,
[26:36] 就可以去幫你做這些有關於PDF
[26:40] 的事情。這些
[26:40] 事情是不是你們很常會遇到的事情呢?
[26:43] 對吧?
[26:44] 掃描PDF做OCR變成可複製文字的PDF
[26:48] 好!
[26:48] 再來其他常用的小工具
[26:50] 這邊小工具的話其實有蠻多
[26:52] 的比如說連結轉QR Code自動幫你做影片
[26:55] 轉字幕影片
[26:56] 轉字幕的話本地的Whisper模型他會幫你裝
[27:00] 這個是要影片轉字幕是比較麻煩一點
[27:02] 的但是可以做啦你的筆電不要太舊
[27:05] 因為這樣都能做
[27:07] 啦好!課本轉乾淨文字這個
[27:09] 東西很讚喔!
[27:10] 我一定要特別講一下!
[27:11] 就是我們餵給 AI 前啊!
[27:13] 你要先做這件事!
[27:14] 因為AI它讀文字所以棒!
[27:16] 所以很多時候我們直接給課本不見得比較好!
[27:19] 你直接給課本的檔案PDF檔或PPT檔不見得比較好!
[27:22] 所以我們通常會先做一件事!
[27:23] 就是你的課本格式太亂!
[27:25] 你丟AI的效果沒有!
[27:26] 所以我們會去安裝一個套件叫做MarkItDown!
[27:29] MarkItDown!
[27:29] MarkItDown!這個也是Python的程式!
[27:31] 那你就跟他講說你要裝MarkItDown!
[27:33] 他就會幫你裝!
[27:33] 然後他就會用這個MarkItDown!
[27:35] 然後幫你把PDF跟PPT轉成MarkIt
[27:38] Down!這東西超級好用,我打一個超大小。
[27:41] 這東西超級好用,大家一定要裝。
[27:44] 好也沒有關係啦,你直接把這個檔案給他,
[27:47] 他就幫你。好所以在這裡的話,
[27:49] 我們我剛剛是不是有給大家QR Code?
[27:51] 然後在這個影片的下方會有這個GitHub repo,
[27:54] 這個GitHub repo裡面也有這個檔,
[27:56] 就是Agent Setup教學檔案處理工具包.md
[28:00] 檔,你只要丟給你的Agent跟他說讀這份檔案,
[28:03] 幫我把裡面的Python套件都裝好,
[28:05] 就會自動幫你裝起。
[28:07] 大家記得這東西真的是太讚了。
[28:09] 幫我丟丟丟。
[28:10] 好所以真的是沒有辦法再佛心了啦。
[28:14] 第三。這一個。
[28:14] 所以大家都有拿到檔案了對不對。
[28:16] 來。所以它會是一個這樣的一個自動安裝。
[28:19] 自動安裝。
[28:20] 所以它就會幫你把這些東西全部裝好了。
[28:22] 所以套件用途。
[28:23] 它就會幫你講說套件哪一個是對哪一個。
[28:25] 看一下Pillow。
[28:26] Pillow是Pillow呢?
[28:27] Pillow。圖片處理的。
[28:29] Pillow。
[28:30] 圖片處理、裁切、去白邊跟合成。
[28:32] 所以會裝Pillow這個套件。
[28:34] 所以我們就把它裝一裝吧。
[28:35] 我們就把這個檔案餵給它就好了。
[28:37] 我們就來裝裝看。
[28:38] 好!所以就這個檔案。
[28:40] 來!各位!你下載好之後我們來試一下。
[28:42] 將這個檔案怎麼樣?
[28:43] 複製路徑。
[28:45] 用起來!
[28:46] 好不好!對!
[28:48] 然後直接丟到你的Agent裡面。
[28:50] 比如說丟到我的Antigravity裡面。
[28:53] 然後跟他講。
[28:53] 那講什麼呢?
[28:55] 讀這份檔案。
[28:56] 幫我將裡面的Python套件都安裝。
[28:58] 這樣這樣?OK嗎?
[28:59] 好!接下來我們就按提交。
[29:01] 然後打開我的OpenCode一樣。
[29:02] 提交。打開我的Codex。
[29:04] 找到了!
[29:05] 我的Codex大家有看到嗎?
[29:07] 使命必達啊!
[29:08] 有沒有看到?這個齁我自己在我們學校找我都要找好久
[29:12] 你知道嗎?欸他上網去找到了給他一個讚齁
[29:15] Codex給他一個
[29:16] 讚很難找真的很難找因為我自己都要找好久因為你常
[29:19] 在學校因為學校的網站是一個很複雜的那你每次都要
[29:23] 點很多地方你才能夠找到那個答案嘛對不對?
[29:25] 你就叫你的Agent是找他會想辦法找到你
[29:28] 所以我們
[29:28] 看一下他是不是真的有下載好看一下雙下心目表欸有
[29:31] 欸大家有看到嗎?
[29:32] 有看到嗎?
[29:33] 這個檔案很難找真的超難找的看一下是好雙下心目表
[29:36] 欸找到了這是我們學校那個段考出題的雙向心
[29:40] 目表我們需要這檔案,然後假期寫書,
[29:42] 就交。在我的高寇裡面
[29:44] 好,所以他就會去幫你把這些東西把它裝一裝了
[29:48] 有些蠻重度的像那個whis
[29:52] perwhisper可以不用裝,
[29:54] whisper也不用裝
[29:54] 我應該把whisper拿掉
[29:57] whisper是一個本地的AI語音辨識所以
[30:01] 如果你想要幫你的影片上字幕的話
[30:03] 你就要裝那個whis
[30:05] per然後再來有幾個比較關鍵的就是這個啦
[30:08] 這個就是有一個PDF
[30:10] 這邊有幾個都蠻好用的
[30:13] 這個我也覺得蠻好
[30:15] 用的這個我之前有介紹過
[30:16] 這個是做這個這個
[30:18] 也很好用推
[30:19] 薦給大家好
[30:19] 所以大家有拿到檔案了
[30:20] 嗎?吧如果你
[30:21] 沒有拿到檔案的話
[30:22] 在這個影片下方會放GitHub的連結
[30:25] 你從這個GitHub repo去拿
[30:27] 好那我就簡單來示範幾個功能就好了
[30:31] 先讓它裝一下
[30:32] 所以你每一個就會裝像
[30:35] 這樣。大家看到嗎?
[30:36] 全部裝好啦。
[30:37] 這個OpenAI Whisper可以先不要裝啦。
[30:40] 這是本地的。
[30:41] 這個OpenAI Whisper比較重度。
[30:43] 大家可以選擇。
[30:44] 你可以跟他講說先不要裝OpenAI Whisper。
[30:46] 這是比較重度的,因為他會吃你電腦的。
[30:49] 所以如果你要做本地的語音的辨識的話,
[30:52] 你要裝這個東西。
[30:52] 一般電腦都能跑,但是如果你的文書筆電是舊的話,
[30:55] 跑起來會吃力。
[30:56] 那正常的電腦都是能跑的。
[30:58] 所以請大家自行斟酌。
[31:01] OK嗎?那我這台電腦是可以跑的。
[31:03] 好,所以你看這個。
[31:04] OpenAI Whis
[31:05] per。我應該先把這個拿掉,
[31:07] 這是比較大的。
[31:08] 理論上來說,你一個Agent裝一次應該就能用,
[31:11] 應該就能用。
[31:12] 但是,就變成是他要用的時候,
[31:13] 實際上應該講說,他用的時候他沒有他自己在用,
[31:16] 或者是他去別的Agent的系統資料擠去拿。
[31:19] 原理上他會想辦法,所以你看嘛,
[31:22] 這邊已經存在並可用了,
[31:24] 他就不會裝。
[31:24] 像那個OpenAI的Whisper,
[31:26] 一個Agent裝一次就好了,
[31:28] 其他Agent會去找。
[31:29] 沒有看到GitHub的連結,
[31:31] 因為我現在影片還沒有,
[31:32] 所以影片結束之後我會放到一個,
[31:35] 影片的說明欄。
[31:36] 好,沒有關係,給這個GitHub repo。
[31:38] 好,GitHub連結的話,我把它放到聊天室。
[31:42] 好,他會自動幫我說要裝這兩個嘛。
[31:45] OpenAI Whispers比較吃電腦硬體,
[31:48] 幫我將GitHub repo裡面的這個OpenAI Whispers
[31:52] 的部分,它一般使用者可能裝不起來,
[31:56] 跑不起來。我們剛剛在安裝過程有更新的部分也一併
[31:59] 幫我update。
[32:00] 好,Antiguity裡面沒有上下文管理,
[32:02] 因為它是一個比較不完整的
[32:04] 一個,實際上它不算是一個完整的
[32:08] Agent。它有大部分的功能,
[32:10] 但是還是有少一些工具。
[32:12] 所以Antigravity我個人把它定位為你不要把它當成是
[32:17] 主要的Agent。
[32:17] 你把它當成是工作的Agent。
[32:19] 是指的是說你要它跑程式啊。
[32:22] 比如說你要去生意影音啊、
[32:24] 剪影片啊。
[32:24] 做事情的時候,你可以用Antigravity來做事沒有問題。
[32:28] 可是當你要做一些可能規劃啊、
[32:30] 專案的管理的時候啊。
[32:32] 我個人建議還是不要使用Antigrav
[32:34] ity。你可能使用OpenCode或是Codex可能會比較好一點。
[32:38] 所以你會發現說我在使用Antiguity的時候,
[32:40] 我大部分都是拿它來做虛多。
[32:44] 謝謝。好,所以大家在裝的過程裡面可能你的
[32:47] Agent會問你一些問題,你就自行斟酌判斷好不好?
[32:50] 那我個人建議如果說你沒有要做這個擷取影片的字幕
[32:56] 的話,OpenAI的Whisper可以不用裝啦,
[32:59] 因為那個是本地模式,會有點吃你的電腦硬體。
[33:01] 好,大概是這樣。
[33:02] 然後我現在就來,
[33:04] 來做一個東西給大家看好不好來
[33:06] 我現在做好了這些東西對不對所以
[33:08] 你現在已經可以在你的電腦上面做任何的文書處
[33:14] 理比如說來我現在給大家看一下我有
[33:18] 個歷屆試題會考歷
[33:19] 屆試題那我會考歷屆試題的話可能我有一個
[33:22] 我直接叫我的agent做
[33:23] 好好來我示範一次給大家
[33:25] 看我用Antigravity示範給大家看是因為Antigravity
[33:27] 動作比較快幫
[33:28] 我上網下載國中教育會考
[33:31] 今年的考題已經考過的本屆的歷屆試題,
[33:35] 下載到這個專案目錄裡面來,
[33:37] 將裡面的每一題截圖放到PowerPoint
[33:41] 裡面去。
[33:42] PowerPoint每一頁就是一道題目,
[33:46] 而下一頁的話,按照你的能力,
[33:49] 在每一道題目的下一頁去產生這道題目的點。
[33:53] 解答部分要特別注意,數學方程式的表示是要正確。
[33:57] 如果有需要畫圖的話,就畫
[33:59] 圖。坦森的PowerPoint也存在這個專案資料金。
[34:07] 謝謝。好所以我就請他去做這些事情,
[34:09] 大家看到嗎?所以你看喔,
[34:10] 我上網下載了立屆試題,
[34:13] 然後我叫他把每一題截圖放入PowerPoint。
[34:16] 然後PowerPoint的話一頁一到題目嘛,
[34:18] 然後下一頁的話就放點這樣。
[34:19] 好接下來按交。
[34:21] 欸這個是Codex,這是Codex。
[34:23] 好我們開AntiGravity。
[34:24] AntiGravity還在做,好那我用Codex做給大家看。
[34:28] Codex。好然後Codex的話,
[34:29] 開1-1-1-1-1-1-
[34:30] 1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
[34:31] 1-1-11.5倍速,開1.5倍速,加速一下,
[34:32] 像這樣。因為你現在已經有裝這些套件了,
[34:35] 所以實際上你可以上網,
[34:36] 你可以在你的PDF裡面截圖。
[34:39] 截圖之後你可以放到每頁的PowerPoint裡面去。
[34:42] 你可以在每頁的PowerPoint也寫解答,
[34:45] 然後寫完解答之後另存一份答案,
[34:47] 等到你的專案目錄。
[34:48] 大家你有感受到Agent的威力嗎?
[34:51] 他同時間上網下載檔案,
[34:54] 然後去讀檔案,從檔案裡面截圖,
[34:56] 然後放到PowerPoint裡面去。
[34:58] 產生一個全新的Power
[34:59] Point。寫好檔案之後放在這個專案目錄裡面。
[35:02] 各位這個就是AI Agent在你電腦上面能做的。
[35:07] 所以它本身的能力就這麼的強。
[35:09] 所以大家可以知道說哦原來AI Agent跟甚至是
[35:12] AI什麼的。
[35:13] 也因為這特性。
[35:14] 所以它能夠做的事情就是你能夠做的。
[35:17] 所以為什麼我們說AI Agent叫做AI代理?
[35:19] 因為它就是可以代理你這個人類去做你。
[35:24] 所有你在電腦上面能做的。
[35:26] 所以你能做的事情它都能做。
[35:27] 你不能做的事情它也能做。
[35:29] 為什麼呢?
[35:30] 因為你絕對沒有懂這些程式比他懂得多。
[35:33] 所以他知道要呼叫什麼程式。
[35:35] 他知道要去操控這些檔案。
[35:37] 怎麼去生成這些內容。
[35:39] 所以我們為什麼要使用AI Ag
[35:41] ent?就是要把我們人類的雙手解放出來。
[35:45] 讓AI Agent去幫你做這些事。
[35:47] 但是在AI素養的部分,我還是要特別提起所有的工作。
[35:52] AI Agent幫你做的一定是取代你的勞務。
[35:56] 那最後最後所有的內容
[35:58] 一定要經過人類專業的檢查,
[36:01] 你才能夠將這些產出的內容拿去使用。
[36:04] 所以這件事情就是AI素養的部分我還是要再說明一下。
[36:08] 所以這個部分雖然我已經在每一個影片裡面都有說了,
[36:12] 但是我也怕大家誤會感覺起來好像是說我都沒有在教
[36:15] 大家AI素養。
[36:17] 沒有,AI素養就是那個我不用講你也應該知道的誰。
[36:20] 但是我還是不厭其煩的聽大家。
[36:22] 我們在使用AI並不是要讓AI來去愛我們。
[36:25] 好語音輸入的話我在這個別的
[36:29] AI的話我會使用Typeless。
[36:32] 那既然有人問的話我就大放送教大家一件事情。
[36:36] 來各位,接下來這件事是多送的。
[36:38] 因為這個應該是在Codex的工會。
[36:40] 今天有人問我就提前講。
[36:42] 在Codex裡面來去選設定。
[36:44] 好設定裡面有一個功能。
[36:46] 然後設定一般的話有一個功能。
[36:48] 下面的話會有一個聽寫。
[36:51] 聽寫。
[36:51] 在設定沒有一個聽寫。
[36:52] 聽寫的話,麥克風就是用你系統預設麥克風。
[36:56] 然後我們這邊按住聽寫快速鍵跟切換聽寫快速鍵。
[37:00] 好這兩個差別這個要一直按住。
[37:02] 這個是只要按一下就好。
[37:03] 好所以我們當然是使用按一下就好。
[37:05] 所以呢這個可以不用管它。
[37:07] 我們為了方便使用按一下就好。
[37:09] 然後在這裡的話,把它打開來。
[37:11] 對,把它設定。
[37:12] 好這時候就按下快速鍵。
[37:14] 所以假設我按下的是Ctrl加斜線。
[37:17] 所以它就會出現這個快速鍵。
[37:19] Ctrl加斜線。
[37:20] 各位,在C
[37:20] olk,Codex裡面你再也不用只用語音輸入軟體。
[37:26] 你只要開了這功能。
[37:28] 來各位,你告訴大家有多好用。
[37:30] 各位,我現在開這個功能哦,
[37:32] 來哦,我現在按Ctrl加斜線哦。
[37:34] 好,要用Codex存詢麥克風,
[37:36] 是。現在我使用的是Codex內建語音輸入功能。
[37:40] 這個語音輸入功能非常的準確,
[37:42] 它有文字清洗的一個內建一個流程在裡面。
[37:47] 所以當你講文化之後辨識出來的中文字,
[37:50] 會有文字清洗的一個流程在裡面。
[37:51] 非常的精準。
[37:52] 你可以在Codex裡面使用這個功能,
[37:55] 而不需要使用Typeless。
[37:57] 講完之後再按一次Ctrl加寫線。
[37:59] 各位,見證奇蹟的時候到了。
[38:02] 來,大家有看到嗎?
[38:03] 大家有看到嗎?好,來,你到今天才知道這個功能。
[38:06] 你覺得這個功能很實用的,
[38:07] 打一個888好吧。
[38:08] 這個是Codex專屬。
[38:14] 這個是我會放在Codex本工啦。
[38:17] 那既然有了問的話,我可以說明。
[38:19] 厲害吧!
[38:21] Codex專屬。
[38:22] 語音輸入功能。
[38:23] 超級好用。
[38:25] 當然字的話,有些字還是要稍微調整一下啦。
[38:27] 像這個type就沒有,可能說我沒有念。
[38:29] 大部分的語音都是沒有文章的。
[38:31] 非常精準喔,非常精準。
[38:32] 所以我覺得啦,目前我心中第一名是Codex。
[38:35] 雖然我都沒有更新它,但是我很常使用它好不好,
[38:38] 因為我實在是太忙了,我沒辦法啊。
[38:40] 我沒辦法每個都更新啦,
[38:41] 因為好多人叫我更新這個更新那個,
[38:43] 我實在是沒有空,不好意思,
[38:45] 所以我就是隨緣吧,隨緣吧。
[38:47] 我有空就會更新。
[38:49] 可以可以你只要有Ctrl、
[38:52] Alt你自己試好不好那個JKS0619你自己試如果你有
[38:56] Codex你自己試好不好試一下就好了好所以你看喔他已經
[38:59] 幫我去抓完了這個檔案所以我的Codex已經刷到了試題
[39:04] 跟答案一下子接下來他已經去讀了你看看所以官方參
[39:08] 考答案裡面他也去拿了官方的參考答案是不是很聰明
[39:11] 因為他拿了官方答案的話他拿了官方答案的話他比較
[39:14] 知道說他做的是對所以我覺得這件事是很聰明的
[39:17] Typeless當然是比較好
[39:19] 用的我只是提供大家另外一個項目。
[39:21] 如果你沒有裝Typeless或是你覺得Typeless
[39:23] 沒事都跳出要你付費的頁面覺得很煩的話,
[39:26] 不妨使用Codex內建的語音輸入功能就非常好用。
[39:30] Typeless還是很好用啦。
[39:31] 我也有打造我自己的啦。
[39:33] 我自己的也可以用啦。
[39:34] 我有自己的語音輸入軟體。
[39:36] 沒有Typeless那麼好用。
[39:37] 我偶爾會用自己的。
[39:39] 好正在整理媒體的解答。
[39:40] 欸他一次做27題喔,一次做2C題。
[39:43] 好這個就是我們所謂AI Agent的它本身的基本能力。
[39:48] 所以我今天示範的啊,是每一個Agent都具備的力。
[39:51] 所以像我在各個工具裡面,
[39:54] 我們不是都有很多各工具的基本功嗎?
[39:56] 那我在我的那個OpenCode基本功裡面也有調就是免費
[40:00] 的Agent怎麼去使用。
[40:01] 所以免費Agent的話,它也仍然具備我現在講的這些功能
[40:05] 喔。所以光是免費Agent就已經非常強大了,
[40:08] 好不好?所以大家可以去體驗看看,
[40:10] 你可以到我頻道去看OpenCode基本功,
[40:13] 裡面有提到免費的Agent,
[40:15] 你可以去體驗看看Agent是怎麼一回事。
[40:17] 好,所以你可以在OpenCode
[40:21] 基本功裡面去拿到這個免費使用的。
[40:24] 是,這應該是別的。
[40:26] 好,來,大家有看到嗎?
[40:27] Codex自動壓縮上下文,
[40:29] 就是在Codex裡面你可以做上下文管理,
[40:31] 但是因為Codex它的GP5.5的上下文只有25
[40:35] 萬,所以當我做蠻多事情,
[40:37] 比如說我現在叫
[40:38] 它然後下載PDF,然後讀完27題,
[40:41] 然後再去寫解答。
[40:42] 所以它的上下文就用完。
[40:44] 那在Codex裡面,它會自動去壓縮上下文。
[40:46] 基本上壓縮一兩次,不太會影響到它的內容。
[40:49] 那如果壓縮到兩三次以上的話,
[40:51] 你可能要稍微想一下,是不是要把現在這工作進度,
[40:55] 把它先完成之後,另外開一個新對話,
[40:58] 再去接著工作。
[40:59] 可能會比較好一點。
[41:00] 所以在Codex裡面,因為Codex的上下文只有
[41:02] 25萬。
[41:03] 所以很容易在做一些複雜工作的時候,
[41:05] 它會自動壓縮上下文。
[41:06] 大家不要害怕。
[41:07] 壓縮一到兩次都是沒有問題。
[41:10] 好,接下來他要開始跑了,
[41:11] 看起來跑了很久。
[41:12] 我好像叫他做了一個比較難的任務。
[41:15] 然後我講一下我頻道裡面啊,
[41:17] 如果你想要從基本觀念開始看的話,
[41:20] 就是從這個系列開始看。
[41:22] 所以AI Agent基本功,你在學Agent就是你第一個要看的
[41:25] 系列。然後你的,你開完這個系列之後啊,
[41:28] 你對於每個Agent,比如說Claude Code,
[41:31] 比如說Codex,比如說AntiGravity,
[41:34] 比如說OpenCode的,你另外有付費使
[41:37] 用的。如果用這些工具的話,
[41:39] 你可以在我頻道裡面找到對應的播放清單。
[41:42] 然後你再去播放清單裡面去看。
[41:44] 然後在這個系列、AI Agent系列裡面,
[41:46] 我就會把所有的大部分我們會用到的這些
[41:50] AI Agent的功能跟用途,我會做一個總整理。
[41:53] 所以像你看到我在講這個AI Agent基本功能,
[41:56] 總整理的意思是指說,我把那個所有同類型的,
[41:59] 比如說像我們AI Agent的基本功能有哪一些,
[42:02] 我就統一在這一集裡面全部講。
[42:04] 那比如說下一集的話,我就會講我們怎麼樣把
[42:07] AI Agent聯繫,
[42:07] 連接到外部工具去。
[42:09] 我就在那一集裡面把它全部都講。
[42:11] 那我會在裡面會去做分類。
[42:13] 說哪一些是比較簡單的。
[42:15] 哪一些是比較難的。
[42:16] 我會幫大家分類好。
[42:17] 你連接外部工具的話大概分哪一類。
[42:19] 又分成兩大類啦。
[42:20] 就是有Google的跟Google的。
[42:22] 因為Google加的跟Google加的其實太一樣。
[42:24] 所以我會大概幫大家做一下分類。
[42:26] 那大原則就是可以釐清你觀念。
[42:28] 所以你在看我這個AI Agent基本功的系列的話。
[42:32] 最大最大的幫助是幫你釐清使用AI觀念。
[42:36] 好,那我的頻道
[42:37] 我裡面有太多太多東西。
[42:39] 包含像最近大家,我看到大家都在開始在講的就是自動
[42:43] 剪輯影片,在我的頻道其實很久之前就講過了,
[42:46] 我也都全部開放給大家了。
[42:48] 包含很多人在講說,使用這個AI-Agent去產生簡報,
[42:52] 我也全部都給大家了。
[42:53] 包含使用AI-Agent去做影片,
[42:57] 實際上我的頻道裡面通通都有免費的資源。
[43:00] 你不太需要去別人那邊留言索取啦。
[43:03] 所以實際上在我頻道裡面,
[43:05] 我通通免費提供了
[43:06] 啦。所以你只要有看我頻道的資源,
[43:06] 我通通免費提供了啦。所以你只要有看我頻道的內容
[43:08] 的話,原來上你都可以拿到所有對應的資源。
[43:11] 全部都是免費的。
[43:14] 所以我們現在就只等這個檔案了。
[43:16] 看一下其他的。
[43:18] 失敗了,有些可能沒辦法裝吧,
[43:21] 你們大概就自己試一下啦。
[43:23] 因為可能沒辦法顧到所有的Agent工具。
[43:25] Claude的Thread上下文。
[43:28] OpenCode的Thread我沒有這個AI Agent。
[43:31] Thread是哪一個?
[43:31] 我沒有Thread啊。
[43:32] Thread是哪一個AI Agent?
[43:33] 我沒有這個Thread。
[43:36] 你是什麼AI?
[43:37] 每個AI的上效能是不一樣的,
[43:39] 它並不是固定
[43:42] 的GPT5.5的話在Agent裡面每個
[43:46] Session沒有
[43:48] OpenCode的話你要看你Session裡面的是哪一個
[43:51] AI比如說我如果是使用GPT5.5的話
[43:54] 5.5的話在OpenCodeZen方案裡面5.5
[43:58] 是100萬上效
[43:59] 能在Codex裡面是25萬上效能,
[44:01] 所以是不一樣的
[44:01] 那比如說在這個地方的話
[44:03] OpenCode裡面上效能是在這邊所以
[44:05] 像在這個OpenCode裡面的話我就可以看到我的上下文
[44:09] 這邊用掉了47%所以看到了剩下應該都
[44:14] ok吧好這個我也都裝好了那
[44:17] 我剛剛有遇到的問題我也更新了這個GitHubReport
[44:20] 了好裝好了
[44:22] 吧OK好了PPT產生了接下來我們就是見證奇蹟的時候了
[44:25] 好不好然後傳統Agent在做的時候他都會檢查
[44:29] 啦像那個Codex跟Claude Code他都會檢查在一起所以會
[44:31] 比較慢那OpenCode的話不檢查直接輸出會比較快
[44:35] 所以我常常喜歡叫AntiGravity跟OpenCode
[44:37] 來做事情是最快的就是AntiGravity再來OpenCode
[44:40] 也很快那Claude Code跟Code減滿是因為他們會做事所以
[44:43] 他們的成品會比較嚴重所以沒有絕對的好壞啦好不好
[44:47] 所以因為不管怎麼樣我們人類都會死我們說我們看一下
[44:50] 這個PowerPoint
[44:51] 看完這個我們就要下播囉大家有期待說這個做出來的
[44:55] 成品會做PowerPoint在這邊已經做好了他現在正在檢
[44:58] 查我們先開來看好了啦好不好他重新生存稍微等他一下
[45:01] 等他一下下我們看完這個成品就收播
[45:04] 啦我順便廣告一下好了
[45:05] 就是OpenCode裡面啊有一個
[45:08] 有一個我今天更新的
[45:10] 我今天更新的OpenCode的一個影片是
[45:13] 現在大家研習最大的問題是
[45:15] 沒有辦法有一個好的工具讓大家去操作是因為
[45:20] 大部分都沒有付費使
[45:22] 用這個所謂的AI Ag
[45:23] ents所以變成是我們在授課的時候啊
[45:26] 就是講AI Ag
[45:27] ents啦講AI Agents的時候最大的問題是
[45:29] 我們都沒有辦法讓學生去操作
[45:31] 所以我今天特別為了這件事情
[45:34] 我錄了一個影片,就是OpenCode基本功第五。
[45:36] 那這件事就解決了,就是幫大家解決了。
[45:39] 如果今天我要教大家使用AI-Agent的話,
[45:41] 大家都是沒有付費訂閱,
[45:43] 或者是大家的訂閱可能只有20美金一家,
[45:46] 然後你可能三個小時的研習可能會跑,
[45:48] 乾掉,跑,就是用完。
[45:50] 所以我今天就教大家一個免費使用的Big Pickle,
[45:53] 然後讓大家在研習的時候可以當作是備案。
[45:56] 所以在研習的時候你可以使用這個Big Pickle
[45:59] 來去跑,我剛剛講的那些東西,
[46:01] 體驗一下AI-Agent。
[46:02] 那當然頂級的像Claude
[46:03] Code的Code,Codex還是比較好的。
[46:05] 所以如果說你要做一些比較重要的事情或嚴謹的事情,
[46:08] 我個人還是必須付費。
[46:09] 那些大型語言模型,比如說Codex、
[46:12] Claude Code可能會比較好。
[46:13] 那OpenCode的話,你可以去使用這個免費的部分,
[46:16] 來讓你的學員在研習的時候可以有一個免費的平台去
[46:21] 碰碰看說,原來Agent是這樣子在做的,
[46:24] 作為入門還有DNAG一個很好的方式。
[46:27] 所以呢,我今天就是,我昨天特別錄了這個影片,
[46:30] 來幫大家解決這個問題,
[46:32] 來幫所有
[46:33] 那些人,那些要受課AI agent的老師們解決這個問。
[46:38] 這樣大家OK嗎?
[46:39] 所以廣告一下。
[46:40] 如果你要教AI agent的話,
[46:42] 可以用這方式讓你的學員有一個免費的額度,
[46:45] 有一個免費的AI agent來操作。
[46:48] 甚至有一個額度可以在你的主要Agent的訂閱額度完畢
[46:53] 之後,然後有一個備案來去繼續操作我們在課堂上需要
[46:58] 操作的那些AI agent的功能。
[47:00] 因為我們AI agent實際上是很吃那個Token
[47:03] 的。因為有些工作2K用用就沒了
[47:06] 所以三個小時的延期你怎麼有辦法撐到最後都還有額
[47:09] 度呢?不可能嘛
[47:10] 所以我就是我特別就是錄了這個OpenCode
[47:12] 的基本功第
[47:13] 五就是要幫所有的講師們解決個問題
[47:16] 好我們來看一下OK
[47:18] 好完成了我們來看一下今天的這個這個
[47:21] 我們的PowerPoint
[47:22] 各位我就是講一句話而已讓他去
[47:24] 玩這檔案115CAP來
[47:26] 點開一次做完了各位一次做完了像
[47:29] 這樣行嗎?
[47:30] 可以耶各位目前投影片放給大家看啊,
[47:34] 來大家看一下效果如何,
[47:36] 然後哇這第二題有看到嗎?
[47:38] 解答這解答是Codex的第三題,
[47:40] 解答第五題第六題你看是不是非常優質第七題第八題
[47:46] 第九題第十題好看一下,
[47:48] 所以你看他也幫忙去畫圖去解釋啦,
[47:51] 但圖不一定是對的啦,老師們要由你的專業去驗證這樣
[47:54] 這樣這圖應該是對的,所以需要去處理啦這圖也不一定
[47:57] 是對的,好來大家看一下吧有看到嗎?
[48:00] 題目截圖,OK這樣厲害吧?
[48:02] 當然還是有很多修正的空間,
[48:04] 至少就是把我們那些老師們平常要做的勞務,
[48:08] 我們用AI Agents可以大量的去幫老師們解決你在做個
[48:13] 班級的備課或是做一些文書處理的時候,
[48:16] 幫你免除掉大量的文書勞務你的AI Agents
[48:19] 會全部幫你帶來,你只要做什麼。
[48:21] 好了以上就是今天我們AI Agents基本功第三集的全部
[48:25] 內容,如果你想要關注AI以及數位教學在教學上面的應
[48:30] 用的話,要訂閱
[48:32] 我們。訂閱按讚還有分享哦!
[48:33] 那我們下點家掰掰!
