[00:02] 哈囉 大家好 今天的主題是長出來的技能才是你的技能
[00:08] 以我的觀點來去跟大家分享一下
[31:53] 那這個東西就是你給他關鍵字,
[31:55] 他就幫你生好了。
[31:56] 而且封面圖是,我覺得品質是相當好的。
[32:00] 所以你看一下。
[32:02] 那我裡面就是給他我的形象照,
[32:04] 所以他每次就會生成非常好的封面圖。
[32:10] 所以語言上現在agent 時代沒有什麼不能做啦。
[32:18] 好,然後再來我們回過頭來看一下我們剛剛的這個漫畫。
[32:22] 漫畫的話它就在這邊,有看到嗎?
[32:25] 它就是你看每一頁,它就是會把頁數都給你看。
[32:31] 所以第一頁,三角形全等A,
[32:35] 根據我的教材,他抓出來的訊息是非常準的。
[32:38] 然後第二頁是SS,第三頁、
[32:42] 第四頁、第五頁、第六頁,
[32:45] 然後他說,我接著選風格,
[32:48] 六頁會用同一個風格,確保連貫。
[32:50] 所以我們這邊要來個什麼呢?
[32:55] 我看一下,來個童書水彩風好了好不好?
[33:02] 還是大家喜歡看卡皮巴拉風?
[33:05] 好啦我們就用卡皮巴拉風啦。
[33:08] 1,你就選風格你就選1。
[33:10] 好接下來我們就來去看,
[33:13] 他就是會在這個地方去產出內容。
[33:16] 這樣這樣。
[33:19] 所以實際上,實際上,實用上就這麼簡單,
[33:22] 他一次產出6頁。
[33:24] 一次6頁。
[33:25] 所以你要幾頁系都是沒有問題的,
[33:28] 他就是一次把它做完。
[33:29] 然後做完他就會躺在,
[33:31] 這個目錄裡面。
[33:32] 你甚至可以要求說我產出的內容必須要按照日期或是
[33:37] 按照重點幫我編號黨名。
[33:39] 你也可以指定黨名的編號是怎麼樣處理。
[33:42] 你也可以指定說你要另外穿一個資料夾來去做這個內
[33:47] 容。
[33:48] 所以在這裡你都可以在這個目錄裡面去
[33:53] 做設定。
[33:54] 那你看我是不是就成功的把我的這個Skill,
[33:59] 我的Gem轉成Skill。
[34:01] 那這個Skill你要分享給別人,
[34:02] 你就是只要給他這個Skill的檔案就可以了。
[34:05] 就這麼簡單。
[34:06] 所以大家也不用分享來分享去。
[34:10] 直接下載檔案,然後丟到你的agent 裡面去,
[34:14] 你就能夠使用了。
[34:16] 好,所以你看喔,它這邊就新創一個資料夾,
[34:19] 大家看到嗎?我的檔案就多出來,
[34:21] 一個Generated。
[34:22] 所以開始在產生內容。
[34:26] 它自動就產生一個資料夾。
[34:28] 所以它會完全放在這個資料夾裡面。
[34:31] 而我這個資料夾是Google 雲端一點,
[34:33] 也就是說我在別台電腦,
[34:35] 我是可以開到這個
[34:36] 資料夾。所以我常常就是雲端控制
[34:42] 我的Claude Code去工作。
[34:44] 那不管怎麼樣,它產生的內容都是在雲端。
[34:46] 所以我不管什麼地方我都可以拿到這些檔案。
[34:49] 這樣大家理解我的意思嘛。
[34:52] 所以你看它現在已經產生第一張了。
[34:56] 那它在做的時候,
[34:59] 其實實際上你是可以再去做別的事情是沒有問題的。
[35:02] 好,所以我們就來看一下大家的大家
[35:07] 的這個任務。
[35:11] 不要我們直接先看漫畫好了。
[35:14] 好我們就一張張來看好不好。
[35:17] P1。
[35:22] 欸?
[35:23] 為什麼沒有按照我的要求?
[35:28] 我不是選E嗎?
[35:31] 卡皮巴拉風格。
[35:32] 為什麼沒有對話呢?
[35:36] 所以看起來他可能誤會我的意思。
[35:42] 圖都傳出來了。
[35:49] 我知道了,他以為這是不
[35:55] 說話的漫畫。
[35:56] 他誤會我的意思。
[35:59] 卡皮巴拉風格也沒有出現。
[36:02] 好,那大家在使用技能的時候,
[36:05] 就是你看到技能沒有出現你要的效果嘛。
[36:10] 所以你就告訴他你要做什麼事情。
[36:12] 所以卡皮巴拉風是水豚嗎?
[36:15] 所以他可能不知道這是什麼東西。
[36:19] 哦!你看卡皮巴拉是圓潤、
[36:21] 可愛、粉、蠟、色、自癒、
[36:23] 手繪感的。
[36:23] 不是欸,他誤會我的意思。
[36:25] 然後再來,他以為這個漫畫是無聲漫畫。
[36:31] 好,沒有關係,他沒有做好,
[36:34] 我們就是請他調。
[36:35] 這個漫畫
[36:41] 必須要有設計對白來去解釋我們來
[36:47] 源資料的內容。
[36:48] 然後再來卡皮巴拉是水豚。
[36:51] 它是一個可愛的動物。
[36:56] 所以如果你不曉得什麼是卡皮巴拉的話,
[36:58] 你要上網搜尋一下什麼是卡皮巴拉。
[37:01] 現在按照我的要求去重新生成這六頁四個漫畫。
[37:09] 好,我現在也剛好藉由這個機會跟大家講一下,
[37:12] 就是你在調整技能的時候要怎麼處理。
[37:15] 那比如說,現在這個技能跑出來是不對的嘛。
[37:18] 所以我是不是跟他講說哪裡不對?
[37:19] 所以我就請他重做。
[37:22] 好,對,所以我剛剛沒有注意到,
[37:25] 實際上這是應該要有文字的,
[37:28] 應該是有文字的,他以為是無文字風格的漫畫。
[37:32] 然後再來卡皮巴拉他好像誤會了。
[37:34] 好,
[37:37] 那他有內建上網搜尋,所以實際上如果他什麼東西不知道
[37:41] 的話,你可以請他上網搜尋。
[37:43] 所以現在就是我請他更正嘛。
[37:45] 那我一開始的標題是說,
[37:48] 你的技能,你長出來的技能才是你的技能,
[37:50] 是指說,我們現在就在長技能。
[37:53] 長技能的意思是說,我們在設定一個技能的時候,
[37:56] 我們中間是需要做調整的。
[37:59] 所以比如說,現在這裡啊,
[38:01] 你看嘛,他說哦,那加入對白。
[38:04] 用每個用繁體中文對白只是該教學內容,
[38:07] 像這樣。然後水豚,你看,
[38:10] AI誤解成這個可愛粉色風,
[38:14] 並沒有畫出水豚的本體,
[38:15] 像這樣。
[38:17] 好 所以渲染所以OK好不要吼我還是一樣漏好
[38:32] 對白要再詳細一點那
[38:39] 這邊的話因為我是串
[38:40] API啦API 的話你那個畫質高
[38:43] 的話API錢很貴齁所以用LOW
[38:49] 畫質就非常好了。
[38:51] 不需要到這個Medium,真的不需要到Medium,
[38:53] 因為Medium上去太貴了。
[38:55] 所以用LOW的話是0.3塊,
[38:57] 0.3塊的話用起來就沒有什麼感覺。
[39:01] 那如果你是用Codex 的話,
[39:04] 它生成圖片就會包含在它的這個訂閱的錢
[39:10] 裡面。所以如果說你想要省錢的話,
[39:12] 建議還是使用Codex 來做比較好。
[39:16] 好,所以他現在開始去重新生成。
[39:20] 那我們來看一下。
[39:25] 好,重新生成的話,因為之前生成錯的啊,
[39:27] 他是不會刪掉的,因為這樣他就是會,
[39:30] 應該會接著這邊往下生
[39:32] 成。那為什麼我會說,
[39:36] 你長成的Skills,還是你的Skills是,
[39:38] 我們在做這個內容生成的時候,
[39:43] 你一定會去調整。
[39:45] 那調整到你要的東西,
[39:48] 我要的東西跟你要的東西可能是不一樣的。
[39:50] 所以為什麼我會說長出來的技能才是你的技能?
[39:54] 是因為你最後調到最後的那個技能的樣子,
[39:58] 一定是別人跟你一定都是不太一樣的。
[40:01] 那我技能最後我這邊調完之後啊,
[40:05] 比如說我這邊調完之後,
[40:06] 我如果覺得OK了,可以了。
[40:08] 我再叫他去更新技能就好。
[40:10] 比如說現在他做出來對不對?
[40:12] 那我們來看一下是不是有符合我們
[40:14] 這支?的要求。
[40:19] 好,可以啦,可以。
[40:22] 有沒有看到?
[40:24] 好,沒有錯,全等的定義是這樣。
[40:28] 平移、旋轉、翻轉之後,如果能夠完全重合,
[40:31] 我們就說這兩三角形全等,
[40:33] 這個是沒有問題的。
[40:34] 然後再來,第一個,
[40:37] 什麼是AS。
[40:40] 兩條邊夾一個夾。
[40:43] 我先姑且不論說內容的部分可能
[40:49] 是需要調整的,因為以我專業來說的話,
[40:53] 我覺得它的內容沒有非常符合我的要求。
[40:56] 但是因為今天實播時間的關係,
[40:58] 我就暫時先不調整。
[41:00] 好假設這個水豚的風格你ok了,
[41:04] 你覺得ok了,那接下來你就要這樣做。
[41:08] 要完成對不對,比如說假設要完成了,
[41:11] 六頁並行生成一、二、
[41:15] 三、四、五,好,剩頁好,
[41:17] 剩頁,我們等一下做完。
[41:32] 按照我們剛剛的調整幫我更新技能。
[41:36] 好我這邊回答一下Land
[41:40] the moon forget,可以你可以給他直接塗是可以的
[41:46] 喔是可以的。
[41:47] 所以你看喔比如說我現在做完之後啊我覺得按照我調
[41:51] 整完之後ok了你就直接跟他講幫我更新技能他就會幫
[41:55] 你把剛剛那個技能把他更新成我們剛剛調整的樣
[41:58] 子這就是長出你的技能。
[42:02] 我的意思是這樣子。
[42:05] 所以所有的技能你在它做完之後你有任何不滿意你就
[42:10] 跟它調。
[42:10] 調完之後你滿意了,你再跟它講說按照我們剛剛的調整
[42:14] 去更新技能。
[42:16] 它就會幫你把剛剛那個技能更新成調整後的樣子。
[42:20] 讓大家理解嘛。
[42:22] 所以我所謂的長技能是這樣。
[42:24] OK。
[42:27] 好,那這個部分的話,
[42:29] 就先這樣。
[42:32] 再來就是給大家看技能的進階版,
[42:36] 就是我們技能是可以Combo,
[42:39] Combo意思是說,
[42:40] 一個技能兩個技能,
[42:45] 三個技能是可以連續去使用好幾個技能,
[42:48] 或是這個技能裡面會呼叫另外一個技能,
[42:52] 都是沒有問題
[42:52] 的。那Combo意思是說我可以先加上網搜尋,
[42:57] 然後搜尋完之後接著怎麼樣,
[43:00] 然後再怎麼樣,再怎麼樣,
[43:01] 再怎麼樣。所以我是可以同時把很多件事情合併成一個
[43:06] 技能的。
[43:06] 所以這個在我之前基本功裡面我示範過。
[43:11] 好,這個我這邊我就不示範了。
[43:12] 就是技能的話你是可以去做組合。
[43:16] 做組合,我覺得是沒有問題的。
[43:19] 好,所以他現在已經幫Gem 的名稱要改名嗎?
[43:25] 建議候選,好要改名。
[43:26] 我把它改成Comic for Panel。
[43:29] 所以我就改
[43:34] 一下名字,因為他說已經不是無聲了。
[43:36] 他可能誤會我意思。
[43:39] 好,現在講。
[43:41] 那再來,為什麼我說他比我們的Gem
[43:45] 還要強大是因為我們可以做到Gem 的,
[43:48] 還可以做到這個樣子。
[43:49] 所以我這邊也給大家一個,
[43:51] 我覺得很
[43:52] 厲害。最厲害的技能。
[43:54] 就是這個Chain SRT。
[44:00] 好我有個資料夾叫做......這邊。
[44:09] 等一下,Chain SRT skill。
[44:11] 好,想怎樣。
[44:13] 這技能是做什麼的呢?
[44:14] 這是轉字幕。
[44:15] 轉字幕、轉逐字稿技能。
[44:18] 我跟你講吼,這技能超級厲害是因為,
[44:20] 你們都有看到別人去做,
[44:22] 轉字幕、轉逐字稿的工具對不對?
[44:28] 我跟講根本不需要做工具,
[44:30] 你直接做成技能就好了。
[44:32] 我之前講過了,你什麼狀況下做技能是,
[44:34] 你現在給一個檔案,
[44:37] 中間跑了很多東西,然後最後產出一個內容來,
[44:43] 那你不需要,你中間你不需要再確認,
[44:46] 你這個流程已經都OK了,
[44:47] 你把流程都設計好之後,
[44:50] 你丟一個東西給它,最後產出
[44:52] 一個內容。這個就很適合做技能。
[44:55] 那比如說我丟我的會議紀錄的音檔給他,
[45:01] 他產生逐字稿。
[45:02] 好,我知道你們在市面上看到很多人做成一個工具介面
[45:07] 對不對?實際上不用這麼麻煩,
[45:09] 你直接做成技能就好。
[45:12] 為什麼我會這麼講?
[45:13] 是因為你的技能可以加任何你想加的東西,
[45:18] 包含AI功能,包含API
[45:22] Key。好,所以我這邊的話,
[45:24] 我就來解釋一下。
[45:28] 請你解釋一下,轉字幕的這個技能用了哪些東西,
[45:34] 能夠做到什麼效果。
[45:35] 請你說明我們轉字幕的技能。
[45:41] 所以實際上我有一個轉字幕的技能,
[45:43] 直接我就是檔案丟給他,
[45:45] 音檔丟給他,他就啪,就幫我轉成字幕、
[45:48] 逐字稿。
[45:49] 所以實際上是非常簡單的事情,
[45:53] 他是做成一個技能,然後等一下示範給大家看。
[45:55] 所以你會發現說,其實技能他是沒有上限的,
[45:58] 你知道嗎?他是可以連API都穿進去裡面的,
[46:01] 所以原則上就是對我來講,
[46:05] 轉字幕跟逐字稿就是一個技能而已。
[46:08] 大家可以理解嗎?
[46:10] 所以非常方便喔。
[46:14] 好,所以我這個我有個技能叫做Audio to SRT
[46:18] 轉字幕。
[46:19] 所以我是用Groq的Whisper Large V3 Turbo
[46:23] 雲端的API。
[46:25] 我跟你講,用本地端太慢的啦,
[46:27] 用雲端最快,這個是免費的。
[46:28] 各位,Groq他有免費的語音的
[46:34] API,這完全不用錢。
[46:36] 然後你只要去申請API
[46:38] Q,免費的。
[46:39] 然後丟到你的Claude Code 裡面來。
[46:41] 跟他說使用這個API去讀音檔。
[46:45] 然後把音檔轉成文字。
[46:47] 然後辨識完之後輸出成逐字稿跟字幕檔。
[46:51] 他會幫你做得非常的好。
[46:53] 而且非常的快。
[46:54] 真的非常的快。
[46:57] 好,所以我們這邊就是他做了很多事情,
[47:01] 反正就是這個東西是我已經修過很多版本了,
[47:06] 他就是會做這麼多事情,
[47:09] 然後還去幫我驗證這個段數時間碼,
[47:12] 去做驗證讓他那個字幕不要跑掉,
[47:16] 所以這邊的話我就是有一個,
[47:17] 然後可以去Claude Code我會自己會去修這個同音
[47:23] 錯字、語意錯字跟贅詞。
[47:26] 它會幫我修,有Claude Code會自己幫我修。
[47:28] 它就是用Whisper API去把字幕讀出來,
[47:32] 然後有Claude去幫我修檔。
[47:34] 可以做到什麼效果呢?
[47:35] 你只要給它檔案,然後就可以產生字幕檔跟逐字檔。
[47:41] 這非常快,真的非常快。
[47:45] 所以根本不需要做工具,
[47:47] 用技能就可以了。
[47:50] 所以我現在我直接示範一次給大家看。
[47:53] 好,那我這邊我有一個示範用的音檔,
[47:57] 等我一下喔。
[48:00] 那我把它丟到這個地方來,
[48:02] 稍等我一下喔。
[48:03] 所以怎麼使用這個技能呢?
[48:06] 那因為我轉出來之後,我要到一個地方來放嘛。
[48:11] 所以我還是要一個專案資料夾來放它。
[48:14] 那我這專案資料夾就叫做2026-ChainSRT。
[48:18] 好,所以我就把這個,
[48:22] 檔案貼給他有沒有?
[48:24] 轉字幕示範檔在這裡這樣OK嗎?
[48:27] 音檔就把音檔丟到這邊來那接下來就到這個地方來到
[48:33] 這個我們的對話裡面來所以一樣你就是把我們的
[48:37] file開出來所以裡面是不是會有一個轉字幕示範檔在
[48:43] 這裡那你就一樣點他Copy file name然後你就貼上然後
[48:48] 跟他講說轉字幕就這樣而已。
[48:52] 各位你知道有多快嗎?
[48:54] 這超級快,真的超級快。
[48:56] 好,我就按轉字幕。
[48:58] 好,真的很快,真的很快,
[49:00] 大家看一下,真的很快。
[49:05] 好,這邊回答一下,The Moon Forget。
[49:08] 如果做一個新的技能,舊的技能會自動銜接嗎?
[49:11] 他用關鍵字觸發,所以你不需要,
[49:14] 你不需要去創接。
[49:16] 你當初設計這個技能怎麼觸發的?
[49:19] 你只要,你只要
[49:20] 在任何任何地方有需要做這件事情它就會自動觸發。
[49:27] 所以它直接就是用Groq幫我去做這個辨識。
[49:31] 那因為我是用MP3 檔案,
[49:33] 所以檔案其實沒有很大。
[49:34] 非常快,真的非常快。
[49:36] 好,所以看一下這邊使用了
[49:40] 40幾秒。
[49:46] 大概1分鐘左右吧。
[49:51] 很快喔。
[49:52] 好,你看Creating。
[49:55] 一分鐘左右就做好了。
[49:57] 一分鐘了。
[50:03] 現在AI已經很聰明了啦。
[50:05] 已經已經,我覺得已經非常聰明了。
[50:08] 現在大家已經不是,你就是,
[50:11] 你應該是關注說你要怎麼用它來去解決你每
[50:17] 天的例行性工作。
[50:19] 而不是在想說他會怎樣,
[50:22] 他現在都非常聰明。
[50:24] 你這個東西,什麼技能幹什麼技能,
[50:26] 只要不是兩個功能很相似的技能,
[50:29] 原則上他是不會搞錯的。
[50:31] 所以我才說你不需要去外面裝很多個技能,
[50:35] 因為你裝很多別人的技能,
[50:37] 你到最後自己,你都會搞不清楚說他現在到底是用哪個
[50:40] 技能在做事情。
[50:41] 所以我才建議大家說,你長出來的技能才是你的技能。
[50:45] 你解決你自己專業領域,
[50:48] 你真的工作上面解決你自己工作上問題的技能,
[50:52] 才是好的技能。
[50:54] 好,所以他這邊做出來之後應該是會有一個轉字幕示範
[50:59] 檔的字幕。
[51:02] 那技能的話就是它是會掛
[51:07] 載在你的記憶體裡面,所以你只要有關鍵字它就會幫你
[51:12] 觸發。
[51:13] 那你舊的技能如果你想要新增,
[51:16] 你的意思是說我比如說我現在要更新技能
[51:20] 嗎?你就直接跟他講說你有什麼技能,
[51:23] 你先請他叫出來。
[51:27] 那你跟他講說你要更新這個技能,
[51:29] 這樣就好了。
[51:30] 那怎麼更新你就跟他聊。
[51:32] MP4也可以嗎?
[51:34] MP4的話他會這樣子做,
[51:36] 他一樣會先轉成音檔。
[51:38] 所以我個人建議就是說,
[51:40] Justin,你如果給他MP4就是影片檔的話,
[51:44] 你這個技能就要加ffmpeg。
[51:47] 你要多一個功能。
[51:50] 所以你的電腦會安裝一個影音的程式,
[51:54] 它會幫你把MP4轉成音檔,
[51:57] 然後再去讀音檔。
[51:59] 所以實際上它的Skill運作是,
[52:01] 它一樣你給它MP4,它只是說,
[52:03] 它用Skill幫你把這個影片檔先轉成,
[52:06] 先把音檔截取出來,然後再去跑我現在這個技能。
[52:09] 那不如你一開始就給它音檔,
[52:11] 這樣會簡單很多。
[52:12] 那當然你要這麼做也是可以的,
[52:14] 只是你的技能要新加一個功能就是,
[52:17] 你要先做,當你讀到影片檔的時候,
[52:19] 我們要先把影片檔先轉成音檔。
[52:22] 可是因為你這麼做的話可能會花掉蠻多資源的。
[52:26] 我個人是不建議啦。
[52:28] 但是你也可以這麼做。
[52:29] 因為你要讀MP4 檔,變成是檔案很大的時候,
[52:31] 他就要讀很久。
[52:32] 我個人不建議這麼做。
[52:34] 因為會有點浪費時間。
[52:36] 我最好方式就是我既然要拿逐字稿,
[52:39] 給他聲音檔是最好的。
[52:41] 這樣。
[52:43] 好,所以你看喔,他就幫我做好了。
[52:45] 你看到嗎?
[52:47] 總時長
[52:50] 8分14秒然後你看他幫我修正他
[52:56] 連這個字幕都幫我修正了AG
[52:58] ING他幫我修正成的AGENT有6個AGING
[53:02] 幫我修正成的AGENT95個觀點就觀點初始化你
[53:09] 有沒有看到Node你看他幫我他
[53:12] 自動幫我把這次修好是Claude修
[53:14] 的好 所以你看在我的資料桿裡面就變
[53:17] 這樣大家看到嗎
[53:23] 答案就在這裡就這樣
[53:25] 你看各位我用一個skill去轉逐字稿跟字幕檔
[53:30] 然後這個是我開了大家看
[53:37] 像這樣你看到嗎大家看到
[53:39] 嗎欸轉這麼漂亮你看
[53:42] 這麼漂亮這片啊?
[53:43] 你有看到嗎?
[53:44] 各位免費的!
[53:46] 然後你用一個Skill就可以做這件事情,
[53:48] 你根本連介面都不用做各位就是你要想清楚,
[53:52] 你這件事情如果Skill可以解決,
[53:55] 就Skill解決你要
[53:56] 做介面的話,勢必是你一定有很多選項要調整要去操作,
[54:00] 你才需要做介面那
[54:02] 如果能夠用Skill解決,
[54:04] 就用Skill解決,這樣OK嗎?
[54:06] 好,所以這也是我常用的Skill之一那
[54:10] 你們應該是第一次看到這種東西吧 對不對好
[54:16] 來 所以我這邊示範了
[54:19] 有AI功能Skill這三種示範
[54:23] 然後再來我來看一下大家的提問好不好
[54:28] 今天可能沒有空
[54:33] 影片的話目前無法處
[54:34] 理影片是歸影片AI
[54:38] 我跟這位老師講。
[54:41] 影片歸影片,影片AI歸影片AI,
[54:44] 在Claude Code 裡面暫時無法處理。
[54:46] 頭尾聲無法處理。
[54:47] 整體照片下載當然這是可以的。
[54:53] 我講一下Mike Lee老師。
[54:58] 全域設定的話,Skill不用共享,
[55:02] 因為它就會放在全域的資料夾裡面。
[55:04] 你在任何對話,你只要有關鍵字說要做漫畫,
[55:07] 它就會自動去套用這個Skill。
[55:10] 不需要再做任何的設定。
[55:13] 那你要分享給別人,你就是跟他講說,
[55:16] 你告訴我Skill在哪個資料夾,
[55:18] 他就會告訴你在哪個資料夾,
[55:20] 你去那個資料夾,把整個資料夾給別人,
[55:23] 別人就一樣會有這個Skill,
[55:25] 就這樣。這Claude是要付錢嗎?
[55:27] 當然要付錢。
[55:28] 小克的做法我現在沒空,
[55:31] 我現在還沒有拍,
[55:34] 小克我覺得是蠻厲害的東西,
[55:37] 但是我還沒有空拍到小克,
[55:40] 因為需要拍東西太多了,
[55:42] 我暫時還拍不到小克。
[55:46] 校定課程規劃設計完全沒有問題。
[55:49] 張馬克老師,我跟你講,
[55:51] 我們的AI agentnt最擅長做這種資料的處理。
[55:55] 為什麼呢?因為你這種校定課程規劃設計是最適合用
[55:59] Agent來做的,是因為你只要給他校定課程的檔案,
[56:03] 他會完全照著這個檔案去生成內容。
[56:07] 那出來的東西是跟你給他檔案是一模一樣的。
[56:11] 是一模一樣的。
[56:12] 所以AI agentnt非常
[56:14] 適合做校定課程、教案、
[56:18] 課程計畫、
[56:20] 專案計畫、
[56:23] 精進計畫。
[56:24] Codex 跟Claude Code非常適合做這樣的事情。
[56:28] 非常適合。
[56:29] 但是我今天沒有辦法示範。
[56:32] 但是我之前有做過,非常好。
[56:34] 非常好用。
[56:40] Token消。
[56:41] 沒有,不需要。
[56:42] 來這個,這位老師,
[56:47] 就是有一位老師,這位老師,
[56:50] 來大家看一下,這位老師,
[56:53] 你這個問題無痛轉移到Codex是完全沒問題的。
[56:57] 請你去看Codex基本功。
[56:59] 基本功院上就是,
[57:02] 裡面講的內容等同是,把Claude Code
[57:05] 無痛轉到Codex是完全沒問題的。
[57:08] 你在Claude Code 做的事情可以完全無痛轉到
[57:11] Codex是沒問題的。
[57:12] 因為Codex 跟Claude Code他們就是一樣的東西。
[57:16] 目前最強的兩個AI agentnt就是一樣的東西。
[57:19] 所以完全是可以無痛跨Codex 跟Claude Code。
[57:23] 甚至這兩個東西可以一起協同工作或是接力工作都是
[57:26] 沒有問題的。
[57:27] 那之後我有空再教。
[57:33] 好,NotebookLM的生成自動放到KMASO。
[57:36] 我看喔。
[57:38] NotebookLM生成自動放到KMASO。
[57:40] 好,這個用Codex 的
[57:46] Computer Use可以做到啦。
[57:48] 但是,我的那個什麼,
[57:53] 我最近的影片裡面就有提到做魔法塗層處理的,
[57:59] 你也可以參考看看好不好。
[58:01] 這是可以做到的。
[58:02] 這個是屬於比較Computer Use,
[58:04] 就是你是操作我們的電腦介面去做這件事情。
[58:09] 那我剛剛講的是說我們在本地端的資料夾去做
[58:12] AI的事情。
[58:13] 那你現在這個事情比較像是我操控網頁去做這件事情。
[58:17] 那使用Codex 的Computer Use會比較好。
[58:23] 將活動照片自動用CAMMA做成回顧影片。
[58:26] 好,可以,這可以。
[58:28] 那這個的話,我有時間再另外做一個影片好不好。
[58:34] 活動照片,自動把活動照片做成回顧影片嘛。
[58:38] 這個只用一個Skill就可以解決了。
[58:40] 呵呵呵。
[58:41] 這是可以用Skill解決,
[58:43] Skill需要調整一下。
[58:44] 是可以的,是可以的。
[58:46] 好,我這個稍微mark一下,
[58:48] 這個原來大家有這個需求。
[58:53] 好,上課錄音檔給他,
[58:56] 可以,沒有問題,是可以的,
[58:59] 完全可以,完全可以做到,
[59:02] 完全可以做到,是沒有問題的。
[59:04] 完全可以做到。
[59:05] 駕駛艙。
[59:10] 考試題目的有聲書影片製作,
[59:14] 提供答案只有這樣。
[59:15] 好,可以,也可以做到。
[59:17] 但是過程比較複雜一點點,
[59:19] 但是可以做到,沒有問題。
[59:20] 因為有聲書嘛,你就是有圖片加聲音嘛,
[59:24] 完全沒有問題。
[59:25] 用Skill來做事完全沒有問題。
[59:28] 這個也可以做到。
[59:29] 那也是比較進階的,但是我一點都不難。
[59:33] 一點都不難,這次可以做到。
[59:37] 好 坐駕駛艙嘛 我看一下這位老師坐駕駛艙是怎麼樣的
[59:40] 駕駛艙呢?
[59:43] 然後把它展開駕駛艙可以先錄在
[59:49] 裡面是沒有問題的沒有問題可以做到可以做到可以做
[59:54] 到可以做到你就是把你這個東西先錄在駕駛艙裡面
[59:57] 就好了就是用HTML是可以做到的可以做到可以可以做
[01:00:03] 到可以做到
[01:00:05] 好 那今天因為時間關係我沒辦法幫大家
[01:00:08] 做因為像你們剛剛提的這些東西我來做可能都要做一個
[01:00:11] 小時吧可以做的喔 可以做的喔 我跟大家講可以做的
[01:00:15] 喔那裡面你們提的需求以後如果有空的話我可能會個
[01:00:19] 別出影片教學好不好
[01:00:21] 那只能夠先這樣吧來 差不多了啦請
[01:00:27] 點這個連結給一下今天直播的回饋啦今天這一集大家
[01:00:33] 可以好好看一下喔
[01:00:34] 就是技能的部分。
[01:00:42] 沒有。
[01:00:43] 完全沒有。
[01:00:47] Gem做得到。
[01:00:48] Claude Code一定能做得更好。
[01:01:00] 誒 等我一下 應該是這個 抱歉好
[01:01:07] 請大家給回
[01:01:11] 饋吧Gem能做到Skill都能夠做到
[01:01:15] 誒 能夠做更好那Skill能做的Gem大部分都做不到
[01:01:18] 差很多啦 那個等級是不一樣的好
[01:01:22] 請大家給點回饋那最後一分鐘看你們有什麼問題在聊
[01:01:25] 天室留言我直接回答好
[01:01:39] 如果沒有問題的話哎呀
[01:01:45] 差不多了吧我
[01:01:52] 必須要老實說東西真的很多但是這些東西都是大家
[01:01:58] 應該要學的東西其實沒有很難啦我老實跟大家真的沒有
[01:02:01] 很難你知道搞懂觀念其實沒有很難那使用
[01:02:05] agent的觀念跟我們以前使用甚至AI的觀念是不太一樣
[01:02:08] 的你變成是你要去管理你的AI
[01:02:12] 啦變成是要管理你的AI不再是像以前我們就是一個口
[01:02:15] 令一個動作我現在就是管理你的AI然後我的
[01:02:20] Claude Code 下個月可能會退回到
[01:02:24] 20美金的方案吧。
[01:02:26] 因為我其實用不了那麼多AI你們知道嗎?
[01:02:29] 來給大家看一下我Claude Code還有剩多少容量。
[01:02:34] 大家看一下來大家看一下你看。
[01:02:36] 大家不要以為每天都要用AI其實並沒有好不好?
[01:02:39] 你自己看一下。
[01:02:40] 用不完我沒有一次用完過。
[01:02:45] 但是他已經幫我解決很多問題了。
[01:02:48] 原上但是20美金好像是用不到Claude Code
[01:02:51] 也是很麻煩的。
[01:02:55] 小克的話是助教。
[01:02:57] 小克會是助教,他有蠻多功能的,
[01:03:01] 這個功能是創意。
[01:03:05] 我下次有機會分享小克你就知道說原來小克可以這樣子。
[01:03:09] 那個我沒有那麼多時間啦,
[01:03:13] 因為我光是,
[01:03:16] 我每個禮拜就是固
[01:03:18] 定了。一定會有三五支影片分享吧。
[01:03:20] 你們就看影片分享就好。
[01:03:22] 沒有辦法每個都分享但是東西真的太多了。
[01:03:29] 然後Codex 的話我還在試它的功能。
[01:03:32] 所以如果Codex
[01:03:36] 但我覺得Claude Code用起來比較順手。
[01:03:39] Codex 不是說不好用。
[01:03:41] Codex 也很好用,兩個都很好用。
[01:03:42] 兩個都很好用,可是你不可能兩個兩個都
[01:03:50] 買了。
[01:03:51] 我覺得不太可能。
[01:03:52] 那如果老師們你要用,你就專心用Claude Code
[01:03:55] 或是專心用Codex就好了。
[01:03:57] 那Codex 比較便宜啦。
[01:03:59] 好,我回答一下。
[01:04:01] 立體學者展開,可以做成駕駛商互動?
[01:04:03] 可以。可以。
[01:04:04] 學生可以手動手動可以。
[01:04:05] 可以做到。完全可以做到。
[01:04:08] 我已經在做了。
[01:04:08] 應該說我已經做完了。
[01:04:10] 進階版的駕駛我已經做完了。
[01:04:13] 以付費GP
[01:04:15] T-RM、GPT-RM、GPT-RM、GPT-RM、
[01:04:16] GPT-RM、GPT-RM、GPT-RM、GPT-RM、
[01:04:16] GPT-RM、GPT-R請去看我的教學影片。
[01:04:19] 各位老師,如果你有非常多問題,
[01:04:21] 請去我的頻道看教學影片。
[01:04:31] 你有任何問題去看我教學影片,
[01:04:33] 我教學影片都教得非常清楚,
[01:04:35] 而且全部都是免費。
[01:04:36] 我不曉得外面賣多少,但是外面賣Claude Code
[01:04:39] 的教學課程應該都很
[01:04:41] 貴吧?我沒有買過啦。
